Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,30.8685755968094,420,39.0412921729095,420,90,420,0.776546906654336
420.25,11.1155638480186,420.25,14.0597717806845,420.25,71,420.25,0.776478247445312
420.5,3.84181917190551,420.5,4.85847164265141,420.5,64,420.5,0.776625493231353
420.75,10.0668663096428,420.75,12.7301521087834,420.75,70,420.75,0.776666613378351
421,-1.34850694179535,421,-1.70599247388367,421,59,421,0.776343066402105
421.25,17.3146400809288,421.25,21.8950215825442,421.25,77,421.25,0.776679553212723
421.5,23.5239318752289,421.5,29.7533300739964,421.5,83,421.5,0.776515233604954
421.75,27.655548183918,421.75,34.9804540375661,421.75,87,421.75,0.776484560769178
422,9.00693673610687,422,11.3911558092282,422,69,422,0.776576547995989
422.25,18.315461704731,422.25,23.168996118742,422.25,78,422.25,0.776403651041566
422.5,13.135147857666,422.5,16.6152583340467,422.5,73,422.5,0.776433812326447
422.75,31.7362899804115,422.75,40.1339285463006,422.75,91,422.75,0.776638174429255
423,17.255227189064,423,21.8203114594665,423,77,423,0.776664910116051
423.25,-2.37529947042466,423.25,-3.00383971594543,423.25,58,423.25,0.776633151617452
423.5,22.3994053936005,423.5,28.3284280040541,423.5,82,423.5,0.77658477515344
423.75,15.166319668293,423.75,19.1813268890813,423.75,75,423.75,0.776562946311653
424,23.4085621023178,424,29.591619766014,424,83,424,0.776921316132758
424.25,8.96714178800582,424.25,11.3395768543907,424.25,69,424.25,0.7766604434871
424.5,8.96272012710571,424.5,11.3383573275274,424.5,69,424.5,0.77636692924044
424.75,5.86923002958297,424.75,7.42294880333442,424.75,66,424.75,0.776568391028966
425,-0.308754372596745,425,-0.390457736148205,425,60,425,0.776628713980199
425.25,17.1775989198685,425.25,21.7157286859273,425.25,77,425.25,0.776889847169676
425.5,12.0277899312973,425.5,15.2037197085668,425.5,72,425.5,0.776973883804583
425.75,19.2130107355118,425.75,24.2880409597186,425.75,79,425.75,0.776915949616737
426,25.3632252550125,426,32.056431588517,426,85,426,0.777067388136471
426.25,13.0336127519607,426.25,16.4753643274107,426.25,73,426.25,0.776963023361655
426.5,3.79503900051116,426.5,4.79747545078927,426.5,64,426.5,0.776916902528098
426.75,-2.3577385377884,426.75,-2.98041129404842,426.75,58,426.75,0.776944885239408
427,1.74168605327606,427,2.20208230228168,427,62,427,0.776799167239596
427.25,-2.35505901813508,427.25,-2.97783876363314,427.25,58,427.25,0.776736565388256
427.5,5.8331303358078,427.5,7.37625459942126,427.5,66,427.5,0.776675506581933
427.75,6.85258375644683,427.75,8.66288744804414,427.75,67,427.75,0.776896210466076
428,15.0262105035782,428,19.0006798307249,428,75,428,0.776701004018018
428.25,8.88799557209015,428.25,11.2352188178877,428.25,69,428.25,0.776949887070377
428.5,16.0301110601425,428.5,20.2674197849757,428.5,76,428.5,0.776802218997356
428.75,5.81652896404266,428.75,7.35367709071479,428.75,66,428.75,0.776839509569834
429,18.0515427732468,429,22.8146140692528,429,78,429,0.777088249952518
