Wavelength,S1c / R1c
nm,CPS / MicroAmps
420,0.6354922652
421.0700073,0.6502127051
422,0.4375961423
423.0700073,0.4255771935
424,0.4988982677
425.0700073,0.3554519117
426,0.3572164476
427.0700073,0.3445709348
428,0.3103311956
429.0700073,0.3474345505
430,0.3993225396
431.0599976,0.312468946
431.9599915,0.3053435087
433.0299988,0.3545500636
433.9299927,0.4155828357
435,0.2833790779
436.0599976,0.254952848
436.9599915,0.3076201975
438.0299988,0.168652162
438.9299927,0.3883271813
440,0.3044404685
441.0599976,0.2819721103
441.9599915,0.2934229374
443.0299988,0.2390628755
443.9299927,0.3090189397
445,0.3740389347
446.0599976,0.2617306411
446.9599915,0.3424300551
448.0299988,0.4166280925
448.9299927,0.5236787796
450,0.4152885377
451.0700073,0.6575887203
452,0.3569745719
453.0700073,0.4270352125
454,0.3949500918
455.0700073,0.7000700235
456,0.5695592165
457.0700073,0.7001384497
458,0.7854674459
459.0700073,0.8687342405
460,0.966088891
461.0599976,1.026471376
461.9599915,1.140137076
463.0299988,1.296259403
463.9299927,1.315313935
465,1.633817077
466.0599976,1.840543389
466.9599915,1.932940722
468.0299988,2.054752111
468.9299927,2.488038301
470,2.750091076
471.0400085,3.145604372
471.9400024,3.248144388
472.980011,3.949480534
474.019989,4.281159878
475.0700073,4.780328751
475.9700012,5.26703167
477.0100098,6.365381718
478.0499878,6.745161057
478.9500122,7.33996439
480,8.473733902
481.0599976,9.380040169
481.9599915,10.55227566
483.0299988,12.05509186
483.9299927,13.42803001
485,14.91033363
486.0599976,15.72948647
486.9599915,17.20399475
488.0299988,19.66873741
488.9299927,21.47892189
490,22.95598793
491.0599976,25.75636673
491.9599915,28.46261978
493.0299988,31.29605293
493.9299927,33.53026199
495,37.16440964
496.0599976,40.69057465
496.9599915,44.25167465
498.0299988,47.82416916
498.9299927,52.96783066
500,58.16281891
501.0400085,63.43066788
501.9400024,69.11303711
502.980011,75.42384338
504.019989,83.2959137
505.0700073,90.31861877
505.9700012,99.26807404
507.0100098,106.8716583
508.0499878,118.3423691
508.9500122,128.4935455
510,138.7915039
511.0599976,150.347641
511.9599915,159.804718
513.0300293,172.0875854
513.9299927,183.6474304
515,194.3347778
516.0599976,202.3276215
516.960022,209.328125
518.0300293,212.3638306
518.9299927,211.1255341
520,209.1845093
521.039978,202.3441162
521.9400024,195.1928101
522.9799805,183.5917206
524.0200195,168.1234436
525.0700073,157.6494598
525.9699707,145.2350616
527.0100098,133.0487213
528.0499878,121.801857
528.9500122,110.61203
530,98.91624451
531.039978,88.25131989
531.9400024,81.37056732
532.9799805,72.92925262
534.0200195,65.01477814
535.0700073,59.21434402
535.9699707,53.74819183
537.0100098,47.85089874
538.0499878,42.90254593
538.9500122,39.47109985
540,35.02975464
541.039978,33.23767471
541.9400024,28.93106651
542.9799805,26.62381363
544.0200195,23.79764748
545.0700073,21.65695
545.9699707,19.67994499
547.0100098,17.85480309
548.0499878,15.96731663
548.9500122,14.47116089
550,13.23294926
