Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,4946.14358274937,420,6273.24882743979,420,4788,420,0.774910407277582
420.25,5230.44415125132,420.25,6634.3130712402,420.25,5064,420.25,0.774855189535612
420.5,5649.44700876236,420.5,7163.88522030389,420.5,5470,420.5,0.775055670565488
420.75,5972.55762117147,420.75,7568.89372358019,420.75,5784,420.75,0.775528837213842
421,6388.70723371029,421,8099.96331590642,421,6188,421,0.775182604233348
421.25,6968.26134849787,421.25,8832.74426334475,421.25,6750,421.25,0.775355414975615
421.5,7634.29311593056,421.5,9676.86367184082,421.5,7396,421.5,0.775364915860461
421.75,7986.86016821623,421.75,10122.5832785497,421.75,7740,421.75,0.775453252040582
422,8715.91950432301,422,11045.1706939811,422,8448,422,0.775551290521561
422.25,9437.01577406645,422.25,11962.8992202914,422.25,9149,422.25,0.775302019133027
422.5,10260.825856781,422.5,13009.7731053786,422.5,9950,422.5,0.775152290742048
422.75,10836.7542096305,422.75,13736.6141564679,422.75,10512,422.75,0.775339239133608
423,11427.6100112772,423,14488.5183229697,423,11089,423,0.775185229507961
423.25,12148.0044089818,423.25,15401.8845534722,423.25,11792,423.25,0.775184601227332
423.5,12828.4594604206,423.5,16256.8980010622,423.5,12457,423.5,0.775544375619947
423.75,13702.2023729682,423.75,17369.6074424596,423.75,13310,423.75,0.775305756010404
424,14683.3557232904,424,18615.6198093594,424,14268,424,0.775213871017478
424.25,15434.7185702538,424.25,19562.8707838541,424.25,15004,424.25,0.775420735561649
424.5,15894.8175366783,424.5,20146.9391510897,424.5,15458,424.5,0.77538636170665
424.75,17253.3739390683,424.75,21862.2732597142,424.75,16785,424.75,0.775617648705234
425,18250.3680460691,425,23129.2518070314,425,17762,425,0.775497533808619
425.25,19106.1186932135,425.25,24205.7788075846,425.25,18604,425.25,0.775748315054305
425.5,20361.8147342062,425.5,25803.0201751108,425.5,19836,425.5,0.775560317239546
425.75,21490.7285697126,425.75,27239.0960682459,425.75,20946,425.75,0.775407303249868
426,22307.2133245897,426,28266.4853670709,426,21753,426,0.775608538445381
426.25,23633.8397404432,426.25,29947.0251915443,426.25,23058,426.25,0.775620940025978
426.5,25064.5915004301,426.5,31761.083731747,426.5,24466,426.5,0.775594212350046
426.75,25592.6367654657,426.75,32436.9208575673,426.75,24995,426.75,0.775436969005584
427,26769.6121867323,427,33925.7758747631,427,26158,427,0.775501465617023
427.25,28016.9084123087,427.25,35503.9320500952,427.25,27391,427.25,0.775556499109118
427.5,28714.2492595434,427.5,36396.183691228,427.5,28088,427.5,0.77537787324244
427.75,29257.3620415735,427.75,37078.2287095069,427.75,28635,427.75,0.775508279429161
428,29699.662827239,428,37638.9961119384,428,29084,428,0.775503557978437
