Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,8146.18591961861,420,16695.8104336404,420,7916,420,0.485185895455477
421,10406.1168759251,421,21328.7220420358,421,10110,421,0.485161079133838
422,14609.6654979992,422,29938.9675230162,422,14190,422,0.485247153579086
423,20664.7360919666,423,42362.2954711686,423,20078,423,0.485081617847586
424,26695.8666956997,424,54710.1440072207,424,25966,424,0.485217641937447
425,36356.6507182598,425,74433.1564388746,425,35404,425,0.485695123194063
426,48126.257838335,426,98664.312589031,426,46946,426,0.485050934903184
427,61663.6775513935,427,126427.783373969,427,60266,427,0.48501298763098
428,75776.8729121876,428,155185.186327559,428,74210,428,0.48555330515142
429,92276.835017786,429,189077.121099787,429,90558,429,0.485301513204351
430,106917.900298357,430,219117.138501392,430,105154,430,0.485215377723948
431,118851.51614615,431,243423.977324382,431,116984,431,0.485504555419798
432,126969.265442448,432,260373.785586807,432,125078,432,0.484920514031246
433,132168.092243714,433,270576.842541372,433,130310,433,0.485715222642664
434,130860.044086561,434,268085.28302897,434,129134,434,0.485388469416848
435,128050.65433557,435,262126.822620655,435,126474,435,0.485752405258822
436,125722.122819247,436,257640.432230364,436,124338,436,0.48524091616776
437,126788.277848344,437,259779.80782229,437,125556,437,0.485323150738847
438,133532.549697347,438,273522.620064393,438,132404,438,0.485453177743304
439,142887.012804208,439,292736.506970483,439,141860,439,0.485368759067357
440,160751.301851773,440,329091.892923796,440,159796,440,0.485716649911606
441,185347.972770953,441,380190.664700341,441,184468,441,0.484796278881488
442,217065.828878903,442,444845.599869282,442,216296,442,0.48522412539674
443,256449.021709466,443,525467.503357703,443,255850,443,0.485303108129234
444,309277.982966924,444,633285.306302609,444,308932,444,0.485621684933157
445,373110.75777986,445,764765.780142366,445,373152,445,0.485145355142879
446,450429.472383394,446,923245.651256908,446,450472,446,0.485145576395314
447,544394.103727155,447,1116752.58917326,447,544440,447,0.484763920903563
448,667000.133537407,448,1366499.69084275,448,667052,448,0.48536931353359
449,793143.362633977,449,1624225.47707448,449,793206,449,0.485573824407443
450,920477.580540991,450,1886644.73499816,450,920556,450,0.485160238183849
451,1078274.22423195,451,2207391.57594217,451,1076346,451,0.485730213639563
452,1254247.16742766,452,2571692.90717413,452,1249666,452,0.484988257521497
453,1394435.78369505,453,2855255.14165666,453,1386758,453,0.485626019001335
454,1513819.82110415,454,3103614.82699908,454,1502692,454,0.485034037320644
455,1639542.72530537,455,3356926.46855388,455,1624478,455,0.485655585765348
456,1710613.07484673,456,3509593.43237795,456,1691522,456,0.484697512557318
457,1748790.36851383,457,3581347.67300152,457,1725840,457,0.485558556082061
458,1751870.83711151,458,3591752.56656594,458,1725456,458,0.485022472875469
459,1716822.95921337,459,3514001.25787653,459,1687596,459,0.485810077567101
460,1653740.82163353,460,3389456.07169362,460,1622384,460,0.485175756371896
461,1589556.92919844,461,3256295.7954778,461,1554972,461,0.485408105761214
462,1502554.44346931,462,3076339.11278346,462,1465686,462,0.485671932124148
463,1386877.02939802,463,2841289.79010299,463,1349016,463,0.485375849444969
464,1291964.81818708,464,2645959.45995401,464,1253146,464,0.485532833197641
465,1199196.22586811,465,2457925.1042033,465,1159890,465,0.48515863829986
466,1098322.8439352,466,2248385.3107715,466,1059802,466,0.485740428444884
467,1002187.66031744,467,2054126.95094914,467,964750,467,0.485158814157399
468,917615.490009642,468,1879528.24649049,468,881252,468,0.485472639756009
469,844762.792257237,469,1731637.3684482,469,809376,469,0.485111297526635
470,762021.813824177,470,1560772.88151395,470,728388,470,0.485489752487469
471,694847.042724815,471,1423502.75253943,471,661092,471,0.485385021693555
472,637333.339882403,472,1304825.72678107,472,603568,472,0.485691545198862
473,581671.159239144,473,1191716.2074699,473,548320,473,0.485356657894292
474,525608.7013414,474,1076892.9738897,474,493204,474,0.485340774258257
475,481924.300173354,475,987849.919570033,475,450152,475,0.485122141566251
476,440545.383434186,476,902514.698244056,476,410212,476,0.485390938479585
477,401945.643537946,477,823413.294002092,477,373102,477,0.485405090815314
478,365129.094150023,478,747831.83030492,478,337874,478,0.485505768874965
479,335228.393853106,479,686692.147832446,479,309244,479,0.485436753564681
480,310354.854213119,480,635689.342226813,480,285414,480,0.485474515061133
481,284377.062614083,481,582201.531382838,481,260806,481,0.485699225137919
482,260262.999681354,482,533261.647419746,482,238038,482,0.485321386632146
483,241179.208903432,483,493987.739862757,483,219982,483,0.485485426811624
484,224082.452156663,484,459158.669051748,484,203832,484,0.485292157278097
485,207562.995331407,485,424762.174986634,485,188294,485,0.485897251217336
486,191650.994713483,486,392381.892246035,486,173518,486,0.485678547190493
487,176734.463786883,487,361955.411638219,487,159700,487,0.485531394675342
488,163982.413772159,488,335728.329217596,488,147888,488,0.485686304186433
489,151618.416997733,489,310303.675576254,489,136472,489,0.485854952710817
490,141857.16225903,490,290417.238347839,490,127438,490,0.485707513902643
491,133175.292723985,491,272854.65228379,491,119412,491,0.485343256100229
492,121428.570063319,492,248735.224868388,492,108676,492,0.485442026620566
493,114829.22688292,493,235379.07021442,493,102576,493,0.485118617930485
494,106456.973245769,494,217859.948581693,494,94920,494,0.485889262478543
495,100195.191923881,495,205237.588405498,495,89170,495,0.485448941331373
496,92495.1471475411,496,189325.620066931,496,82160,496,0.485794873900834
497,87071.6272695398,497,178381.839705474,497,77194,497,0.485379742152686
498,81845.3710920239,498,167630.890457695,498,72422,498,0.485503146461402
499,75754.3862119627,499,155221.35143149,499,66906,499,0.485304341039356
500,71147.0840862274,500,145717.624868098,500,62718,500,0.485508504966503
501,67080.0499287558,501,137496.302996515,501,58912,501,0.485137820353049
502,62364.1642457867,502,127806.467374826,502,54568,502,0.485224248611459
503,58956.9580001688,503,120824.609614967,503,51396,503,0.485221426689235
504,55725.1263435173,504,114193.129307285,504,48400,504,0.485255410681824
505,52196.3668403864,505,107000.338377362,505,45170,505,0.485086748615266
506,49623.004050808,506,101701.364809214,506,42812,506,0.485196123993707
507,46512.877609334,507,95247.4273781793,507,40008,507,0.485589603902246
508,43847.3294731998,508,89882.29465053,508,37602,508,0.485101748576704
509,41731.5298039389,509,85492.9931560381,509,35680,509,0.485388138682604
510,39143.1100376129,510,80291.9508758439,510,33368,510,0.484792958378345
511,37029.9496124363,511,75849.5309371824,511,31428,511,0.485460025124706
512,34853.287620945,512,71396.3841602193,512,29452,512,0.485424654108229
513,33008.256478529,513,67610.9267430613,513,27772,513,0.48546594915866
514,31020.7102726364,514,63592.4432936435,514,25988,514,0.485077128521233
515,29766.8865178585,515,60934.366221607,515,24830,515,0.485753243919993
516,28061.8772007656,516,57506.4196550209,516,23302,516,0.485243840896072
517,26871.167478075,517,55054.5760654721,517,22212,517,0.485344138821152
518,25153.2807401752,518,51573.8802798463,518,20700,518,0.484989131468616
519,23739.198004179,519,48644.642520225,519,19450,519,0.485276977644423
520,22958.4329499722,520,47028.1231375184,520,18726,520,0.485443115907339
521,21511.1998913288,521,44073.4469745458,521,17466,521,0.485338194378567
522,20327.3502440929,522,41648.2983827364,522,16430,522,0.485333748158293
523,19745.6657207966,523,40490.3539133331,523,15886,523,0.484940896911846
524,18683.0470882893,524,38274.2929876936,524,14964,524,0.485395439631499
525,17460.5892085552,525,35788.6482062476,525,13924,525,0.485149979128042
526,17098.1480814743,526,35015.9542416717,526,13568,526,0.485549723532256
527,16078.9048040485,527,32947.8231326123,527,12700,527,0.48527558375408
528,15066.4540305519,528,30853.3583191838,528,11846,528,0.485577322675474
529,14338.9975146961,529,29403.8559883132,529,11222,529,0.484934730263152
530,13787.1637664795,530,28248.6302636316,530,10740,530,0.485327291974084
531,13676.2565802908,531,28012.6921936327,531,10594,531,0.485473193268567
532,12404.3422770214,532,25410.9250347234,532,9562,532,0.485409218317641
533,12045.7823901701,533,24686.5959850271,533,9236,533,0.485215085899615
534,11515.7247752571,534,23600.0511251119,534,8784,534,0.485219984352238
535,11037.4987678766,535,22596.479431721,535,8376,535,0.485708608339258
536,10556.1326122713,536,21643.4255991597,536,7964,536,0.485004273908993
537,9992.36413065434,537,20460.8059307547,537,7496,537,0.485617271519277
538,10185.2035257196,538,20878.3370859119,538,7592,538,0.485106949534812
539,9514.89846883297,539,19495.7930829144,539,7054,539,0.485311835393396
540,9219.78050434589,540,18897.9742583541,540,6796,540,0.485141034807611
541,8689.99116951466,541,17788.6080591717,541,6370,541,0.485760017105535
542,8450.20642142773,542,17325.7541374927,542,6158,542,0.485000309675704
543,7871.05922827244,543,16115.4810341292,543,5706,543,0.485665325259402
544,7582.38104041576,544,15549.4379219389,544,5466,544,0.484909231110721
545,7224.3787365675,545,14798.2217848151,545,5180,545,0.485450018220381
546,7107.45386554241,546,14572.054998868,546,5066,546,0.485019851606315
