Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,14675.5652332306,420,39709.9822670302,420,14200,420,0.3711829444331
421,20123.8728237152,421,54196.3481848494,421,19480,421,0.372863174748062
422,26813.7541913986,422,72398.6248571196,422,25980,422,0.371947331534657
423,35574.6989293098,423,96246.2028671483,423,34510,423,0.371234131469567
424,46600.5692248344,424,125502.75804013,424,45270,424,0.372860221695654
425,60896.6540884972,425,164550.350362741,425,59250,425,0.371674335357868
426,79971.1733951569,426,216032.148035632,426,77960,426,0.3717731620009
427,105054.404648781,427,282839.201451097,427,102620,427,0.372972752876508
428,132567.975524426,428,358547.91343237,428,129770,428,0.371343761096425
429,180148.277709961,429,486263.2273543,429,176720,429,0.372055196864096
430,242457.323980331,430,652770.292678494,430,238360,430,0.372972968883733
431,312506.030908346,431,846317.545786719,431,307470,431,0.370879923252117
432,400106.189432144,432,1078587.30209137,432,393980,432,0.372516386593347
433,496859.097399235,433,1338751.28117242,433,489660,433,0.372691871959191
434,565395.438117981,434,1529225.51988827,434,557680,434,0.371335024009509
435,612272.666134834,435,1649194.01642583,435,604440,435,0.372806870295408
436,628176.565508604,436,1694097.1499348,436,620950,436,0.37237125763351
437,614339.787986517,437,1660595.82181214,437,608070,437,0.371551384331831
438,580455.647435427,438,1562942.37544169,438,575290,438,0.372932754108275
439,531611.950576305,439,1434715.6885798,439,527580,439,0.372112847189578
440,475024.023214579,440,1282765.50184782,440,472050,440,0.371898898232673
441,430585.952239037,441,1159155.991697,441,428440,441,0.373008409088908
442,379131.18289113,442,1025036.61422591,442,377730,442,0.371473842506635
443,346003.714646101,443,934005.788308115,443,345170,443,0.372032622201796
444,307151.266118288,444,827034.563448339,444,306810,444,0.372934873887781
445,275497.288862467,445,744745.941862652,445,275550,445,0.371522260788249
446,249759.780070305,446,673308.642279778,446,249820,446,0.372506806219949
447,230393.671298504,447,620783.586868543,447,230460,447,0.372689381677228
448,203078.017633438,448,549267.346325318,448,203150,448,0.371333689103935
449,190903.745810986,449,514218.696476067,449,190980,449,0.372801493479817
450,175399.958181381,450,473439.732589421,450,175480,450,0.372060203177229
451,160709.043148041,451,433944.668635139,451,160490,451,0.371929807292925
452,151502.813529015,452,407648.162364104,452,151020,452,0.373187313138627
453,138751.750356674,453,374370.446644528,453,138060,453,0.372201576567752
454,131312.034724236,454,354200.527062732,454,130420,454,0.372298865411008
455,123652.058610916,455,332763.286753318,455,122590,455,0.373130261959012
456,115949.338092804,456,312983.611819809,456,114730,456,0.372045334679948
457,108721.677949905,457,292950.006015936,457,107370,457,0.3726830607241
458,105079.080612183,458,282698.577828572,458,103570,458,0.373234625396495
459,98481.0130310058,459,265709.171809916,459,96880,459,0.372209009981927
460,92722.5096130371,460,249517.083451392,460,91040,460,0.373145866931255
461,89266.6181173325,461,240425.425115795,461,87400,461,0.372836139512735
462,84395.2125434875,462,227729.770907023,462,82400,462,0.372169613459002
463,79710.5515830517,463,214515.155698558,463,77610,463,0.373123580517006
464,75760.9243812561,464,204477.659796521,464,73560,464,0.372088629346493
465,72594.1631376743,465,195697.130746437,465,70290,465,0.372514148796649
466,69761.6781139374,466,187706.686889174,466,67390,466,0.373188932239136
467,63164.497756958,467,170487.409841291,467,60880,467,0.372073302131883
468,60825.595099926,468,164049.205941203,468,58490,468,0.372345628590909
469,59257.7710163593,469,159475.478672384,469,56850,469,0.373118279518521
470,55380.0245523453,470,149496.377805542,470,53010,470,0.372025462492139
471,50709.1097660065,471,136647.941095079,471,48320,471,0.372650371392386
472,48980.9774808884,472,131859.094890071,472,46460,472,0.373007902687865
473,45367.3156061172,473,122596.629662984,473,42840,473,0.371649672148895
474,45587.3210372925,474,122816.694559768,474,42850,474,0.3727357362077
475,41427.9861962795,475,111557.046035242,475,38770,475,0.372908670971682
476,39399.8365030289,476,106438.756364167,476,36760,476,0.371756378048828
477,36905.5226266384,477,99275.9279560277,477,34330,477,0.373279746110867
478,34448.8126571178,478,92880.7846802859,478,31950,478,0.372457534161436
479,32908.4968435764,479,88951.91317029,479,30430,479,0.371557984949941
480,30868.4390902519,480,83036.7902147987,480,28460,480,0.373277036483819
481,29241.7956531048,481,78944.8867846293,481,26890,481,0.371990615949203
482,28174.4011878967,482,76058.7930817672,482,25840,482,0.372011332854006
483,26014.8793935776,483,69957.6600273937,483,23800,483,0.373394408753738
484,24722.8445529938,484,66799.7407071315,484,22560,484,0.371698157902964
485,22695.4721331596,485,61192.2785229707,485,20660,485,0.372452778664638
486,21127.601732254,486,56817.4885550142,486,19200,486,0.373379264883008
487,20649.4210040569,487,55818.8233133224,487,18730,487,0.371537034156521
488,20235.7301559448,488,54480.4219338837,488,18320,488,0.372975843019594
489,18575.2119820118,489,49984.7782411797,489,16790,489,0.373155023396436
490,17509.4071340561,490,47346.0460699852,490,15800,490,0.37142268837193
491,16594.7669713497,491,44653.0721496129,491,14950,491,0.373174631893307
492,15106.1990349293,492,40680.2284655397,492,13590,492,0.37288809568751
493,15012.1430921555,493,40542.7717543928,493,13480,493,0.37186685382319
494,14794.1404252052,494,39781.9727880772,494,13260,494,0.373408320715716
495,14192.8137278557,495,38258.7179026846,495,12700,495,0.372531288707646
496,13285.7440366745,496,35860.495150606,496,11870,496,0.372064158064468
497,12668.527823925,497,34050.0717019933,497,11300,497,0.373577084823653
498,12580.4910240173,498,33970.6036585805,498,11200,498,0.371920260536545
499,11664.4964239597,499,31442.6326683214,499,10370,499,0.372538690173733
500,11153.6812973022,500,29999.1561414487,500,9900,500,0.373330660634909
501,10740.3239350319,501,28999.609780478,501,9500,501,0.37194562374244
502,10518.0541939735,502,28303.2248043703,502,9270,502,0.373157885134532
503,10132.9435315132,503,27247.5241841247,503,8900,503,0.37341256981147
504,9340.99150657654,504,25230.4019183296,504,8180,504,0.371817244879238
505,9191.00929021835,505,24718.332086028,505,8020,505,0.373359381012689
506,7989.13899230957,506,21510.134051285,506,6960,506,0.372958096333336
507,7967.68535900116,507,21522.4434312939,507,6920,507,0.371794098489206
508,7560.32762384415,508,20317.6479144217,508,6550,508,0.373625797552201
509,7724.63137841225,509,20826.2159938216,509,6670,509,0.372473165121303
510,7395.96399307251,510,19968.7320860373,510,6370,510,0.371961279974676
511,7583.215092659,511,20384.1869308678,511,6500,511,0.373537390515934
512,6158.16008663177,512,16608.0068685163,512,5270,512,0.372363071770327
513,6638.88627004624,513,17913.3294382354,513,5650,513,0.372186792709063
514,6560.97277069092,514,17628.7482669883,514,5560,514,0.373691432515592
515,6626.40877485275,515,17899.6064935773,515,5590,515,0.371789289586649
516,6005.37076997757,516,16184.4088514346,516,5050,516,0.372617547115761
517,5718.09625196457,517,15370.6264091824,517,4790,517,0.373537318990363
518,5574.22208452225,518,15063.2838756231,518,4650,518,0.371649717448423
519,5073.36849117279,519,13651.5447153906,519,4220,519,0.373170346081093
520,5047.75764942169,520,13587.787270861,520,4180,520,0.373034579103244
521,5171.25890254974,521,13983.4878668552,521,4260,521,0.371416988976015
522,4537.41046190262,522,12200.2420475002,522,3730,522,0.373438160468681
523,4696.64995193481,523,12659.6928304956,523,3840,523,0.372553435408614
524,4807.00199842453,524,12978.3579195617,524,3910,524,0.371969700918568
525,4653.36594343185,525,12514.3181785893,525,3770,525,0.373372544340357
526,4575.62859153748,526,12350.7696895798,526,3690,526,0.372053600174933
527,4229.34636497498,527,11408.9159949277,527,3400,527,0.372277126405795
528,3712.90442466736,528,9980.08190391679,528,2980,528,0.373553620860086
529,3654.29682350159,529,9871.8413210973,529,2920,529,0.371765424841467
530,3931.13525390625,530,10589.154977041,530,3120,530,0.372793343141002
531,3953.65259933472,531,10634.1023554304,531,3120,531,0.373321165138522
532,3596.86425924301,532,9710.01940138673,532,2830,532,0.372010254009977
533,3512.00495553017,533,9456.57980460355,533,2750,533,0.372928599903111
