Wavelength,S1c / R1c
nm,CPS / MicroAmps
420,6.780184269
421.0700073,6.013156414
422,5.50073719
423.0700073,4.778279305
424,4.316261292
425.0700073,3.773061514
426,3.22947526
427.0700073,3.149384975
428,2.874967575
429.0700073,2.510875702
430,2.625524044
431.0599976,2.155749083
431.9599915,2.174674511
433.0299988,2.193180084
433.9299927,2.167224884
435,2.143671036
436.0599976,1.931903958
436.9599915,1.846799612
438.0299988,2.153291941
438.9299927,2.15473032
440,2.096524477
441.0599976,1.845754027
441.9599915,1.897695661
443.0299988,1.990269899
443.9299927,2.153564692
445,1.916325212
446.0599976,1.871257424
446.9599915,1.989641666
448.0299988,1.818028092
448.9299927,1.939603209
450,1.886459589
451.0700073,1.819774866
452,1.895900488
453.0700073,1.922085881
454,1.807369351
455.0700073,1.826976299
456,1.896603465
457.0700073,2.019610167
458,2.209653139
459.0700073,2.398988008
460,2.728470087
461.0599976,2.558609009
461.9599915,3.077159882
463.0299988,3.328562498
463.9299927,3.239724159
465,3.787433863
466.0599976,4.387904167
466.9599915,4.848847866
468.0299988,5.601501942
468.9299927,6.315022945
470,7.38958025
471.0400085,8.271351814
471.9400024,9.072237968
472.980011,10.84414196
474.019989,12.64204216
475.0700073,14.11761093
475.9700012,16.22916985
477.0100098,18.80999374
478.0499878,21.46897888
478.9500122,23.19870377
480,27.09778404
481.0599976,30.35494995
481.9599915,33.67342377
483.0299988,36.3361702
483.9299927,40.7327652
485,45.80086899
486.0599976,51.34022903
486.9599915,55.36084747
488.0299988,59.20239639
488.9299927,63.17307663
490,68.13471985
491.0599976,72.90061188
491.9599915,76.00049591
493.0299988,79.51709747
493.9299927,86.36434174
495,92.24190521
496.0599976,96.99581146
496.9599915,101.0615616
498.0299988,99.62376404
498.9299927,106.7208023
500,107.7993164
501.0400085,111.2312851
501.9400024,113.0543442
502.980011,109.1502914
504.019989,111.714592
505.0700073,117.1173782
505.9700012,118.1786804
507.0100098,114.7278137
508.0499878,114.0781326
508.9500122,112.5079727
510,110.8707352
511.0599976,105.7354965
511.9599915,102.2841797
513.0300293,96.9813385
513.9299927,93.72357941
515,88.94242859
516.0599976,88.69113159
516.960022,79.82572174
518.0300293,75.48534393
518.9299927,71.80938721
520,68.95860291
521.039978,63.29417419
521.9400024,60.72766876
522.9799805,56.99681473
524.0200195,53.36290359
525.0700073,49.01774216
525.9699707,47.08220673
527.0100098,42.41248703
528.0499878,40.13933945
528.9500122,36.5898819
530,32.24416351
531.039978,29.70059586
531.9400024,26.55514336
532.9799805,24.42697334
534.0200195,22.07726288
535.0700073,20.47925186
535.9699707,18.38937569
537.0100098,17.21225166
538.0499878,15.14826393
538.9500122,14.2342205
540,13.6366806
541.039978,13.31317425
541.9400024,12.38505745
542.9799805,11.83512211
544.0200195,10.70472813
545.0700073,9.875113487
545.9699707,9.120018005
547.0100098,8.056549072
548.0499878,7.374251366
548.9500122,6.407258511
550,5.853674412
