Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,6022.38634471893,420,12382.8810550947,420,5866,420,0.483684241062852
421,6985.68088371277,421,14345.8183453452,421,6806,421,0.484262934436722
422,8440.01736177445,422,17335.8118694963,422,8224,422,0.484172000448761
423,9514.55293699264,423,19535.4781560711,423,9280,423,0.484350286233314
424,11172.5870150375,424,22937.6693198941,424,10906,424,0.484393594871641
425,13462.1023177147,425,27653.1422715225,425,13152,425,0.484138813346408
426,16709.3338720512,426,34299.8021226238,426,16344,426,0.484461683973455
427,20435.5098194504,427,41957.4129308971,427,20018,427,0.484363708626741
428,25158.5784624672,428,51605.0215291775,428,24684,428,0.484814480518252
429,33029.6319136429,429,67813.835717585,429,32458,429,0.48437304586098
430,45663.1351933479,430,93708.22159569,430,44948,430,0.484591822367068
431,64868.3587968063,431,133248.880459476,431,63878,431,0.484139830153936
432,97632.8173605347,432,200412.364906549,432,96190,432,0.484465772756606
433,165379.243064318,433,339540.501861821,433,163028,433,0.484377352844808
434,262694.320484714,434,539308.508176009,434,259144,434,0.484403260932775
435,389177.915579176,435,799426.163579542,435,384220,435,0.484140357345084
436,531089.7106075,436,1089835.82461212,436,524984,436,0.484612103204519
437,662847.562124243,437,1360213.88418281,437,656068,437,0.484611727456849
438,745519.751579246,438,1530054.63671439,438,738854,438,0.484553140574926
439,783121.746743898,439,1606976.26891296,439,777136,439,0.48462615902841
440,787366.534878206,440,1616707.70185241,440,782376,440,0.484329888093925
441,768432.881882143,441,1576374.78147068,441,764532,441,0.484762969136621
442,735690.582745981,442,1511392.96396887,442,732888,442,0.484084220070942
443,699074.491746378,443,1434037.27433885,443,697300,443,0.484780855107195
444,654397.924131346,444,1343842.6446744,444,653572,444,0.484273812999348
445,613537.1727633,445,1258773.0928598,445,613548,445,0.484705673720422
446,576604.0649543,446,1183593.24474751,446,576630,446,0.48446999791518
447,535900.199708548,447,1099817.66307196,447,535940,447,0.484565035563611
448,496003.982513962,448,1018541.39004304,448,496056,448,0.484287830676267
449,464823.520517998,449,954059.822085749,449,464886,449,0.484510239536991
450,432480.296888638,450,888020.499715291,450,432552,450,0.484327610528986
451,401062.686867828,451,823419.044878121,451,400388,451,0.484379444824731
452,367379.166504135,452,753535.679397576,452,366086,452,0.484832384799372
453,344860.546974335,453,707547.514691468,453,343014,453,0.484699702956427
454,318123.301408749,454,652888.078917332,454,315840,454,0.484558029872276
455,290721.523262405,455,596602.633082805,455,288108,455,0.484596130876775
456,268489.111701813,456,550308.802984046,456,265552,456,0.485166969789192
457,248985.106636505,457,511270.536319653,457,245778,457,0.484305233133976
458,231369.331633301,458,474423.025051343,458,227942,458,0.48497216140683
459,210074.243916855,459,431517.213846681,459,206560,459,0.484145595115019
460,195602.496961212,460,401072.028151731,460,191956,460,0.484985118407204
461,181864.27549799,461,373584.312102863,461,177970,461,0.484128419441057
462,167980.919987068,462,344367.397750108,462,163922,462,0.485077989498382
463,154067.038050356,463,316372.768905434,463,149924,463,0.484292316760127
464,145692.752925797,464,298904.56407753,464,141378,464,0.484718608977022
465,134088.171058416,465,275256.577601676,465,129756,465,0.484445745977985
466,125925.892074203,466,258318.30975018,466,121572,466,0.48477743008135
467,116657.347350788,467,239296.076850097,467,112362,467,0.484795444797954
468,109094.937923241,468,224016.455948758,468,104834,468,0.48430747083533
469,103418.119153166,469,212116.806737626,469,99148,469,0.484844110415502
470,95859.2337322235,470,196679.41668265,470,91690,470,0.484685808875696
471,90259.2720686626,471,184997.060962134,471,85936,471,0.485174301446399
472,84573.398685112,472,173524.211826285,472,80154,472,0.484684363105473
473,79355.0315802192,473,162692.211457095,473,74866,473,0.485045316998676
474,74894.9482098389,474,153620.167265793,474,70338,474,0.484825455211246
475,71032.988355732,475,145595.794912541,475,66410,475,0.485157276262239
476,66395.8139002132,476,136131.383065375,476,61884,476,0.48501800452995
477,63833.5159886456,477,130951.745195162,477,59312,477,0.48475325996941
478,59731.8847492123,478,122561.025306074,478,55332,478,0.484662898376758
479,56533.6531080437,479,115933.090674958,479,52210,479,0.484928495903583
480,53499.2033991814,480,109773.569363395,480,49258,480,0.484658249786799
481,50497.8870520592,481,103557.806268477,481,46370,481,0.484918475457084
482,48303.7858626843,482,99118.3574863543,482,44236,482,0.484633993271967
483,46112.141449213,483,94472.1192583496,483,42116,483,0.485374009425794
484,44094.6449575424,484,90427.0608161519,484,40166,484,0.484915309067706
485,41990.3729412556,485,86088.0475934757,485,38148,485,0.485044416539412
486,39935.1452742863,486,81893.3041449809,486,36212,486,0.484936320038193
487,39058.2967886066,487,80103.6302440636,487,35348,487,0.484886849710279
488,36793.0838368321,488,75457.0086507867,488,33236,488,0.484892797013886
489,35383.3888373566,489,72534.772786755,489,31902,489,0.485094470706727
490,34097.0085846424,490,69894.850266397,490,30684,490,0.485113857379164
491,32743.5844550228,491,67203.1148742244,491,29412,491,0.484536511737801
492,31632.8951278877,492,64813.0669534308,492,28362,492,0.485335859402436
493,30528.8734416771,493,62687.5104273981,493,27322,493,0.484312952745883
494,29117.2928896809,494,59734.5792590043,494,26012,494,0.48473998196227
495,28262.3681542397,495,57986.0969200288,495,25202,495,0.484696212889996
496,27707.8192257309,496,56784.748560023,496,24660,496,0.485221496879662
497,26360.4739740181,497,54062.4112350576,497,23418,497,0.484883283731373
498,25550.6152412605,498,52377.8377240375,498,22656,498,0.485095147815473
499,25381.2187299347,499,52069.8017737687,499,22462,499,0.484741452909495
500,23995.6346801758,500,49199.9626812722,500,21198,500,0.485001817244021
501,23763.7078114128,501,48704.1427345988,501,20914,501,0.485197338593283
502,22293.2390437317,502,45735.9310088819,502,19550,502,0.484729678083771
503,22187.2402106571,503,45472.2164040649,503,19384,503,0.485206922447693
504,21397.0978777313,504,43898.2706400566,504,18626,504,0.484720832945466
505,20493.8671130657,505,41999.9414550495,505,17776,505,0.485226463615365
506,20096.4004442596,506,41247.8328732796,506,17378,506,0.484515262348741
507,19265.0244943428,507,39475.1820375856,507,16610,507,0.485302385434857
508,18654.7286426735,508,38264.0310257138,508,16036,508,0.484818890498903
509,17920.67592803,509,36727.4396799292,509,15360,509,0.485214027702623
510,17242.8258155823,510,35379.3376908605,510,14736,510,0.484668201759485
511,16541.8033401299,511,33893.1897109706,511,14076,511,0.485329414280849
512,16173.0607408142,512,33184.2415457556,512,13702,512,0.484669907692055
513,15788.3919367218,513,32375.1100240561,513,13318,513,0.484957690353153
514,14911.1276049805,514,30567.4632209028,514,12526,514,0.485092220035403
515,14427.05085783,515,29588.3093578447,515,12068,515,0.484882861062928
516,13872.0439814186,516,28450.003163532,516,11552,516,0.484883645746134
517,13218.8788173866,517,27106.8558993646,517,10960,517,0.484945614929294
518,12580.9094679642,518,25790.9797426139,518,10386,518,0.48508476878744
519,11740.3138871574,519,24078.6477090956,519,9652,519,0.484872273943165
520,11637.4205866814,520,23861.7391549123,520,9524,520,0.484987946432943
521,10870.0356988907,521,22298.2464843492,521,8858,521,0.484777876019448
522,10865.4198359489,522,22263.8144691162,522,8812,522,0.485304022702878
523,10060.8237693787,523,20629.5362430218,523,8126,523,0.484976531714631
524,9835.40220899582,524,20151.4410352414,524,7908,524,0.485346296223131
525,9524.14117918015,525,19528.455576314,525,7624,525,0.484991502684371
526,9245.55822662354,526,18941.5073774299,526,7366,526,0.485381546885912
527,8548.37525527954,527,17535.5692402454,527,6782,527,0.484781605267392
