Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,1299.18247461319,420,3440.06953491622,420,1280,420,0.380627747787299
421,1296.64129018784,421,3446.27087825497,421,1280,421,0.37926379496423
422,1873.85695314407,422,4952.09730733279,422,1840,422,0.381335203156945
423,2242.14628744125,423,5950.76854429916,423,2200,423,0.379781577155768
424,2877.08758878708,424,7641.26260868988,424,2820,424,0.37952868300229
425,3550.67528486252,425,9390.26768989084,425,3480,425,0.381071710821193
426,4682.44158554077,426,12467.0887456128,426,4590,426,0.378627963394036
427,5993.44906568527,427,15870.3082642193,427,5880,427,0.380618141664695
428,7267.77936601639,428,19230.6112478802,428,7140,428,0.38088374257428
429,9749.87281990051,429,25945.7284333985,429,9590,429,0.378815954767551
430,13177.0284771919,430,34800.6617564384,430,12980,430,0.381572396017076
431,17232.1065223217,431,45665.1818843065,431,16980,431,0.3803350963836
432,23047.4979391098,432,61296.548359893,432,22720,432,0.379028142288061
433,30293.8111388683,433,80122.6190897445,433,29880,433,0.381043042418662
434,37801.1871109009,434,100381.272632836,434,37310,434,0.379582751327176
435,49317.3495721817,435,130966.62645519,435,48710,435,0.379571355396368
436,61940.4534611702,436,163721.690471485,436,61250,436,0.381268864143516
437,78400.3423573971,437,208702.21772205,437,77620,437,0.378697546092109
438,100457.849658728,438,266140.25841312,438,99580,438,0.380435582419879
439,123636.311083794,439,326786.492225916,439,122710,439,0.38128042100686
440,152107.93192029,440,405380.973300521,440,151160,440,0.37827947984487
441,192324.237188101,441,508681.323106355,441,191360,441,0.38103420138125
442,238501.774445772,442,632555.635792031,442,237600,442,0.380033871924961
443,280921.848704815,443,747078.529690583,443,280210,443,0.379054392887874
444,350690.981994867,444,925546.796606682,444,350240,444,0.381821094718977
445,415881.194324493,445,1105811.82392826,445,415870,445,0.379111731123447
446,503519.876951218,446,1336742.52883765,446,503510,446,0.379679679681554
447,600135.611364841,447,1583888.40194262,447,600130,447,0.381819921699613
448,697307.530090332,448,1856723.79452716,448,697310,448,0.378602769465326
449,813695.965906143,449,2155537.92333007,449,813710,449,0.380463352461239
450,912089.782540798,450,2410886.9470045,450,912120,450,0.381262646187211
451,1009358.18708801,451,2685271.23958058,451,1007510,451,0.37891930516453
452,1114379.77800751,452,2947711.24301233,452,1110270,452,0.381000731467137
453,1187484.90332794,453,3141205.34109754,453,1180910,453,0.380986893414916
454,1224584.9658432,454,3256966.09889299,454,1215550,454,0.379018075302361
455,1256676.74977303,455,3318635.15632086,455,1245100,455,0.381601005768639
456,1253072.03120041,456,3312385.58934482,456,1239060,456,0.381241184462795
457,1221464.59285355,457,3246337.89922465,457,1205410,457,0.379277741496901
458,1182258.96109009,458,3118246.94571946,458,1164410,458,0.38205286880185
459,1101512.16548347,459,2923703.55447565,459,1082740,459,0.379752412842611
460,1037368.75448227,460,2753257.97991347,460,1017680,460,0.379777710960237
461,972619.710753679,461,2565391.6190372,461,951440,461,0.382042184788891
462,890537.626625061,462,2372433.65958839,462,868670,462,0.378420637943424
463,808240.112420797,463,2142493.8873297,463,786160,463,0.380224399118386
464,755248.158934593,464,1996559.0758204,464,732540,464,0.381218009700954
465,689691.077899933,465,1836376.25079927,465,667070,465,0.378615995258659
466,636561.061964035,466,1679490.15284299,466,614220,466,0.381935657226048
467,573893.095492125,467,1521418.76778576,467,552440,467,0.380192143470051
468,523166.764633656,468,1389306.09016218,468,502420,468,0.379573958927152
469,487151.695144176,469,1284943.44578958,469,466730,469,0.382034461934572
470,442642.606973648,470,1175667.56231616,470,423090,470,0.379512594278768
471,406114.375352383,471,1075524.90418188,471,386370,471,0.3805649385608
472,383272.452508926,472,1011590.29997626,472,362950,472,0.381801555363492
473,354196.086107254,473,941654.174557417,473,333870,473,0.379165308306079
474,325495.817123413,474,859557.645160773,474,305410,474,0.381606322025913
475,301335.328905582,475,797103.818643893,475,281450,475,0.380989735841107
476,282114.859846115,476,749398.699142589,476,262670,476,0.379466155586541
477,263101.356488943,477,694481.009409162,477,244200,477,0.381767767160588
478,242103.704391003,478,641577.423285893,478,224010,478,0.38033441283756
479,232148.572461605,479,615689.576408233,479,214130,479,0.380043341672142
480,215981.182175875,480,570255.758602065,480,198600,480,0.38166997358522
481,200613.333624601,481,532316.915109434,481,183960,481,0.379863965076817
482,189477.222895622,482,501874.947180679,482,173270,482,0.380509372728876
483,184012.498509884,483,485879.310115478,483,167810,483,0.381647041295065
484,171597.216886282,484,456224.889625819,484,156060,484,0.37914775354677
485,163919.095134735,485,433695.661986153,485,148670,485,0.380913752081267
486,155860.262778997,486,411641.383705855,486,141080,486,0.38156097624441
487,146970.731585979,487,390667.746753641,487,132770,487,0.379224486656176
488,139253.774625778,488,366757.41982338,488,125550,488,0.382579275069902
489,134973.20400095,489,357891.026540563,489,121450,489,0.380120681079972
490,128079.308291674,490,339482.588689965,490,115020,490,0.380258397844887
491,123662.819643259,491,326243.128103625,491,110840,491,0.381965199432638
492,117271.514047623,492,311654.407032443,492,104910,492,0.379304512087615
493,114450.786439896,493,302971.440156071,493,102190,493,0.380723318586339
494,107577.421726227,494,283966.279786316,494,95870,494,0.381760753124678
495,101902.603160143,495,270985.271005251,495,90640,495,0.379071337295644
496,98138.7148561478,496,259039.283345794,496,87120,496,0.381777863710191
497,90203.9828746319,497,238755.596479556,497,79920,497,0.380769425876755
498,87803.2291703224,498,232985.361708402,498,77640,498,0.37985755400147
499,82977.7588176727,499,218648.027824517,499,73230,499,0.382400964444003
500,78155.2759742737,500,206741.118597733,500,68840,500,0.380986616372538
501,75455.9063715935,501,199468.098494108,501,66210,501,0.381228307714248
502,71715.0463323593,502,188542.825162802,502,62690,502,0.383229715737973
503,67024.4813637733,503,177700.125777987,503,58370,503,0.380161625177835
504,63288.100479126,504,166997.346130891,504,54910,504,0.381893557751795
505,59324.8395621777,505,156399.515063397,505,51280,505,0.382220189285346
506,55122.7366228104,506,146324.725501872,506,47500,506,0.379716582346237
507,52663.6045439243,507,138913.797098957,507,45240,507,0.382021852214823
508,47009.5796456337,508,124248.385511903,508,40260,508,0.381291885840636
509,44730.1871623993,509,118797.377346007,509,38190,509,0.379533610398877
510,41718.4105682373,510,109907.038542069,510,35510,510,0.382473405065475
511,38423.9855084419,511,102002.548008293,511,32560,511,0.379698494721424
512,36415.0160036087,512,96358.8918580481,512,30720,512,0.380867041830288
513,33611.5965557098,513,88745.3699756323,513,28230,513,0.381667625877561
514,31248.4287071228,514,82944.3239323573,514,26130,514,0.379740346717202
515,28646.2898397446,515,75547.1298797613,515,23850,515,0.382093462901253
516,27163.1257362366,516,71675.3038103697,516,22510,516,0.381891634190772
517,25858.9066171646,517,68606.9632124701,517,21330,517,0.379907766144405
518,23955.7377986908,518,63070.7091071072,518,19670,518,0.382708705597416
