Wavelength,S1c / R1c
nm,CPS / MicroAmps
420,5.451486111
421.0700073,5.891504288
422,6.056639671
423.0700073,6.402742386
424,6.699024677
425.0700073,6.417095184
426,6.822515965
427.0700073,6.448355675
428,6.752913475
429.0700073,7.062285423
430,7.50812912
431.0599976,7.923314571
431.9599915,8.905629158
433.0299988,10.8057127
433.9299927,12.76407242
435,15.86746788
436.0599976,20.36377716
436.9599915,24.41540527
438.0299988,31.80334663
438.9299927,38.93774414
440,49.34292984
441.0599976,62.54312515
441.9599915,72.65219879
443.0299988,87.93156433
443.9299927,106.687645
445,129.3800507
446.0599976,151.3165436
446.9599915,172.2556305
448.0299988,198.1681213
448.9299927,221.8853149
450,241.9658661
451.0700073,257.3359375
452,275.5282593
453.0700073,284.492218
454,290.1845703
455.0700073,297.1304016
456,287.3104248
457.0700073,282.7587891
458,272.6435242
459.0700073,262.3274536
460,247.1908264
461.0599976,227.5173187
461.9599915,221.0663452
463.0299988,203.5265808
463.9299927,191.5384216
465,177.8179932
466.0599976,161.3034821
466.9599915,147.5421295
468.0299988,136.9308167
468.9299927,127.1188889
470,116.0882034
471.0400085,106.347702
471.9400024,99.34977722
472.980011,90.39139557
474.019989,83.18929291
475.0700073,74.42916107
475.9700012,71.12806702
477.0100098,64.66008759
478.0499878,59.17747879
478.9500122,53.36628723
480,49.50667953
481.0599976,44.9377594
481.9599915,41.83269501
483.0299988,39.1288681
483.9299927,35.98432159
485,31.76736832
486.0599976,30.40899467
486.9599915,28.41540146
488.0299988,25.56773567
488.9299927,24.11777687
490,22.3052063
491.0599976,20.89482689
491.9599915,19.81255341
493.0299988,18.3604908
493.9299927,16.69664764
495,15.86680508
496.0599976,14.77318954
496.9599915,13.72637939
498.0299988,12.65547848
498.9299927,11.91405296
500,11.51505375
501.0400085,10.4240284
501.9400024,10.04053497
502.980011,9.317457199
504.019989,9.020037651
505.0700073,8.115639687
505.9700012,7.655038834
507.0100098,7.551436424
508.0499878,6.84578371
508.9500122,6.673474312
510,6.345951557
511.0599976,5.886422157
511.9599915,5.653982162
513.0300293,5.245482445
513.9299927,5.150919437
515,4.730708122
516.0599976,4.722383499
516.960022,4.518975735
518.0300293,4.244613647
518.9299927,4.113597393
520,3.707057476
521.039978,3.669210911
521.9400024,3.382009506
522.9799805,2.990903378
524.0200195,2.974997759
525.0700073,2.880254984
525.9699707,2.670817614
527.0100098,2.683335066
528.0499878,2.510680914
528.9500122,2.570423603
530,2.406580925
531.039978,2.309402943
531.9400024,2.245080709
532.9799805,2.01358819
534.0200195,2.105860472
535.0700073,1.942319036
535.9699707,1.691331983
537.0100098,1.934395909
538.0499878,1.590242386
538.9500122,1.404322863
540,1.580278158
541.039978,1.447400928
541.9400024,1.54207778
542.9799805,1.366516232
544.0200195,1.378561974
545.0700073,1.241991401
545.9699707,1.295372844
547.0100098,1.237321019
548.0499878,1.088640451
548.9500122,1.0931319
550,0.9914401174
