Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1,Normalized1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps,
420,8283.5874581337,420,18027.6727136873,420,8020,420,0.457785800862549,0.004656316315582
421,11545.2940478325,421,25109.8660821966,421,11180,421,0.458072898067241,0.007824729311935
422,16046.8413114548,422,34980.0176805274,422,15550,422,0.457064041570796,0.012240411710438
423,22586.7824163437,423,49070.1647902581,423,21910,423,0.4585585152095,0.018544024574426
424,30173.3271856308,424,65596.1395806087,424,29310,424,0.458260779052958,0.025937371603888
425,39860.1895022392,425,86769.3366694659,425,38780,425,0.457678148440892,0.035409780692428
426,54269.0872359276,426,117739.890023126,426,52900,426,0.459162942524073,0.04926530519509
427,71071.0361857414,427,154353.738654005,427,69420,427,0.458699984682707,0.065645512259809
428,91854.1003980636,428,199998.867325144,428,89910,428,0.457574233230321,0.086066109577142
429,116294.769629002,429,252191.13815286,429,114080,429,0.459368815767175,0.109415750090346
430,144387.671113014,430,314073.449023067,430,141950,430,0.458010008970521,0.137100495169081
431,176692.632069588,431,384549.664295347,431,173850,431,0.457772771764535,0.1686299585406
432,207630.632601738,432,450429.187830887,432,204460,432,0.459199733370447,0.198102966082535
433,236403.362368107,433,514765.956254616,433,232990,433,0.457546565708946,0.226885779910163
434,248719.2378335,434,540879.704940154,434,245340,434,0.458121910011095,0.23856847994581
435,250000.870047808,435,542338.283148533,435,246820,435,0.459206227415456,0.239221014819
436,238939.194534302,436,520550.457177662,436,236210,436,0.457323428815609,0.229473634681749
437,219448.206639767,437,476744.065624443,437,217230,437,0.45856860389129,0.209875646728232
438,194911.438087225,438,423517.194058854,438,193200,438,0.458486520907592,0.186063149264739
439,172242.271986723,439,375440.462125081,439,170960,439,0.45709366817756,0.164554707690912
440,152641.361443996,440,330772.707426315,440,151710,440,0.459688030099014,0.144571365364403
441,134766.688338518,441,293181.780194767,441,134120,441,0.457955692451904,0.127754035451474
442,120320.064264536,442,261874.692145322,442,119900,442,0.457750898529668,0.113747952943917
443,112948.269885778,443,244792.720339818,443,112700,443,0.459625152446385,0.106105865435753
444,101539.263796806,444,220887.712383632,444,101450,444,0.457972884576568,0.095411306004056
445,99279.8339760304,445,216109.609826731,445,99320,445,0.457692282608978,0.093273691080055
446,103198.172921658,446,223740.823469188,446,103240,446,0.459467372043549,0.096687723319024
447,102936.10811162,447,224087.254929935,447,102980,447,0.457655245476221,0.096842708912535
448,115834.573213577,448,251834.448031845,448,115880,448,0.458238498360755,0.109256175004452
449,132682.603426933,449,287761.735165331,449,132730,449,0.459318306554702,0.12532922999665
450,152419.96366024,450,332756.707459198,450,152470,450,0.456399057846792,0.145458962068116
451,181547.819393158,451,393844.088281691,451,181260,451,0.459201576345993,0.172788073438011
452,218250.773643494,452,474566.162449636,452,217490,452,0.458173211250057,0.208901302148128
453,254626.255311012,453,554664.88317022,453,253260,453,0.457372214261821,0.244735656636493
454,297492.179942608,454,645365.589687837,454,295340,454,0.459204685085727,0.285313099577628
455,356068.673877716,455,775567.549269825,455,352830,455,0.457414570036037,0.343562508966032
456,415233.137672424,456,901836.683898389,456,410630,456,0.458688364638442,0.400052461496026
457,472694.576505661,457,1025829.74564824,457,466520,457,0.459036729216742,0.455524150542614
458,535691.10194397,458,1167466.69378614,458,527640,458,0.457166138601353,0.518889314961771
459,613298.647577286,459,1330677.77117226,459,602880,459,0.459132513161984,0.591906256441823
460,684236.259098053,460,1484867.62071709,460,671280,460,0.459050023197787,0.660887304795538
461,738943.994202375,461,1609712.79807314,461,722880,461,0.457362664644418,0.716740211075348
462,805353.003079891,462,1749364.14800272,462,785600,462,0.458629129783144,0.779217063803273
463,875016.848204613,463,1897349.02048914,463,851130,463,0.459408502207081,0.845422145880582
464,927328.97383976,464,2018357.65738879,464,899460,464,0.457741913725857,0.899558670806399
465,974505.038559437,465,2113579.79650798,465,942550,465,0.459302465309655,0.942158900343655
466,1009569.94553566,466,2192058.03382456,466,974140,466,0.458811107763487,0.977268287239292
467,1020906.58389449,467,2222681.83958658,467,982740,467,0.457612603361302,0.990968684718635
468,1034139.25228357,468,2242869.08199097,468,993120,468,0.459312335838453,1
469,1027903.64643931,469,2229340.93812719,469,984800,469,0.459313170780286,0.993947814666412
470,997928.581476212,470,2174119.39582937,470,953830,470,0.45731478900347,0.969242946669865
471,970021.961048365,471,2101344.5463689,471,922840,471,0.459833026021289,0.936685126395794
472,927597.062539101,472,2018467.1101708,472,878390,472,0.457845781967971,0.899607637503435
473,875050.215605736,473,1902383.62613465,473,824810,473,0.458250538975377,0.847674514480072
474,818994.288955688,474,1775980.69094722,474,768430,474,0.459381359683398,0.791124702608833
475,761112.092741728,475,1658004.12399475,475,710860,475,0.457362551634016,0.738344657141656
476,707822.144548416,476,1533812.71611597,476,659010,476,0.459697490071034,0.682784232526863
477,647425.232554436,477,1408376.68477205,477,600890,477,0.45798138396017,0.626666991547799
478,586721.540956497,478,1275557.51199841,478,542850,478,0.458247594267619,0.567246700222236
479,537172.92986083,479,1165788.42929676,479,495460,479,0.459025542617438,0.518138497419407
480,496962.291061878,480,1082102.79149182,480,456950,480,0.457557851251957,0.480699437423081
481,451300.924557447,481,979653.10341132,481,413820,481,0.458922940377931,0.434865766087607
482,405160.138821602,482,879955.812611769,482,370490,482,0.458690139187859,0.390263454990738
483,371172.665816545,483,807723.311421893,483,338480,483,0.457821012185896,0.357948269056013
484,335562.025356293,484,729134.118827431,484,305170,484,0.458485609910236,0.322789243280704
485,302496.015846729,485,656583.707378344,485,274350,485,0.458959345463058,0.290331831492413
486,278294.272817373,486,605584.595715944,486,251900,486,0.4578373908264,0.267515983380715
487,253915.909858465,487,551185.896912973,487,229380,487,0.458920808677497,0.243179236937392
488,229782.0411129,488,498940.161209863,488,207170,488,0.458794013867273,0.219805677449199
489,208807.170478821,489,454637.960660136,489,187890,489,0.457583090957033,0.19998587577407
490,190787.935622931,490,413543.070338873,490,171340,490,0.459573077062325,0.181600952092584
491,174172.513868093,491,378639.93347314,491,156120,491,0.458269225269219,0.165986078746907
492,159336.296260357,492,346388.652277939,492,142550,492,0.458267040163025,0.151557585599254
493,146043.505484581,493,317001.863495942,493,130410,493,0.458950029019017,0.138410601514923
494,130004.350838184,494,282975.593328802,494,115870,494,0.457714628151032,0.123188018480924
495,118592.092519999,495,257459.114587151,495,105500,495,0.458875520593288,0.111772523498017
496,108550.95191288,496,235702.411923856,496,96380,496,0.458796044955071,0.10203906722405
497,99259.3833334446,497,216048.095096988,497,87960,497,0.457727075269316,0.093246170782452
498,93301.5372977257,498,202419.574903035,498,82520,498,0.45917050230009,0.087149079350922
499,84428.7360210419,499,183354.582053572,499,74530,499,0.458723484409059,0.078619833116528
500,76326.6174316406,500,166023.905780411,500,67250,500,0.458016634145744,0.070866480859356
501,70678.6285278797,501,153161.889878158,501,62040,501,0.459682746505084,0.065112306096888
502,65156.999484539,502,141631.262662829,502,56980,502,0.45831892624274,0.059953764494849
503,58936.508295536,503,128062.067199228,503,51350,503,0.458484088322922,0.053883213604769
504,56357.3154230118,504,122139.273639611,504,48920,504,0.459639347649624,0.051233489838055
505,52043.8007164001,505,113184.994805588,505,45010,505,0.458092820084532,0.047227548182066
506,47040.7006654739,506,102072.83104648,506,40560,506,0.459096266625205,0.042256217657753
507,43635.8908696175,507,94650.0604022459,507,37510,507,0.459259046665454,0.03893543809775
508,39379.140791893,508,85750.9960409771,508,33750,508,0.457529496846683,0.034954198147003
509,37239.9907271862,509,80779.5419032781,509,31820,509,0.459243950955276,0.032730082102574
510,34804.5364379883,510,75571.6692017218,510,29650,510,0.45880342448665,0.030400197744384
511,31136.0669536591,511,67743.4586999737,511,26410,511,0.457905575914815,0.026898033569906
512,30304.3176517487,512,65692.8451273488,512,25590,512,0.459528370004172,0.025980635476415
513,27711.6886496544,513,60314.057023451,513,23300,513,0.457750820328377,0.023574287436161
514,26255.8636608124,514,57058.914598208,514,21980,514,0.458421775483885,0.022118010400437
515,23883.9343500137,515,51798.3987383067,515,19910,515,0.459327088941146,0.019764574684866
516,21967.3321123123,516,47856.7689111935,516,18230,516,0.457332971280455,0.01800117872528
517,20747.8269524574,517,44976.5421350604,517,17140,517,0.459528488259782,0.016712630464155
518,19247.5327119827,518,41809.281455124,518,15830,518,0.458625356332437,0.015295669731938
519,18553.3330812454,519,40417.5991976063,519,15190,519,0.457350762074148,0.014673062592867
520,17248.5572361946,520,37341.5214752567,520,14060,520,0.460115985233281,0.013296895051803
521,15686.9767665863,521,34088.4689297213,521,12730,521,0.458451308392151,0.011841552980952
522,14768.3387088776,522,32126.6940639214,522,11930,522,0.457976097982054,0.010963899313889
523,13765.1815080643,523,29791.0855850346,523,11070,523,0.460254066301771,0.009919000950651
524,12902.344789505,524,28080.5688314199,524,10330,524,0.457769450355437,0.009153754475352
525,11841.4921975136,525,25745.5260546339,525,9440,525,0.458219736488226,0.008109109194428
526,11990.4283866882,526,25978.4173731692,526,9510,526,0.459769297929621,0.008213299498475
527,11210.3156661987,527,24404.7691801274,527,8850,527,0.457647660189416,0.00750928491894
528,10434.5417451859,528,22619.0744802818,528,8200,528,0.459540754179953,0.00671040553227
529,10422.4662923813,529,22602.3016286256,529,8150,529,0.459356011021036,0.006702901738119
530,9000.23071289063,530,19626.8965047979,530,7010,530,0.456893738947827,0.005371772838749
531,9103.80532741547,531,19724.7348081035,531,7050,531,0.459758842560071,0.005415543480923
532,8096.21445989609,532,17600.142026206,532,6240,532,0.458282098679906,0.004465048763841
533,7694.84231829643,533,16766.1012546058,533,5900,533,0.457265520044398,0.004091917802467
534,7341.34398937225,534,15924.9900407749,534,5600,534,0.459231920831071,0.00371562368529
535,6956.79801344872,535,15139.6688465508,535,5280,535,0.457800284790676,0.003364288759989
536,6331.69840168953,536,13759.4300472068,536,4780,536,0.458439086579416,0.002746801165065
537,6129.21038508415,537,13298.5583911417,537,4600,537,0.459133391019158,0.002540617618705
538,5720.34907484055,538,12449.4864408342,538,4270,538,0.457777957130014,0.002160762048232
539,5237.70895385742,539,11376.8967077208,539,3890,539,0.458640850440045,0.001680909681413
540,5874.04515743256,540,12744.9414678425,540,4330,540,0.459132851001097,0.002292941939221
541,4654.51384997368,541,10133.286334403,541,3420,541,0.457628188783223,0.00112454655149
542,4864.58805799484,542,10563.5703399656,542,3550,542,0.458761065612992,0.001317045875416
543,4363.64206123352,543,9467.16961734853,543,3170,543,0.459163013811225,0.000826541010892
544,4475.29078817368,544,9739.6776355104,544,3230,544,0.45778364150556,0.000948454929565
545,4191.49340629578,545,9091.75201127381,545,3010,545,0.459257263056132,0.000658587672109
546,4061.15792870522,546,8830.45789487341,546,2900,546,0.458180990371159,0.00054169059924
547,3699.43702268601,547,8056.00951909409,547,2630,547,0.457517898498508,0.000195219926788
548,3866.73868846893,548,8380.13689290554,548,2730,548,0.459638065434554,0.000340227176692
549,3658.37363147736,549,7953.65267458063,549,2570,549,0.458236836106485,0.000149427791563
550,3505.579662323,550,7619.64428751275,550,2450,550,0.458342576888047,0
