Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,147.587129116058,420,396.825591505637,420,250,420,0.373387174419068
421,178.417841529846,421,480.643582910241,421,280,421,0.372700593310482
422,250.537780475616,422,675.251632236992,422,350,422,0.372529869640318
423,219.048393058777,423,589.247483568987,423,320,423,0.373217006025753
424,290.802401447296,424,784.378242005505,424,390,424,0.37225437245273
425,207.894610881805,425,561.244787045369,425,310,425,0.371940985309161
426,269.035020923615,426,723.436939941796,426,370,426,0.373353644423476
427,258.179344367981,427,696.682603172997,427,360,427,0.372101625542744
428,318.923651504517,428,857.667354415447,428,420,428,0.373320437961884
429,185.614733600616,429,498.986343204093,429,290,429,0.373448984433341
430,297.119097709656,430,801.329244991216,430,400,430,0.372293098304218
431,368.024929857254,431,991.36624271566,431,470,431,0.372723614530764
432,337.230908584595,432,907.701748599783,432,440,432,0.373004378384563
433,215.152025508881,433,579.867294054758,433,320,433,0.372537469947492
434,214.96383228302,434,578.740739410362,434,320,434,0.372919687340128
435,295.823050022125,435,796.869516739973,435,400,435,0.37272500069633
436,285.318652009964,436,768.342658460544,436,390,436,0.372832329822405
437,305.154058408737,437,821.5413555179,437,410,437,0.372926585504614
438,526.760397005081,438,1417.68527684025,438,630,438,0.37304480177627
439,546.22498049736,439,1472.98663129233,439,650,439,0.372336804004377
440,485.118925333023,440,1305.64944791462,440,590,440,0.3730351999452
441,424.192902803421,441,1141.42867244449,441,530,441,0.373111790480301
442,684.674875497818,442,1846.92243918676,442,790,442,0.372224202251626
443,563.488039731979,443,1515.35597155135,443,670,443,0.37332224255204
444,422.579579114914,444,1137.16389408618,444,530,444,0.373087758603701
445,802.079448461533,445,2162.86348688311,445,910,445,0.372349566312011
446,1042.08252916336,446,2800.67501255875,446,1150,446,0.373544317290648
447,1012.06005449295,447,2724.69307409525,447,1120,447,0.37292574245655
448,1022.04035072327,448,2758.10222271529,448,1130,448,0.372077934604699
449,1242.02437033653,449,3338.16911269587,449,1350,449,0.373529790208759
450,1541.99963235855,450,4159.60776803877,450,1650,450,0.372221043682411
451,1855.45257720947,451,4994.79673033826,451,1960,451,0.372961428709689
452,2400.91910667419,452,6457.6053353152,452,2500,452,0.373269490536079
453,2857.89588718414,453,7717.36865506717,453,2950,453,0.371847603192593
454,3094.91000976562,454,8329.68943463441,454,3180,454,0.373033213680093
455,3383.2479019165,455,9097.48293388775,455,3460,455,0.373357300572247
456,4421.54824371338,456,11930.4481902287,456,4480,456,0.372127156118475
457,5089.01357688904,457,13694.0233160047,457,5130,457,0.373101845326491
458,6175.38861999512,458,16609.5789224729,458,6190,458,0.373269195373889
459,7693.32046012878,459,20778.0321458774,459,7670,459,0.37179200040579
460,9339.52982711792,460,25100.1004781025,460,9270,460,0.373552692458175
461,11012.139376545,461,29631.0672017557,461,10880,461,0.373119851173734
462,12150.7781713486,462,32787.0018724512,462,11960,462,0.372114652256571
463,15732.3727631092,463,42243.1303833345,463,15410,463,0.373873308929624
464,18024.6663042069,464,48543.9381817596,464,17590,464,0.372796947552943
465,21601.4421916008,465,58211.6464046473,465,21000,465,0.372583559356515
466,26772.8965835571,466,71860.9463060543,466,25940,466,0.374008953598747
467,31916.7713830471,467,86137.494105268,467,30830,467,0.372052503449511
468,38386.4592804909,468,103297.991750903,468,36970,468,0.373088362041101
469,44865.5542333126,469,120632.185165407,469,43090,469,0.373388023189177
470,52661.7682933807,470,142186.922438652,470,50440,470,0.37189572750411
471,65091.4074405193,471,174979.653262207,471,62030,471,0.373459145355957
472,77391.634147358,472,208408.255279601,472,73390,472,0.372835524631243
473,93834.8018436909,473,253211.564052984,473,88550,473,0.372096596818265
474,115691.816694641,474,311053.3497019,474,108650,474,0.373402792504333
475,144073.87952137,475,387987.324159599,475,134660,475,0.37282615358935
476,173574.110692406,476,467998.761606829,476,161700,476,0.372392282098268
477,217997.958938408,477,585681.688601617,477,202420,477,0.373669185917244
478,268577.514230919,478,723078.925424451,478,248580,478,0.372921831915165
479,325725.807868338,479,878566.125519161,479,300510,479,0.37225869903452
480,393721.610950232,480,1058138.52525202,480,362090,480,0.373550361201397
481,464915.101854801,481,1253005.34361283,481,426360,481,0.372540681922467
482,548910.83357811,482,1479156.69177086,482,501980,482,0.372595695576983
483,634383.582149744,483,1705684.15851005,483,578530,483,0.373390889218807
484,711652.799265385,484,1920261.29745096,484,647200,484,0.372119125942619
485,804346.059315205,485,2163917.44388659,485,729480,485,0.3731839798086
486,879427.582104349,486,2365623.43110661,486,795970,486,0.373227004346905
487,966417.261556196,487,2607512.42958188,487,872950,487,0.372144145825773
488,1045193.21319504,488,2810958.42808003,488,942220,488,0.373299265200775
489,1130311.09789667,489,3043806.30713131,489,1016920,489,0.372837071967763
490,1191878.26404285,490,3216487.5790092,490,1070180,490,0.372071640831288
491,1267688.42201071,491,3410892.72585391,491,1136040,491,0.373136373103798
492,1338807.29569802,492,3603118.24869797,492,1197450,492,0.373049963776729
493,1410146.61610546,493,3800300.74002474,493,1258820,493,0.372561713539783
494,1478114.22350593,494,3970474.17334286,494,1316950,494,0.373730933227433
495,1533141.0278914,495,4129560.70236232,495,1363350,495,0.372752528981259
496,1582459.45056744,496,4260618.85609117,496,1404410,496,0.372902040312832
497,1640283.04480448,497,4406064.06925733,497,1452840,497,0.373732886352358
498,1684158.93156252,498,4538179.88305616,498,1488750,498,0.372607002816084
499,1711169.15605955,499,4604999.84027586,499,1509640,499,0.373069539610256
500,1753254.20516205,500,4710064.42202164,500,1543720,500,0.373691676417789
501,1759477.13064866,501,4748443.21756658,501,1543290,501,0.372057149989022
502,1778400.38579044,502,4781272.45502194,502,1553960,502,0.373417873670978
503,1774175.01498499,503,4778514.96038318,503,1544400,503,0.372773313596936
504,1779518.84886189,504,4796894.45379953,504,1543210,504,0.37247629341136
505,1766018.86593795,505,4745264.71091165,505,1525750,505,0.373623082441526
506,1737268.46539135,506,4685825.7986138,506,1496190,506,0.37226123151657
507,1707137.16121259,507,4597358.7096146,507,1465630,507,0.372819825722083
508,1671839.66953907,508,4495903.06370965,508,1430840,508,0.373328547292705
509,1622104.60333304,509,4372439.43100524,509,1383950,509,0.372486674394317
510,1572920.47457886,510,4231583.52850294,510,1337820,510,0.373185295640688
511,1539005.23475208,511,4138722.54694294,511,1303040,511,0.37332533031094
512,1459972.79639988,512,3938100.24084893,512,1230550,512,0.372242495870084
513,1404204.30345411,513,3773167.60798473,513,1178230,513,0.373614262623366
