Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,169.41339,420,499.36386,420,240,420,0.34207
421,345.42524,421,1017.84306,421,410,421,0.34218
422,417.21787,422,1226.24879,422,480,422,0.34302
423,468.06095,423,1381.58868,423,530,423,0.34162
424,487.76431,424,1435.53424,424,550,424,0.34257
425,713.2226,425,2096.9312,425,770,425,0.34291
426,670.53385,426,1981.36901,426,730,426,0.34126
427,720.23841,427,2119.99075,427,780,427,0.34253
428,1147.92071,428,3378.57942,428,1200,428,0.34256
429,992.32492,429,2932.6852,429,1050,429,0.34121
430,1437.77152,430,4228.34532,430,1490,430,0.34282
431,1365.35216,431,4019.07172,431,1420,431,0.34251
432,1465.73555,432,4326.58368,432,1520,432,0.34161
433,2174.86222,433,6399.99265,433,2220,433,0.34262
434,2467.01417,434,7265.26725,434,2510,434,0.34237
435,2718.12755,435,8018.38655,435,2760,435,0.34181
436,3250.81145,436,9553.9248,436,3290,436,0.34304
437,4155.95577,437,12235.35896,437,4190,437,0.34247
438,4392.69733,438,12965.87841,438,4430,438,0.34162
439,5918.78102,439,17404.49286,439,5950,439,0.34286
440,6685.98552,440,19727.52523,440,6720,440,0.34174
441,8114.95096,441,23926.22493,441,8150,441,0.34198
442,10012.11515,442,29431.84922,442,10050,442,0.34296
443,11202.58339,443,33085.24954,443,11250,443,0.34144
444,13261.18807,444,39037.95736,444,13320,444,0.3425
445,15644.54964,445,46034.25181,445,15720,445,0.34264
446,16834.33322,446,49715.13904,446,16910,446,0.34145
447,21074.25052,447,61963.48265,447,21150,447,0.34289
448,24323.96032,448,71620.63837,448,24400,448,0.34242
449,27243.53456,449,80451.57955,449,27320,449,0.34147
450,31252.99255,450,91866.96191,450,31330,450,0.34298
451,33535.40179,451,98832.47498,451,33550,451,0.34213
452,38044.32981,452,112284.2739,452,37980,452,0.34165
453,42097.14832,453,123808.0922,453,41940,453,0.3428
454,47222.56409,454,139215.6939,454,46950,454,0.34202
455,55838.73021,455,164523.4946,455,55400,455,0.34221
456,61552.7655,456,180801.3704,456,60940,456,0.34321
457,68890.16527,457,203237.0402,457,68060,457,0.34179
458,74804.24298,458,220462.6207,458,73750,458,0.34212
459,82592.81075,459,242901.2539,459,81260,459,0.34281
460,89055.81143,460,263167.3223,460,87440,460,0.34125
461,96987.99657,461,285576.4343,461,94950,461,0.34242
462,106101.9647,462,312418.0267,462,103570,462,0.34242
463,116551.3641,463,344229.8124,463,113440,463,0.34142
464,127996.5764,464,376850.4451,464,124220,464,0.34245
465,135937.5076,465,400944.8821,465,131550,465,0.34186
466,148418.9807,466,437861.7008,466,143280,466,0.34179
467,158464.9726,467,466505.0744,467,152610,467,0.34248
468,169265.1037,468,499020.7878,468,162620,468,0.34201
469,179425.6832,469,528090.1416,469,171970,469,0.34256
470,193451.3297,470,568151.2045,470,184970,470,0.34326
471,207096.8873,471,611271.2939,471,197090,471,0.34163
472,218263.1643,472,642139.7686,472,206750,472,0.34269
473,231900.6145,473,682413.2482,473,218650,473,0.34262
474,240186.6655,474,708972.8429,474,225420,474,0.34161
475,257158.6831,475,755674.7831,475,240240,475,0.34308
476,268895.2909,476,793062.6527,476,250410,476,0.34188
477,280226.5965,477,827132.1224,477,260140,477,0.34162
