Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1,Normalized1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps,
420,114.328057765961,420,276.321241962304,420,150,420,0.415109287150908,0.000568855564664
421,72.6119122505188,421,176.801889157545,421,110,421,0.412169467927197,0.000249713972998
422,93.1752076148987,422,226.166975539163,422,130,422,0.413400464012101,0.000408019385931
423,113.657185077667,423,274.822473672144,423,150,423,0.41493150652949,0.000564049270368
424,41.2485675811768,424,100.600071288832,424,80,424,0.411523333336919,5.34773912504718E-06
425,113.209936618805,425,274.59164159924,425,150,425,0.413698305788069,0.000563309031278
426,112.953634738922,426,273.482104907925,426,150,426,0.414406285916987,0.000559750936338
427,40.9808483123779,427,99.8660743786653,427,80,427,0.411843710436123,2.99393621550034E-06
428,40.8876476287842,428,98.93246183086,428,80,428,0.41466453614364,0
429,81.5888938903809,429,197.909458081727,429,120,429,0.413668390456417,0.000317402346695
430,122.10373878479,430,297.534613325732,430,160,430,0.411869633687239,0.000636883228738
431,152.496517896652,431,368.404641435866,431,190,431,0.41528932941088,0.000864151322179
432,162.520919799805,432,395.258011700189,432,200,432,0.412631818516465,0.000950265500841
433,121.784165382385,433,295.872885895901,433,160,433,0.413048588958777,0.000631554352274
434,172.376657962799,434,416.62137242923,434,210,434,0.415107781060801,0.001018774155231
435,192.487601041794,435,469.574981191856,435,230,435,0.411420857936091,0.001188587347426
436,182.118288516998,436,441.314350109222,436,220,436,0.414071570324983,0.001097960323324
437,191.98434138298,437,465.606104779229,437,230,437,0.413743915498929,0.001175859837652
438,252.279883623123,438,614.585531967474,438,290,438,0.411968632468479,0.001653611452572
439,403.11806678772,439,975.372278620149,439,440,439,0.414672364140549,0.0028105930178
440,473.04127573967,440,1148.46386167431,440,510,440,0.413318769889091,0.003365668204313
441,452.338403463364,441,1100.89190068531,441,490,441,0.412349575275439,0.003213113038701
442,843.294568061829,442,2039.08867564041,442,880,442,0.414930167093964,0.006221750088842
443,1203.17730903625,443,2923.22303419092,443,1240,443,0.413032189814276,0.009057018189785
444,1281.75796508789,444,3111.36682867396,444,1320,444,0.413385515406181,0.009660363251233
445,1790.17732262611,445,4317.8213818226,445,1830,445,0.415928906059972,0.01352925724534
446,1810.14335680008,446,4402.73664479937,446,1850,446,0.412596889957542,0.013801566011619
447,2820.16734552383,447,6844.23425365704,447,2860,447,0.413472457360335,0.021631032451845
448,3570.14095115662,448,8628.03873199752,448,3610,448,0.415141131765628,0.02735138919044
449,4390.08613991737,449,10681.7000557468,449,4430,449,0.412453299274318,0.033937130808843
450,5869.99860048294,450,14205.9372645073,450,5910,450,0.414586493877866,0.045238758487397
