Wavelength,S1c / R1c
nm,CPS / MicroAmps
420,26.70606995
421.0700073,35.75054932
422,47.52679062
423.0700073,63.95665741
424,81.91662598
425.0700073,109.9728088
426,138.6524658
427.0700073,182.4647522
428,227.04245
429.0700073,279.1445618
430,321.8188477
431.0599976,365.1882324
431.9599915,395.808136
433.0299988,408.353302
433.9299927,402.9024353
435,383.6846924
436.0599976,351.2719727
436.9599915,321.5741882
438.0299988,283.4019775
438.9299927,253.8237305
440,222.742691
441.0599976,195.4135895
441.9599915,175.0159149
443.0299988,154.6661072
443.9299927,138.4929199
445,123.4806747
446.0599976,108.9715271
446.9599915,100.7323837
448.0299988,90.99093628
448.9299927,83.57237244
450,76.17338562
451.0700073,68.91146088
452,64.96444702
453.0700073,59.55282211
454,57.48722076
455.0700073,52.43190384
456,49.6062851
457.0700073,47.50003815
458,45.26787567
459.0700073,42.29174423
460,40.04644775
461.0599976,37.647686
461.9599915,36.55330276
463.0299988,34.47384644
463.9299927,33.39397049
465,31.96062851
466.0599976,29.0238266
466.9599915,28.3479023
468.0299988,27.68145752
468.9299927,25.72744751
470,24.99192238
471.0400085,23.88237572
471.9400024,22.54867554
472.980011,20.94669151
474.019989,20.09990883
475.0700073,18.93828011
475.9700012,18.3805542
477.0100098,17.52679062
478.0499878,16.11645508
478.9500122,15.30051231
480,14.92191887
481.0599976,13.68054581
481.9599915,13.25699234
483.0299988,12.34140301
483.9299927,11.81701374
485,11.3299818
486.0599976,10.60540485
486.9599915,10.24821377
488.0299988,9.869117737
488.9299927,9.376998901
490,8.527770996
491.0599976,8.323495865
491.9599915,8.04012394
493.0299988,7.015572548
493.9299927,7.272563934
495,6.877417088
496.0599976,6.547404289
496.9599915,6.162568569
498.0299988,6.107012272
498.9299927,5.772495747
500,5.688333035
501.0400085,5.508999348
501.9400024,5.015060425
502.980011,4.938089848
504.019989,4.831675529
505.0700073,4.607475758
505.9700012,4.769543171
507.0100098,4.079848289
508.0499878,4.101042747
508.9500122,3.78648901
510,4.071144581
511.0599976,3.489241362
511.9599915,3.345000744
513.0300293,3.246528149
513.9299927,3.229052544
515,2.941594362
516.0599976,3.118021488
516.960022,3.0779562
518.0300293,3.005767107
518.9299927,2.893002033
520,2.74680233
521.039978,2.671165466
521.9400024,2.741228104
522.9799805,2.557840109
524.0200195,2.421690941
525.0700073,2.168120384
525.9699707,2.299150467
527.0100098,2.159858942
528.0499878,2.343258142
528.9500122,2.091057301
530,2.190203667
531.039978,1.911671758
531.9400024,2.022615194
532.9799805,2.02858901
534.0200195,1.769884944
535.0700073,1.795531869
535.9699707,1.671647072
537.0100098,1.537042737
538.0499878,1.418963909
538.9500122,1.671955466
540,1.50133884
541.039978,1.547874689
541.9400024,1.742186904
542.9799805,1.422746301
544.0200195,1.453755021
545.0700073,1.479750752
545.9699707,1.266984105
547.0100098,1.368182659
548.0499878,1.255881786
548.9500122,1.317523122
550,1.042468548
