Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,66.5181427001953,420,72.5804112255463,420,146,420,0.897559690674823
421,47.7163994789124,421,52.1047756365332,421,128,421,0.896888480206634
422,35.1995228767395,422,38.426447834447,422,116,422,0.897124781624688
423,76.460288143158,423,83.392868750479,423,156,423,0.89793826275083
424,45.3734243392944,424,49.5538987545415,424,126,424,0.896753696273406
425,57.6341495513916,425,62.8943603564318,425,138,425,0.897453040896385
426,65.7184783935547,426,71.7229388109913,426,146,426,0.897374316990268
427,55.3241452217102,427,60.4192347012627,427,136,427,0.896785691664701
428,55.1983242988586,428,60.2754396654729,428,136,428,0.896879084607431
429,59.1519480705261,429,64.4881177238958,429,140,429,0.898308881946115
430,67.1570563316345,430,73.3019178353805,430,148,430,0.897266464056333
431,89.4646238327026,431,97.6168421425953,431,170,431,0.897571667298153
432,140.174293327332,432,153.042894279741,432,220,432,0.897020567148942
433,79.1597074985504,433,86.3435204800207,433,160,433,0.897872040370378
434,133.845405006409,434,146.113903419365,434,214,434,0.897135717598621
435,111.440190076828,435,121.572952476364,435,192,435,0.897730725675543
436,149.741703891754,436,163.471707217557,436,230,436,0.897111859719393
437,129.336819458008,437,141.193468627107,437,210,437,0.897126878182269
438,195.769189691544,438,213.577537587445,438,276,438,0.897697990995931
439,197.527852725983,439,215.646249076742,439,278,439,0.897083967416406
440,213.371809482574,440,232.836998697322,440,294,440,0.897487292299604
441,255.319898843765,441,278.924234002129,441,336,441,0.896499413135691
442,321.255073547363,442,350.708216984966,442,402,442,0.897119740120869
443,368.974374771118,443,402.967227796209,443,450,443,0.896759277938349
444,464.63726234436,444,507.104319479546,444,546,444,0.897348530400136
445,594.058843374252,445,648.719367633942,445,676,445,0.896852889844698
446,652.051640129089,446,711.298020085867,446,734,446,0.897782559781097
447,828.049135494232,447,903.686442904851,447,910,447,0.897392428409635
448,1098.04335136414,448,1198.50569228293,448,1180,448,0.897272701086255
449,1350.02648949623,449,1473.83866442737,449,1432,449,0.897095966927918
450,1449.99965429306,450,1582.16939307107,450,1532,450,0.897547969636207
451,1957.64272994995,451,2133.85580344875,451,2036,451,0.89846954173339
