Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,20.1633120059967,420,23.6479447397077,420,58,420,0.837374511046139
421,11.8253685665131,421,13.8537377272481,421,50,421,0.838280735090607
422,36.6489149951935,422,42.9973565539815,422,74,422,0.837092775821493
423,13.845511636734,423,16.2054272597264,423,52,423,0.839039374603924
424,28.2552687931061,424,33.1160171585618,424,66,424,0.837928190693596
425,11.7326661586761,425,13.7478966612087,425,50,425,0.838115642625186
426,11.7061039638519,426,13.7213446915533,426,50,426,0.837841880880628
427,21.9247538471222,427,25.6455750158065,427,60,427,0.839557958274201
428,23.9192738628387,428,28.0340733525827,428,62,428,0.837929026112283
429,9.58669503211975,429,11.2254983850254,429,48,429,0.838688656683932
430,38.0556652545929,430,44.5594257313429,430,76,430,0.838719800634812
431,44.1223258447647,431,51.5839548091844,431,82,431,0.839977738998181
432,15.6426385307312,432,18.326140080833,432,54,432,0.838264244917551
433,29.8371205186844,433,34.8871702717329,433,68,433,0.839878025865131
434,23.7271399784088,434,27.7899090585982,434,62,434,0.838489902567478
435,17.6278118848801,435,20.6185387561973,435,56,435,0.839592519430834
436,17.6047678899765,436,20.6039057377402,436,56,436,0.839100402892669
437,27.6861629152298,437,32.3711701915286,437,66,437,0.839903062485794
438,39.7593096590042,438,46.5543226794739,438,78,438,0.838718077154617
439,19.5512262392044,439,22.8731034307878,439,58,439,0.83941892782005
440,13.4867087125778,440,15.7775751816628,440,52,440,0.839450779778731
441,37.5943473100662,441,43.9397023326813,441,76,441,0.840208451884837
442,45.5780635595322,442,53.3742544789028,442,84,442,0.838614397499418
443,57.5519812822342,443,67.2998214039,443,96,443,0.839793113757217
444,27.4376314401627,444,32.0843281097832,444,66,444,0.839806953478658
445,67.4066768407822,445,78.8075045019927,445,106,445,0.839961774490399
446,69.4054966640472,446,81.1474432991922,446,108,446,0.839930842636683
447,81.4048304700852,447,95.2132177162859,447,120,447,0.839616036276132
448,101.404003486633,448,118.542731262371,448,140,448,0.840046769758712
449,123.402421336174,449,144.358030696276,449,162,449,0.839483013970071
450,133.399968194962,450,155.929597902629,450,172,450,0.840135877270607
451,167.712074203491,451,196.050537454565,451,206,451,0.840077335401497
452,216.203167047501,452,252.526440996613,452,254,452,0.840758120759658
453,282.973927745819,453,330.960247062383,453,320,453,0.839649497274092
454,255.289777498245,454,298.305635868815,454,292,454,0.840410493507338
455,380.91818561554,455,445.532438248351,455,416,455,0.839614981893826
456,501.014409866333,456,584.788605597397,456,534,456,0.841320246909656
457,656.038906745911,457,767.543549691012,457,686,457,0.839376609095192
458,805.582593078613,458,940.604187295841,458,832,458,0.841038967922796
459,1043.20692935944,459,1218.9325623426,459,1064,459,0.840446189154917
460,1328.65566215515,460,1551.49175073038,460,1342,460,0.840962671689977
461,1596.2081714201,461,1865.76844670656,461,1600,461,0.840144635052439
462,2115.4164426899,462,2467.81858476146,462,2102,462,0.841759646621335
463,2812.3338423872,463,3286.57865793234,463,2774,463,0.840317318002349
464,3478.11516477585,464,4062.08572636996,464,3412,464,0.840833422882386
465,4834.16536581516,465,5643.82650307203,465,4714,465,0.841123792292674
466,5983.68849239349,466,6985.68796334481,466,5812,466,0.841146471430468
467,7784.81657059193,467,9096.71215835669,467,7532,467,0.840395252266145
468,9836.02252964973,468,11492.6895482057,468,9484,468,0.840459572638574
469,12765.3159215689,469,14902.6818047692,469,12268,469,0.841160416437552
470,16804.8502993584,470,19622.8435996911,470,16100,470,0.840981147794396
471,22212.9867767286,471,25954.9739652688,471,21170,471,0.840437797584016
472,29123.9329103375,472,33997.2105483257,472,27616,472,0.841235600304667
