Wavelength,S1c / R1c
nm,CPS / MicroAmps
420,10.1480484
421.0700073,8.641598701
422,7.648383141
423.0700073,7.085710526
424,6.296379566
425.0700073,5.681102753
426,5.414879322
427.0700073,4.811074257
428,4.793707371
429.0700073,4.583948135
430,4.462007523
431.0599976,4.329394817
431.9599915,4.582158089
433.0299988,4.231502533
433.9299927,4.778702259
435,4.791081429
436.0599976,5.258857727
436.9599915,5.688652515
438.0299988,6.264044762
438.9299927,7.084852695
440,7.221372604
441.0599976,9.286195755
441.9599915,10.37754059
443.0299988,11.77735519
443.9299927,13.42028046
445,15.38279629
446.0599976,18.11939621
446.9599915,20.49287415
448.0299988,22.91488838
448.9299927,26.1347599
450,29.7397213
451.0700073,34.80390167
452,36.79819107
453.0700073,42.18399048
454,47.0193634
455.0700073,52.63080978
456,56.91759872
457.0700073,60.8416481
458,66.81728363
459.0700073,73.26766968
460,77.47415924
461.0599976,84.96305847
461.9599915,88.03991699
463.0299988,95.48552704
463.9299927,101.6508713
465,105.802803
466.0599976,113.1858749
466.9599915,116.3680954
468.0299988,122.1924896
468.9299927,126.816658
470,129.5171967
471.0400085,139.1914825
471.9400024,138.5541229
472.980011,146.6763
474.019989,152.1904755
475.0700073,155.7650452
475.9700012,159.2657471
477.0100098,168.4094238
478.0499878,175.4052124
478.9500122,175.6669922
480,183.6183014
481.0599976,182.0725098
481.9599915,183.3904419
483.0299988,191.5508881
483.9299927,195.0063782
485,198.0688782
486.0599976,204.7541656
486.9599915,205.7136993
488.0299988,212.434845
488.9299927,213.1794434
490,214.8271332
491.0599976,218.4052277
491.9599915,221.7902222
493.0299988,224.0086517
493.9299927,227.9042206
495,228.0919189
496.0599976,230.8537445
496.9599915,232.1349945
498.0299988,230.9785156
498.9299927,237.3538666
500,234.2812042
501.0400085,238.5560913
501.9400024,238.6841431
502.980011,240.4580078
504.019989,238.5296021
505.0700073,240.6207581
505.9700012,243.2947388
507.0100098,237.2806549
508.0499878,235.4062653
508.9500122,232.2925415
510,223.2166901
511.0599976,223.2314911
511.9599915,213.9351959
513.0300293,211.3429565
513.9299927,200.3062134
515,192.3191528
516.0599976,184.0682983
516.960022,175.1948547
518.0300293,160.7757721
518.9299927,152.3373566
520,138.4966125
521.039978,130.7675934
521.9400024,119.4160767
522.9799805,109.653389
524.0200195,99.67767334
525.0700073,92.12330627
525.9699707,82.91815948
527.0100098,75.90428925
528.0499878,68.10534668
528.9500122,61.36257172
530,55.18990326
531.039978,50.13388062
531.9400024,43.9935112
532.9799805,40.95711517
534.0200195,37.21334839
535.0700073,34.21077728
535.9699707,31.07430458
537.0100098,27.58014679
538.0499878,24.77448273
538.9500122,22.5158577
540,21.70074081
541.039978,19.0207386
541.9400024,17.6637001
542.9799805,16.70947456
544.0200195,15.98357391
545.0700073,13.89694786
545.9699707,12.73665142
547.0100098,11.91100693
548.0499878,10.3627739
548.9500122,9.751732826
550,8.592755318
