Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,-17.4610124588013,420,-18.9435409672521,420,70,420,0.90264662143448
421,-21.5761110687256,421,-23.3964731091433,421,66,421,0.903084981259703
422,15.7362572860718,422,17.0745547457995,422,102,422,0.902531811255791
423,-2.89309198379518,423,-3.13739135101451,423,84,423,0.903025242338611
424,21.8617408180237,424,23.7149365407969,424,108,424,0.902757999911568
425,9.46846742630004,425,10.2660867295983,425,96,425,0.903191248042542
426,11.5007337188721,426,12.4721380285145,426,98,426,0.903007037077694
427,-6.96674421310426,427,-7.55404926906867,427,80,427,0.903140739925735
428,-8.99528247833253,428,-9.75644736455386,428,78,428,0.902881269562767
429,-8.97477832794191,429,-9.72547987414449,429,78,429,0.903677772234612
430,-0.814024925231945,430,-0.882195222912738,430,86,430,0.903596595478196
431,-10.979749288559,431,-11.9042699465399,431,76,431,0.90322170077029
432,11.3764643859863,432,12.3313936656377,432,98,432,0.903437387564675
433,3.24757774353026,433,3.5220053015656,433,90,433,0.902976199065529
434,11.3565798187256,434,12.308975972253,434,98,434,0.903499725057499
435,29.5823050022125,435,32.0702321443149,435,116,435,0.903303988366531
436,55.8496084785461,436,60.5029024950764,436,142,436,0.903946232313002
437,5.25430829048156,437,5.6996714038557,437,92,437,0.902764043917812
438,5.24742157936095,438,5.68501631042789,438,92,438,0.903885506148275
439,7.25612520217894,439,7.86954080393217,439,94,439,0.902947229492053
440,13.2854145526886,440,14.3871597422097,440,100,440,0.904265713203501
441,23.3205576896667,441,25.2985923552294,441,110,441,0.902716727939622
442,11.2439275741577,442,12.1830491857595,442,98,442,0.903778719040737
443,39.3037920951843,443,42.641565108259,443,126,443,0.902632436101472
444,17.2236226558685,444,18.6593958997225,444,104,444,0.903911449903932
445,45.2044776439667,445,49.0021325296711,445,132,445,0.903378754905772
446,33.2026295280456,446,35.9740940245352,446,120,446,0.903820802780247
447,31.2018514823913,447,33.8329593372264,447,118,447,0.90312096529839
448,65.2025742340088,448,70.6616114641303,448,152,448,0.903613373279421
449,65.2012793445587,449,70.6318794461803,449,152,449,0.903969620984474
450,65.1999844551086,450,70.6628228869711,450,152,450,0.903562866688493
451,57.3066346740723,451,62.1363945046049,451,144,451,0.903158735378307
452,167.823442573547,452,182.040301596771,452,254,452,0.902803575624895
453,160.090438156128,453,173.477897335127,453,246,453,0.903695265673032
454,178.521501865387,454,193.579581880201,454,264,454,0.903101762875625
455,231.336640548706,455,250.611853523514,455,316,455,0.903943966382865
456,397.656168670654,456,431.563910462221,456,480,456,0.902349094889305
457,424.793805541992,457,460.351451061496,457,506,457,0.903628618335311
458,508.895885620117,458,551.972792479496,458,588,458,0.902857091248975
459,686.925413208008,459,744.074700580986,459,762,459,0.904046741191888
460,928.856098937988,460,1007.96966086157,460,998,460,0.90242746708034
461,1105.3031093502,461,1198.02456903753,461,1168,461,0.903479343893299
462,1424.22047212601,462,1543.92486128887,462,1476,462,0.90334724474396
463,2090.38428322792,463,2264.52317578163,463,2120,463,0.903957359021794
464,2686.06913715363,464,2913.2521216516,464,2692,464,0.902913998138865
465,3419.50457668304,465,3705.53437040989,465,3394,465,0.903677061175054
466,4544.92513542175,466,4930.09022234964,466,4472,466,0.902776578249871
467,5731.76261553764,467,6212.52950547857,467,5604,467,0.903487654592619
468,7569.82393255234,468,8212.5934714764,468,7356,468,0.902640884892831
469,9341.37122387886,469,10129.1868964236,469,9036,469,0.903112110623249
470,13201.2251234055,470,14323.7803350324,470,12704,470,0.902541054267107
471,17492.9609750843,471,18961.1972351529,471,16728,471,0.90344234056752
472,22802.0284817886,472,24737.896135687,472,21678,472,0.902651649968329
473,29320.2722225952,473,31787.1780389606,473,27722,473,0.903275604730544
474,38005.9907339478,474,41198.508286143,474,35744,474,0.90338712206261
475,47070.0731661797,475,51008.266168989,475,44046,475,0.903660633563032
476,55670.2073721313,476,60373.2968760388,476,51914,476,0.902993357573535
477,65090.7820850182,477,70625.0438788044,477,60494,477,0.902549580878288
478,74007.3343569946,478,80265.3150723677,478,68554,478,0.902929798614667
479,79981.4179364777,479,86769.0166272757,479,73850,479,0.902679642979322
480,84999.3686847687,480,92200.1524368941,480,78234,480,0.902801495089042
481,88444.3795626163,481,95965.4039113797,481,81176,481,0.902538927954887
482,89024.1079025269,482,96544.4639198444,482,81482,482,0.902998075591032
483,87844.3072514534,483,95308.7959872188,483,80182,483,0.902590192144679
