Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
370,1708.05597746372,370,2557.96086063696,370,1330,370,0.631048923482591
371,1331.71731507778,371,1996.06482814615,371,1060,371,0.630523564110481
372,1593.53236782551,372,2402.797546038,372,1270,372,0.626861265094099
373,1537.53257453442,373,2309.08748073177,373,1240,373,0.629316055115744
374,1135.24401557446,374,1706.42988708731,374,940,374,0.628774710493771
375,1377.19122254848,375,2074.06180850016,375,1140,375,0.627606216313829
376,985.046196627617,376,1479.02695756324,376,840,376,0.629452565959532
377,937.061458325386,377,1409.51843005447,377,810,377,0.628346321914543
378,902.201274895668,378,1358.98765974016,378,790,378,0.627486944086327
379,721.817593884468,379,1084.91178960838,379,650,379,0.628820273236172
380,870.222141623497,380,1308.45042929032,380,780,380,0.628594093168207
381,756.358954954147,381,1136.79942895298,381,690,381,0.628835909679667
382,608.486218428612,382,913.321262075246,382,570,382,0.629659955783158
383,580.451343917847,383,874.147074079672,383,550,383,0.627618565442081
384,634.571089339256,384,953.373177523254,384,600,384,0.629080640619726
385,838.602147817612,385,1258.13192083057,385,780,385,0.629946561607178
386,615.650807785988,386,926.930353361217,386,590,386,0.627768046256077
387,647.586269950867,387,971.593924720631,387,620,387,0.629922583374756
388,507.419688248634,388,761.994626627524,388,500,388,0.629360532576815
389,436.846645784378,389,657.735148495397,389,440,389,0.627754800674002
390,559.932946324348,390,839.795257081384,390,550,390,0.630134509826932
391,422.345941829681,391,634.687679793889,391,430,391,0.628926519226684
392,522.644991135597,392,785.713313305814,392,520,392,0.628692679246902
393,453.516452932358,393,679.477901501789,393,460,393,0.63077897048043
394,564.305199694633,394,848.961535026892,394,560,394,0.628245741702929
395,607.295136451721,395,913.119590888801,395,600,395,0.628593087041842
396,537.011688637734,396,804.696588263658,396,540,396,0.630685281519163
397,644.357039308548,397,969.401531318191,397,640,397,0.628241279460973
398,904.198684477806,398,1356.70826325896,398,880,398,0.629872442042136
399,1433.90106744766,399,2150.50119653644,399,1370,399,0.630158422255829
400,2532.46733272076,400,3812.72591452733,400,2390,400,0.627797535772163
401,4601.49759998322,401,6909.47062418606,401,4300,401,0.629415691189822
402,7923.52481215,402,11882.0526397243,402,7370,402,0.630225586674346
403,12549.169650507,403,18911.6767574912,403,11650,403,0.627200981038772
404,16863.3853287458,404,25278.2860196296,404,15650,404,0.630466543925279
405,18706.0877737999,405,28077.5157251654,405,17370,405,0.629655869288868
406,19720.8994974613,406,29724.9936514337,406,18340,406,0.627088298700544
407,19741.501764679,407,29562.7421109347,407,18390,407,0.631087574709067
408,17493.6495903492,408,26332.1416318455,408,16330,408,0.627918767800311
409,17152.838793087,409,25784.5138818686,409,16040,409,0.628741222221429
410,16223.8263971806,410,24309.5178440203,410,15200,410,0.630721216919708
411,14999.8296754837,411,22599.824294178,411,14120,411,0.62733665646389
412,13786.1102860928,412,20689.2758751083,412,13040,412,0.629757941047057
413,12889.2273978233,413,19324.9760956279,413,12250,413,0.630340213554431
414,11599.97201581,414,17493.6681747776,414,11080,414,0.626766032134172
415,11076.1112747192,415,16609.0462946384,415,10630,415,0.63024776055503
416,11236.4992883205,416,16880.6325267785,416,10800,416,0.629115907494601
417,10968.1685442925,417,16512.14510096,417,10560,417,0.627829053753443
418,11910.0927269459,418,17844.0020653624,418,11480,418,0.630786291837878
419,10850.2772359848,419,16319.3449977971,419,10480,419,0.628403894277153
420,11664.5799300671,420,17545.8543360429,420,11280,420,0.628342465255755
421,12419.7489339352,421,18620.4532646099,421,12030,421,0.630360952155324
422,12343.6444488049,422,18582.6308036686,422,11980,422,0.627836930149321
423,14024.2633914471,423,21046.3303167568,423,13630,423,0.629768152991247
424,15460.9943436146,424,23178.7587280275,424,15050,424,0.630395893827268
425,15615.7669847012,425,23526.176256863,425,15230,425,0.627379922758625
426,16330.0150295734,426,24485.8662073194,426,15960,426,0.630288102884423
427,18505.9265766621,427,27819.5502320905,427,18120,427,0.628718166192035
428,19148.7075757503,428,28801.5178914254,428,18790,428,0.628384106489517
429,19441.6135529041,429,29118.4658235011,429,19120,429,0.630986010305595
430,19091.9370901585,430,28745.1351031218,430,18820,430,0.627765636321171
431,19827.5972569227,431,29792.0921694575,431,19560,431,0.629012448140335
432,19789.9692528725,432,29700.4665734569,432,19540,432,0.629737275879083
433,19204.3480127573,433,28918.7963151927,433,18980,433,0.627672189593171
434,18994.8937271595,434,28501.5972101134,434,18790,434,0.629858675753904
435,18623.6819471121,435,27953.5451708804,435,18440,435,0.62966203956146
436,17789.9214833021,436,26802.4993320091,436,17640,436,0.62736127365808
437,16321.7003492594,437,24477.4507121624,437,16210,437,0.63018632867261
438,16259.9430592775,438,24419.7638764729,438,16170,438,0.629307039079101
439,16510.708220458,439,24858.9804231652,439,16440,439,0.627761053916256
440,14828.3342882395,440,22228.7176276003,440,14790,440,0.630439382328111
441,15372.4693425894,441,23113.4701942845,441,15350,441,0.628602036321286
442,15192.3532124758,442,22849.2159549996,442,15190,442,0.628425961346318
443,15754.6042140722,443,23607.8647828622,443,15770,443,0.630684161905558
444,15944.8688110113,444,24021.6106647528,444,15980,444,0.62738957871071
445,17184.7021981478,445,25819.1323898563,445,17240,445,0.629056640452796
446,17174.3601471424,446,25800.3608639798,446,17230,446,0.629133531395295
447,17214.0214604616,447,25915.8547011835,447,17270,447,0.6278095740026
448,17713.6993467331,448,26515.7336244548,448,17770,448,0.631328812340238
449,18183.3567840815,449,27335.6670645668,449,18240,449,0.628695084413436
450,19112.9954431057,450,28772.471542898,450,19170,450,0.627858619563471
451,20531.2039226532,451,30739.1729916413,451,20550,451,0.631210578664027
452,21733.7380505085,452,32691.1976676203,452,21710,452,0.628355184409627
453,21965.1723658562,453,33011.2774566908,453,21900,453,0.62887570841472
454,22318.2101062298,454,33403.6273692945,454,22210,454,0.631414058423105
455,23510.1412229538,455,35429.5054873476,455,23350,455,0.6272082957205
456,24022.1947467804,456,36035.3880691498,456,23810,456,0.630022533207671
457,25367.0403963089,457,38018.701236002,457,25090,457,0.630573302992554
458,26869.3372329712,458,40481.0089366233,458,26520,458,0.627370979201228
