Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,126.800209522247,420,342.810021850363,420,220,420,0.371499842528531
421,126.552189922333,421,341.321477421792,421,220,421,0.372353153796234
422,105.598568630219,422,284.06479879614,422,200,422,0.37328675823943
423,136.388622093201,423,368.793936620428,423,230,423,0.371440744048655
424,177.36884059906,424,478.174343114411,424,270,424,0.372505226935341
425,207.894610881805,425,559.866105214315,425,300,425,0.37289019973139
426,310.109069919586,426,838.259711051185,426,400,426,0.371556754948539
427,370.87667722702,427,998.637691518952,427,460,427,0.37294165475033
428,339.367475318909,428,914.591911623288,428,430,428,0.372630054553943
429,675.148096942902,429,1825.82710363638,429,760,429,0.371395686753622
430,775.358741283417,430,2087.40835421784,430,860,430,0.373002326792768
431,856.013787126541,431,2311.05263627298,431,940,431,0.371995746478411
432,966.999472808838,432,2612.92595750503,432,1050,432,0.371690647002753
433,1605.52124695778,433,4320.22887930896,433,1680,433,0.373178581296919
434,1908.31100168228,434,5158.52390444538,434,1980,434,0.371546777369803
435,2149.78257584572,435,5797.71130630859,435,2220,435,0.372379373878469
436,2855.21005663872,436,7680.99928210895,436,2920,436,0.37327005558809
437,3902.33434958458,437,10549.6686277642,437,3960,437,0.371515581253592
438,4754.97124652862,438,12811.1335020094,438,4810,438,0.372726685123527
439,6431.74875559807,439,17324.3239567506,439,6480,439,0.37281919438971
440,7721.64397335052,440,20853.7535207822,440,7770,440,0.371876408447383
441,10456.0534951687,441,28160.1689100335,441,10500,441,0.372868377756515
442,13334.0933964252,442,35903.3043668507,442,13380,442,0.372947830268131
443,15472.8601942062,443,41767.8168650697,443,15530,443,0.372043286664432
444,19799.155066967,444,53214.2003449126,444,19870,444,0.373598763270549
445,24204.3975207806,445,65281.5442296129,445,24300,445,0.372351353974449
446,27874.2075363159,446,75197.7476570208,446,27970,446,0.372264121626476
447,31593.874744606,447,84991.2877086778,447,31690,447,0.373276764448231
448,39803.5714672089,448,107567.783657673,448,39900,448,0.371641997693545
449,46292.9083346367,449,124783.219223726,449,46390,449,0.372560498797168
450,53861.9871582985,450,145035.82258742,450,53960,450,0.37292973549076
451,62578.4443183899,451,169129.923772967,451,62560,451,0.371612873196289
452,77228.8954455376,452,207923.54303893,452,77040,452,0.37298659092873
453,90756.7978923797,453,244632.768202319,453,90350,453,0.372565641724142
454,105100.000663662,454,284249.757029739,454,104420,454,0.371365542063306
455,129033.76440239,455,346825.845608024,455,127940,455,0.373576330467297
456,158235.197005463,456,426976.907986598,456,156560,456,0.372182799198016
457,182951.152767563,457,493994.356402594,457,180640,457,0.371948330270047
458,211642.610116577,458,569044.07754838,458,208540,458,0.373465261507533
459,249307.533112335,459,673033.161131036,459,245150,459,0.372018747671533
460,283337.807739258,460,764285.806841153,460,278050,460,0.372306056830335
461,316974.188578749,461,852385.115762123,461,310160,461,0.37340825324326
462,345230.960426617,462,933423.672746847,462,336840,462,0.371470710163463
463,375915.495890808,463,1013157.87106709,463,365730,463,0.372605583271918
464,393065.986985779,464,1058433.58832531,464,381330,464,0.37292542392934
465,401074.221185446,465,1085189.12528302,465,388000,465,0.371215353861413
466,412229.228590012,466,1108677.28359786,466,397840,466,0.373363410763359
467,410103.812805176,467,1105123.75794815,467,394850,467,0.37266297848953
468,404256.423026562,468,1093328.70504413,468,388300,468,0.371368461021858
469,396727.488915443,469,1067567.10974622,469,380170,469,0.373168537676239
470,382744.71077919,470,1032492.3230222,470,365910,470,0.372284391019623
471,362870.773413038,471,979467.872519139,471,345300,471,0.372070358616218
472,344706.533240986,472,927461.039363764,472,326500,472,0.373215269384889
473,320395.526224661,473,865341.56843431,473,302080,473,0.371854528775214
474,301068.17570343,474,811737.380276656,474,282560,474,0.372470902290655
475,280521.754450083,475,754212.916098943,475,262080,475,0.373477940130248
476,257841.209211016,476,696780.670778615,476,240140,476,0.371655459521263
477,237231.932044554,477,639269.134048672,477,220260,477,0.372668340046332
478,217201.54731555,478,584429.649539156,478,201040,478,0.373196186362547
479,195154.434230661,479,527474.674594393,479,180080,479,0.371590322375846
480,180677.172451019,480,486079.017684316,480,166210,480,0.373250340518118
481,166694.595794678,481,448940.44471963,481,152930,481,0.372868580889137
482,147644.362001419,482,399162.399277817,482,135090,482,0.371500483397647
483,137304.16446209,483,369313.481155029,483,125290,483,0.373326257759177
484,125343.062250614,484,338131.845147484,484,114070,484,0.372277702663479
485,116556.357662678,485,314694.510280955,485,105790,485,0.371975943431987
486,105850.168678665,486,284591.042831177,486,95890,486,0.373476082372751
487,96262.8397284031,487,259928.778434355,487,87040,487,0.371941057788406
488,88622.2914647579,488,239046.902221357,488,79980,488,0.372315194460448
489,80839.4114755154,489,217420.672935374,489,72820,489,0.373354077630018
490,73760.0482971668,490,199358.552258122,490,66320,490,0.371598121524108
491,69160.1142399788,491,186356.309137429,491,62070,491,0.37268659361047
492,63669.6658361912,492,171272.812759715,492,57040,492,0.373289665515472
493,56353.792673254,493,152364.976974474,493,50400,493,0.371476509218341
494,50670.4921907902,494,136473.338662858,494,45240,494,0.372847610783812
495,48901.1035273075,495,131682.639314113,495,43580,495,0.372915781805533
496,44513.4402830124,496,120328.127847788,496,39600,496,0.371547018649395
497,41191.9101668835,497,110799.817129043,497,36580,497,0.373313353115658
498,39350.2373019218,498,105981.847368968,498,34880,498,0.372854658198323
499,34292.9393408775,499,92671.1424692897,499,30350,499,0.371658707020605
500,31793.6707611084,500,85513.8821551483,500,28090,500,0.373339031510902
501,29646.4865136623,501,79915.4092967323,501,26100,501,0.372547690236332
502,28100.0290065765,502,75890.0146182516,502,24650,502,0.371873613466487
503,25771.2232765198,503,69285.8829809047,503,22530,503,0.373492529439384
504,23977.5179512024,504,64703.049824986,504,20890,504,0.372167002775661
505,22516.8152031899,505,60729.5374855865,505,19550,505,0.37235392794133
506,20776.4062282562,506,55812.1864777021,506,17990,506,0.373782113349762
507,19222.6233617306,507,51935.0880452475,507,16600,507,0.371733837480383
508,17845.6450496674,508,48091.2561618405,508,15370,508,0.372649191697301
509,16154.911935854,509,43447.5921863127,509,13880,509,0.373367736629893
510,14794.2796440125,510,39994.472957877,510,12680,510,0.371522293690012
511,14034.8538521767,511,37777.7764776222,511,11980,511,0.373065093580762
512,13291.6588228226,512,35780.7262444925,512,11300,512,0.373030948703678
513,13172.8852884293,513,35616.4322962375,513,11150,513,0.371470358019235
514,12262.3144374847,514,32986.4597980394,514,10340,514,0.373283567960545
515,10898.0973353386,515,29337.1395027278,515,9160,515,0.373033322160543
516,9995.25694351196,516,27006.2521459612,516,8370,516,0.371715674992139
517,9933.21943387985,517,26702.1812530319,517,8280,517,0.373536236808473
518,9809.16717805862,518,26426.5486083852,518,8140,518,0.372752477721267
519,8801.19142599106,519,23783.0475257883,519,7280,519,0.371670000669847
520,8140.4325799942,520,21887.4534194963,520,6710,520,0.373461179066359
521,7487.19111919403,521,20185.5815973163,521,6150,521,0.372494206036943
522,7175.32416057587,522,19381.9779300467,522,5870,522,0.371809030167408
523,6610.2849855423,523,17765.6193021495,523,5390,523,0.373615846914764
524,6478.78441667557,524,17486.0245437037,524,5260,524,0.372103740077041
525,6017.84885692596,525,16236.1117362888,525,4870,525,0.372232530927532
526,5782.27635307312,526,15545.8083378478,526,4660,526,0.373488619613254
527,5582.22764196396,527,15083.6394476024,527,4480,527,0.371692505952344
528,4854.94261322022,528,13087.6143917686,528,3890,528,0.372531991327172
529,4750.58587055206,529,12785.3469587638,529,3790,529,0.373117099823436
530,4709.60348510742,530,12735.6688141772,530,3740,530,0.371414693005185
531,4047.29173984528,531,10899.5924018365,531,3210,531,0.372886246989918
532,4279.61449317932,532,11513.66688532,532,3370,532,0.373245873984628
533,3922.39654583931,533,10607.1692890271,533,3080,533,0.371406013377145
534,3560.88252601624,534,9568.2051423418,534,2790,534,0.373687881270992
535,3820.25313472748,535,10287.9119906951,535,2970,535,0.372895010064458
536,3550.03470640182,536,9593.37384281826,536,2750,536,0.371659556744388
537,3087.5055390358,537,8293.79320993512,537,2390,537,0.373792964255719
538,3242.43483104706,538,8750.98833511118,538,2490,538,0.372113353352202
539,3003.49872822762,539,8099.86921324718,539,2300,539,0.372388820022213
540,3063.28710079193,540,8233.98978698492,540,2330,540,0.373564344450528
541,2585.53410301208,541,6984.30288898833,541,1970,541,0.371795716159204
542,2657.45496196747,542,7163.51705045423,542,2010,542,0.372545150124888
543,2268.53443055153,543,6100.359844534,543,1720,543,0.373409802963965
544,2606.36432065964,544,7041.90572915349,544,1950,544,0.371728201980644
545,2395.94825792313,545,6447.4308321229,545,1790,545,0.373163295090304
546,2126.05179986954,546,5721.48403370895,546,1590,546,0.37314221650453
547,2125.02545256615,547,5743.42689973041,547,1580,547,0.371603629946749
548,2094.96439390182,548,5637.09968650837,548,1550,548,0.373188160716643
549,2049.85062208176,549,5519.87370809776,549,1510,549,0.372918197939321
550,1960.20329451561,550,5292.84966025077,550,1440,550,0.371947011576936
