Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1,Normalized1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps,
420,100.816560029984,420,218.615019338165,420,140,420,0.459384240018143,0.000232598761732
421,17.6343215465546,421,38.4460882498433,421,60,421,0.456993483740772,0
422,110.774969053268,422,240.838218854567,422,150,422,0.458224959523839,0.000261288995159
423,100.224972295761,423,217.228548681107,423,140,423,0.459596043207918,0.000230808822945
424,89.7156344890594,424,195.647790546813,424,130,424,0.456878199779108,0.000202947983737
425,79.2469556331635,425,171.987589986784,425,120,425,0.459009881378411,0.000172402576605
426,109.873081064224,426,238.265226928097,426,150,426,0.45936252938474,0.000257967252989
427,109.623769235611,427,238.999844817081,427,150,427,0.456994006831115,0.000258915647423
428,150.262105035782,428,325.675758350905,428,190,428,0.459601147511083,0.000370814574936
429,119.323757314682,429,259.385974591861,429,160,429,0.458290414719628,0.000285234216965
430,88.5252106189728,430,192.678950292361,430,130,430,0.457732283284559,0.0001991151999
431,200.278760170937,431,434.081351128729,431,240,431,0.459600871899216,0.000510766599364
432,149.316095066071,432,325.070545537104,432,190,432,0.457626700574509,0.000370033242937
433,149.185602593422,433,324.216719692047,433,190,433,0.458403683805956,0.000368930950588
434,189.614323759079,434,411.418414688464,434,230,434,0.459114001867372,0.000481508663929
435,240.102954983711,435,523.071347963926,435,280,435,0.457329078382044,0.000625653017047
436,330.848224139214,436,718.356267039393,436,370,436,0.458809190162928,0.000877766575624
437,340.519594979286,437,739.190512954359,437,380,437,0.458908017521216,0.000904663664774
438,461.167627263069,438,1004.58869223525,438,500,438,0.457363625471255,0.00124729370367
439,662.12142469883,439,1436.57660821487,439,700,439,0.459135898944096,0.001804991713715
440,721.639563202858,440,1568.43470628841,440,760,440,0.458365323211718,0.001975221009915
441,1032.33675634861,441,2247.85454425875,441,1070,441,0.457549517092425,0.002852354553714
442,1191.65553843975,442,2585.36236009443,442,1230,442,0.459156804676407,0.003288078402237
443,1500.96369302273,443,3261.3882500792,443,1540,443,0.458481385133175,0.004160830346534
444,1969.70149791241,444,4284.84544753322,444,2010,444,0.457969168346317,0.005482117404049
445,2477.24537885189,445,5366.42380960748,445,2520,445,0.459826210349629,0.006878439101773
446,3297.26113114357,446,7186.50310543444,446,3340,446,0.457124780370434,0.009228168258215
447,4457.264489007,447,9690.57418342511,447,4500,447,0.458227675588188,0.012460933355453
448,5337.21071605682,448,11590.3008045601,448,5380,448,0.458738472354043,0.014913487505805
449,6917.13572432995,449,15066.8969157978,449,6960,449,0.457396137896391,0.019401786046685
450,8406.99799561501,450,18269.1723434298,450,8450,450,0.458434858464495,0.023535935562321
451,10726.9604450226,451,23285.7213725609,451,10750,451,0.458909302835727,0.030012319061377
452,12774.4554643154,452,27832.3712216131,452,12770,452,0.457283922620142,0.035882060967096
453,15613.845686245,453,33871.3707738367,453,15570,453,0.45920563661424,0.043678431903314
454,18181.5888496876,454,39522.6026235523,454,18090,454,0.458296395926294,0.050974193289937
455,21737.7714986801,455,47325.3054482819,455,21580,455,0.457619156534117,0.06104751172631
456,23803.7468006134,456,51592.366493512,456,23580,456,0.459596890785934,0.066556303443946
457,25695.3638528824,457,55898.30506179,457,25400,457,0.457959875028877,0.072115286188778
458,28101.9781051636,458,61197.7461106897,458,27720,458,0.457496871411146,0.078956884340019
459,30110.9766805649,459,65250.8505509636,459,29640,459,0.459677473878408,0.084189457282995
460,31638.3963375092,460,68976.6938240628,460,31080,460,0.456999066311588,0.088999534839069
461,33763.2683985472,461,73382.4545453895,461,33070,461,0.458363646413915,0.094687388355639
462,34700.2521739483,462,75221.8809263492,462,33890,462,0.459523849111247,0.097062094671115
463,36865.4875288725,463,80335.2758902562,463,35900,463,0.457204075048956,0.103663506633023
464,39228.0333415031,464,85151.7253745194,464,38090,464,0.458925742988221,0.109881560873653
465,42420.1784795523,465,92020.2502006193,465,41070,465,0.459217868678974,0.11874885203104
466,45651.353972435,466,99448.1515447338,466,44090,466,0.457349807684613,0.128338300358622
467,50632.3705128431,467,109757.990030407,467,48780,467,0.459527604918981,0.141648340280251
468,54428.5461237431,468,118284.9540406,468,52310,468,0.458409520530969,0.152656682607213
469,60789.0577889681,469,132297.391857957,469,58280,469,0.457774477649404,0.170746792069892
470,67388.2720828056,470,145938.181272664,470,64450,470,0.459960604513352,0.188357102059189
471,74231.4511680365,471,161151.67829205,471,70660,471,0.45887472665945,0.207997783429416
472,83627.784902525,472,181969.133523899,472,79230,472,0.45785467355012,0.23487319574433
473,92227.4238468885,473,199547.398102618,473,86970,473,0.460368765422682,0.257566800849865
474,102139.261469269,474,222333.282874988,474,95870,474,0.457687005690768,0.286983463040194
475,114493.93331635,475,248677.746858884,475,106970,475,0.458662857904568,0.320994264259519
476,130119.356446767,476,282460.745997061,476,121180,476,0.458906058197408,0.364608242094996
477,140474.81075232,477,306025.952876618,477,130410,477,0.457332764809973,0.395031012031132
478,159972.416906667,478,347109.668324379,478,148040,478,0.459104788420153,0.448070241840449
479,175197.897676921,479,380246.818807267,479,161620,479,0.458987234713703,0.490850426654127
480,191787.852694392,480,417467.175947058,480,176370,480,0.457697727850698,0.538902046484676
481,212695.070679784,481,461444.306497929,481,195050,481,0.459165814514167,0.595676685979192
482,230565.255870223,482,500971.939856114,482,210850,482,0.458494419237978,0.646707008009559
483,247598.698450923,483,538582.592953306,483,225800,483,0.458000542084362,0.695262501376194
484,265404.355313182,484,574938.569106099,484,241370,484,0.459828811734646,0.742198202129985
485,283822.428401113,485,617821.782636382,485,257410,485,0.45768218200626,0.797560590672635
486,300788.759661698,486,653519.183171636,486,272250,486,0.458517678161575,0.843646067848915
487,307390.713409829,487,666515.068127537,487,277670,487,0.459413772449571,0.860423803777593
488,323335.682388139,488,703732.410851639,488,291490,488,0.457745913435788,0.908471531986249
489,336951.677459693,489,730858.096278128,489,303160,489,0.459264339557708,0.943490893000472
490,341697.416817069,490,741034.654598394,490,306820,490,0.459334462512261,0.956628867731672
491,345428.94662683,491,752449.168289897,491,309570,491,0.457374852363298,0.971365047462422
492,349999.785589671,492,759008.704727883,492,313060,492,0.459352700340773,0.979833433458798
493,351572.067817235,493,763854.587188378,493,313860,493,0.458518096109328,0.986089485781475
494,355763.158220601,494,774629.547721186,494,316990,494,0.457563490804812,1
495,356189.01627934,495,771954.090628017,495,316760,495,0.459626729346807,0.996545974918213
496,348772.754839611,496,757844.700504753,496,309550,496,0.458475926540015,0.978330699667155
497,350413.511993909,497,762891.283667456,497,310390,497,0.457615692789132,0.984845857344625
498,349331.499723291,498,756326.574044257,498,308820,498,0.460076269229472,0.976370792746852
499,343458.773372817,499,746793.118119037,499,303030,499,0.458182221803073,0.964063065605238
500,336674.210702896,500,732257.775891987,500,296460,500,0.458051303305264,0.945297884600179
501,333767.53797977,501,722805.722438346,501,292780,501,0.459967893684293,0.933095248352855
502,331549.898290491,502,722086.410976047,502,289730,502,0.457454394043459,0.932166614573327
503,321309.665313268,503,697950.293765137,503,279720,503,0.458615656749753,0.901006797270974
504,316610.024093342,504,686350.658274196,504,274590,504,0.459513792377546,0.886031624606987
505,307351.286361575,505,669756.63159934,505,265560,505,0.457208469580038,0.864608674304726
506,299995.652797413,506,650284.192163552,506,258390,506,0.459547696213456,0.839469682396947
507,285598.420067811,507,620038.370267558,507,245220,507,0.458858510381993,0.800422213568256
508,274341.737023687,508,598355.06773843,508,234820,508,0.456816942419081,0.772428989164545
509,262376.071904349,509,568806.527863308,509,223880,509,0.459494415146688,0.734281714024372
510,245474.279005051,510,533392.591544937,510,208810,510,0.458472540042647,0.688562190208885
511,229004.827495241,511,498429.479193738,511,193920,511,0.457740654160552,0.643424681815757
512,218581.459861088,512,473768.015495177,512,184260,512,0.459584324219946,0.611586640239276
513,200986.620297861,513,437713.694179335,513,168670,513,0.457471986711321,0.565040377004603
514,186804.543520546,514,405749.636167721,514,156070,514,0.458646269694141,0.523774658944804
