Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1,Normalized1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps,
420,32.2197253704071,420,80.4813219550366,420,70,420,0.40237430061657,0.000271182765454
421,11.410443353653,421,28.2711870773881,421,50,421,0.405520912663807,0.000133887922914
422,83.8576868534088,422,208.47330154434,422,120,422,0.404211633987211,0.000607758005591
423,32.0306612491608,423,79.7968731906154,423,70,423,0.403399020769407,0.000269382898712
424,52.5919236660004,424,130.115085791133,424,90,424,0.406087530846293,0.000401702631118
425,1.02918124198914,425,2.56431747967146,425,40,425,0.403345677475392,6.62876261161699E-05
426,1.02685122489929,426,2.55677715869958,426,40,426,0.403607814639992,6.62677976444956E-05
427,72.7410057544708,427,179.902709667603,427,110,427,0.40622210954599,0.000532627096197
428,31.6879269123077,428,79.0335968906948,428,70,428,0.402956251497293,0.000267375742446
429,72.410143327713,429,179.643596942953,429,110,429,0.405010613239089,0.000531945718131
430,31.5434658527374,430,78.305963563257,430,70,430,0.4047667074657,0.000265462315036
431,82.3481196641922,431,205.280340326878,431,120,431,0.403155586111113,0.000599361606911
432,1.01575574874878,432,2.51886870483765,432,40,432,0.405185843497063,6.61681113438169E-05
433,21.3122289419174,433,52.8679870708201,433,60,433,0.405053885732707,0.000198569115369
434,112.551817846298,434,280.653419503077,434,150,434,0.403045214048828,0.000797567090606
435,51.6677244901657,435,128.11019946991,435,90,435,0.405232207564278,0.000396430464087
436,92.070912528038,436,228.424205943283,436,130,436,0.405004054582647,0.000660222077642
437,-9.09399511814117,437,-22.6433730367865,437,30,437,0.40360687789343,0
438,11.1003148794174,438,27.4414491452635,438,50,438,0.406389428598974,0.000131705995229
439,111.865263533592,439,278.796492544742,439,150,439,0.40324594722598,0.000792684006221
440,101.653550744057,440,252.504562194686,440,140,440,0.40453352409066,0.000723545199246
441,101.524841666222,441,251.387532114134,441,140,441,0.405762624032677,0.000720607791224
442,81.3176904916763,442,202.553865620196,442,120,442,0.403456383085256,0.000592191908606
443,131.346856236458,443,325.10038101554,443,170,443,0.405918066503016,0.000914447435706
444,171.23485314846,444,425.796455377288,444,210,444,0.404120428393769,0.00117924375746
445,131.01297724247,445,325.430439129346,445,170,445,0.404536040360248,0.000915315375942
446,181.014335680008,446,448.485703898423,446,220,446,0.405526183621553,0.001238908740329
447,251.014894938469,447,625.150136616885,447,290,447,0.403519265506256,0.001703475926935
448,311.012278938293,448,772.49084846,448,350,448,0.404561069303308,0.00209093173182
449,301.005906176567,449,747.763140000902,449,340,449,0.404495727833177,0.002025906294762
450,410.999902009964,450,1022.22419198348,450,450,450,0.404036150767134,0.002747645225403
451,401.747561264038,451,996.380228456497,451,440,451,0.405136141808287,0.002679684418342
452,563.091813898087,452,1396.84068241369,452,600,452,0.405050526891893,0.003732758789788
453,574.193719768524,453,1427.97153599992,453,610,453,0.404074761224034,0.003814622314011
454,756.600721788406,454,1873.95776337422,454,790,454,0.405653760921523,0.004987413937815
455,788.280611991882,455,1953.14633280352,455,820,455,0.405509809034165,0.00519565285917
456,779.737807846069,456,1938.32727216746,456,810,456,0.40423753673433,0.005156683785419
457,973.823585700989,457,2407.57558943236,457,1000,457,0.406364415868377,0.006390646769461
458,1412.35869293213,458,3507.56069711405,458,1430,458,0.404610705903815,0.009283232327974
459,1842.44953098297,459,4578.6450603081,459,1850,459,0.404359829725114,0.012099818788361
460,2264.03577232361,460,5603.36473747569,460,2260,460,0.405946891546548,0.014794481942434
461,2761.21318752766,461,6872.21448949307,461,2740,461,0.40377572497103,0.018131123905108
462,3814.8030354023,462,9443.2468282125,462,3760,462,0.40587201762515,0.024892061813733
463,5522.06078360081,463,13693.0909382348,463,5410,463,0.405200083999831,0.036067701931706
464,7280.18354730606,464,18138.5131936778,464,7100,464,0.403363980153755,0.047757645848024
465,9503.10430705547,465,23480.2808616445,465,9230,465,0.406599241947364,0.061804672399006
466,11785.1737012863,466,29268.9135253626,466,11410,466,0.404601401142284,0.077026801434821
467,15896.0523055792,467,39565.2131890402,467,15340,467,0.403751270855142,0.104102556829401
468,20234.5854885578,468,49976.3603009782,468,19470,468,0.406749510496316,0.131480321831157
469,26305.3564802408,469,65541.2373147491,469,25240,469,0.403354116300677,0.172410638210573
470,35156.3235402107,470,87291.2186043253,470,33640,470,0.404693790722345,0.229605668703977
471,43236.2436522722,471,106807.258330064,471,41170,471,0.406675481530331,0.280926195023653
472,53586.5411461353,472,133306.878794181,472,50780,472,0.403953817920774,0.350611156142914
473,65219.2295983076,473,161653.285171121,473,61510,473,0.405371237777095,0.42515253415709
474,79483.0983650207,474,196315.833045473,474,74610,474,0.406740332573463,0.516303209472971
475,93371.9778832197,475,232867.560620846,475,87240,475,0.402978899592513,0.612421782883516
476,105192.622371268,476,259898.406263287,476,97970,476,0.406616696332456,0.683503684987168
477,118659.067362571,477,293472.320721529,477,110160,477,0.406215107907845,0.771791625820587
478,129170.61692307,478,321839.657099905,478,119540,478,0.403349331478396,0.846388042597987
479,136590.32144587,479,336862.207572506,479,126010,479,0.407322431512118,0.885892225196108
480,144423.615604043,480,358301.012375214,480,132820,480,0.405012858426763,0.942268967691085
481,149460.369270444,481,371248.767482723,481,137070,481,0.404540400797475,0.976317146323313
482,153943.134378791,482,380254.823077205,482,140790,482,0.406709941596764,1
483,148149.912452102,483,368804.208936076,483,135120,483,0.403688724604325,0.969888791339606
484,145346.790879369,484,360405.513186126,484,132200,484,0.405212893991178,0.947803086845075
485,138533.911799788,485,342422.227487749,485,125660,485,0.406448511581643,0.900513180697741
486,132181.21583755,486,329401.160796859,486,119660,486,0.403278563124774,0.866272217612452
487,124993.768716836,487,308892.062562706,487,112930,487,0.406526950337499,0.812340286210893
488,117144.242483354,488,289742.161074124,488,105630,488,0.406193124523598,0.761982578541966
489,107772.913038182,489,268100.517517618,489,96990,489,0.403961662130146,0.705072439325664
490,102050.215714335,490,251729.77840085,490,91660,490,0.407243079136302,0.662022980546042
491,94670.5229957342,491,235414.649842526,491,84870,491,0.404112555097331,0.619119758562842
492,84533.2163759947,492,209808.623629037,492,75640,492,0.404846613449436,0.551784645461053
493,76126.1294966459,493,187898.330039499,493,67990,493,0.407001890380938,0.494168048311443
494,70907.4844310045,494,176394.041811621,494,63210,494,0.403958273963847,0.463915695114533
495,63868.7864040136,495,157923.475064163,495,56830,495,0.406312075601287,0.415344406050593
496,57775.520144558,496,142963.325380933,496,51310,496,0.406022870061179,0.376004316239651
497,51793.0516765833,497,128887.964056407,497,45910,497,0.403825514159421,0.338990917954669
498,49112.5625758648,498,121156.706703371,498,43450,498,0.407212351751001,0.318660348738449
499,44199.2594816923,499,109830.986342183,499,39030,499,0.404387914240567,0.288877568110109
500,40674.5907268524,500,100838.899959013,500,35850,500,0.405285367514413,0.26523144869339
501,36224.079802537,501,89544.716863264,501,31810,501,0.406415554029038,0.235531600313795
