Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,140.31171,420,424.66062,420,220,420,0.33354
421,285.26108,421,867.16832,421,360,421,0.33214
422,170.82121,422,517.18516,422,250,422,0.33342
423,242.81308,423,735.18694,423,320,423,0.33341
424,180.46248,424,548.36745,424,260,424,0.33227
425,210.98215,425,638.03814,425,290,425,0.33379
426,169.43045,426,513.39296,426,250,426,0.33316
427,220.27206,427,669.04663,427,300,427,0.33241
428,393.54361,428,1190.47479,428,470,428,0.3337
429,270.26321,429,819.27721,429,350,429,0.33303
430,391.7495,430,1189.47073,430,470,430,0.33252
431,299.90982,431,907.12077,431,380,431,0.33374
432,319.96306,432,970.50213,432,400,432,0.33284
433,573.40045,433,1737.3328,433,650,433,0.33319
434,684.43673,434,2070.20084,434,760,434,0.33373
435,501.48086,435,1522.85702,435,580,435,0.33247
436,814.47346,436,2466.3339,436,890,436,0.33337
437,1055.91388,437,3195.52366,437,1130,437,0.33356
438,1326.99219,438,4032.58066,438,1400,438,0.33225
439,1788.83642,439,5410.42627,439,1860,439,0.33375
440,2279.65636,440,6910.00444,440,2350,440,0.33305
441,2698.95247,441,8192.49777,441,2770,441,0.33261
442,3870.11971,442,11698.81673,442,3940,442,0.33393
443,4356.50451,443,13221.33435,443,4430,443,0.33267
444,5612.69796,444,17032.5444,444,5690,444,0.33269
445,7555.74842,445,22869.46132,445,7640,445,0.33352
446,9715.76945,446,29496.04253,446,9800,446,0.33256
447,12065.71597,447,36580.59884,447,12150,447,0.33299
448,13975.55176,448,42290.36758,448,14060,448,0.33359
449,17895.35113,449,54350.26239,449,17980,449,0.33243
450,22644.9946,450,68626.06625,450,22730,450,0.33312
451,26945.1388,451,81430.18149,451,26980,451,0.33401
452,33248.51397,452,101045.6428,452,33210,452,0.33222
453,39796.35107,453,120536.7851,453,39660,453,0.3333
454,46811.52136,454,141677.038,454,46550,454,0.33354
455,55003.01146,455,167180.5348,455,54580,455,0.33218
456,65650.68715,456,198605.2219,456,65000,456,0.33368
457,73290.10493,457,222091.7385,457,72410,457,0.33314
458,84777.059,458,257497.545,458,83580,458,0.33241
459,99371.20814,459,300362.1679,459,97760,459,0.33395
460,109496.3541,460,332577.1668,460,107500,460,0.33241
461,124479.4979,461,377402.6059,461,121850,461,0.33298
462,137137.0943,462,415355.4299,462,133850,462,0.33331
463,152990.1797,463,464495.7822,463,148890,463,0.33254
464,168631.9813,464,510411.0042,464,163640,464,0.33351
465,182457.328,465,552412.239,465,176550,465,0.33343
466,198262.6685,466,602397.6771,466,191380,466,0.3323
467,214234.653,467,648344.6343,467,206300,467,0.33356
468,231477.7847,468,699980.9774,468,222370,468,0.33381
469,247015.2408,469,750186.0987,469,236730,469,0.33244
470,260499.5582,470,788266.6557,470,249060,470,0.3336
471,277191.9299,471,840272.9108,471,263780,471,0.33303
472,293120.2071,472,889709.8322,472,277640,472,0.33262
473,308261.1486,473,930692.5097,473,290630,473,0.33432
474,319137.8941,474,966917.6546,474,299500,474,0.3332
475,328281.1876,475,996858.5148,475,306670,475,0.33249
476,341424.0739,476,1032006.361,476,317940,476,0.33395
477,351119.681,477,1066321.805,477,325940,477,0.33245
478,355918.8198,478,1078201.946,478,329360,478,0.33324
479,358800.2026,479,1085261.735,479,330990,479,0.33373
480,362236.4557,480,1100666.547,480,333120,480,0.33228
481,364595.3466,481,1104959.097,481,334360,481,0.33311
482,369717.9234,482,1120024.934,482,338120,482,0.33324
483,366944.6995,483,1113877.045,483,334660,483,0.3326
484,363787.6395,484,1101291.063,484,330870,484,0.33346
485,358490.3112,485,1085577.811,485,325160,485,0.33337
486,352710.5039,486,1071406.626,486,319280,486,0.33238
487,348609.8365,487,1055032.53,487,314940,487,0.33355
488,336169.3955,488,1018067.906,488,303100,488,0.33334
489,323698.914,489,982617.6665,489,291280,489,0.33259
490,313905.1314,490,948552.9307,490,281910,490,0.33404
491,303242.3037,491,918879.4599,491,271810,491,0.33316
492,289583.9347,492,878159.835,492,259070,492,0.33292
493,275691.286,493,833633.4508,493,246170,493,0.33383
494,264335.8194,494,802038.5876,494,235580,494,0.33274
495,251641.2865,495,762155.3498,495,223840,495,0.33331
496,236613.5797,496,715559.6798,496,210060,496,0.33379
497,225803.5238,497,685204.7435,497,200070,497,0.3327
498,208126.8014,498,630371.2682,498,184050,498,0.3333
499,198517.4865,499,600688.9162,499,175210,499,0.33361
500,187994.0489,500,570766.8605,500,165600,500,0.33254
501,179033.903,501,541717.6708,501,157110,501,0.33362
502,172529.2796,502,522405.5146,502,150830,502,0.33339
503,163178.3032,503,495711.8763,503,142120,503,0.33235
504,158191.421,504,478222.1195,504,137260,504,0.33391
505,151205.9935,505,458410.705,505,130710,505,0.333
506,146678.5017,506,444650.4594,506,126400,506,0.33302
507,142690.295,507,431900.8767,507,122580,507,0.33351
508,141046.2667,508,427489.2753,508,120790,508,0.33309
509,137572.2855,509,417001.6128,509,117450,509,0.33306
510,138012.9211,510,417532.5304,510,117460,510,0.33367
511,139303.1888,511,422249.4198,511,118020,511,0.33305
512,140445.2059,512,425556.2489,512,118450,512,0.33317
513,140674.0668,513,425449.6183,513,118110,513,0.33377
514,145820.0143,514,442451.8109,514,121880,514,0.33273
515,146412.3659,515,443427.4965,515,121830,515,0.33332
516,146708.6704,516,444233.0854,516,121500,516,0.33339
517,147620.3639,517,448127.9995,517,121680,517,0.33258
518,149668.4728,518,452969.8207,518,122790,518,0.33354
519,146655.8875,519,443872.7951,519,119760,519,0.33353
520,142956.1901,520,434056.7634,520,116200,520,0.33252
521,137205.3753,521,414811.7527,521,110990,521,0.33388
522,131379.7876,522,398148.19,522,105770,522,0.33312
523,120857.5442,523,366614.9441,523,96840,523,0.33281
524,111144.6637,524,336032.6698,524,88640,524,0.33387
525,105280.8281,525,318777.9085,525,83570,525,0.3334
526,92799.07128,526,281346.4836,526,73300,526,0.33299
527,85166.55158,527,257201.9214,527,66940,527,0.33423
528,76325.79216,528,231094.9426,528,59700,528,0.33341
529,68987.71979,529,209255.1945,529,53700,529,0.33284
530,62361.51237,530,188599.5491,530,48310,530,0.33378
531,56255.01421,531,170524.5794,531,43340,531,0.33304
532,52546.91695,532,159139.4758,532,40260,532,0.33333
533,46083.55566,533,139455.0066,533,35120,533,0.33358
534,42983.23837,534,130355.9053,534,32580,534,0.33289
535,38501.81998,535,116595.4821,535,29030,535,0.33335
536,34128.25597,536,103221.1478,536,25580,536,0.33375
537,31716.97989,537,96147.89162,537,23630,537,0.33303
538,28838.96364,538,87300.31866,538,21360,538,0.33347
539,25322.41321,539,76690.98703,539,18650,539,0.33332
540,24175.53866,540,73357.16792,540,17700,540,0.33272
541,20959.12394,541,63472.38413,541,15260,541,0.33334
542,19993.45692,542,60547.72383,542,14470,542,0.33335
543,17713.30984,543,53791.75286,543,12750,543,0.33246
544,17063.80529,544,51625.4385,544,12210,544,0.33366
545,14960.51616,545,45332.3802,545,10650,545,0.33316
546,13302.07343,546,40343.59243,546,9420,546,0.33287
547,13614.78858,547,41172.90388,547,9580,547,0.33379
548,11376.58006,548,34507.26803,548,7970,548,0.33284
549,10053.26881,549,30522.75817,549,7010,549,0.33254
550,9209.4499,550,27840.15886,550,6390,550,0.33391
