Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,1237.86106181145,420,3224.4377522153,420,1220,420,0.386394934924087
421,1577.75312190056,421,4091.94635905337,421,1550,421,0.388007675140765
422,1916.30343661308,422,4973.32080972551,422,1880,422,0.387758799055448
423,2305.17436280251,423,6005.63725589729,423,2260,423,0.386332636628583
424,2878.11880297661,424,7463.20650028622,424,2820,424,0.388071043458811
425,3541.41265368462,425,9203.17109297066,425,3470,425,0.387264839885844
426,3543.66357712746,426,9209.91473077691,426,3480,426,0.387228880405023
427,4867.50025830269,427,12608.2185649801,427,4780,427,0.388472138595401
428,5306.19447102547,428,13808.3048062021,428,5220,428,0.386756653088074
429,7119.65085310936,429,18506.7707142342,429,7010,429,0.387170191051413
430,9575.98571419716,430,24891.34309279,430,9440,430,0.387176250697789
431,13847.7004684687,431,36041.1381654145,431,13650,431,0.386702457924509
432,20681.8028002739,432,53666.7634075862,432,20390,432,0.387814473844659
433,31746.0873110533,433,82482.3105188887,433,31310,433,0.387341907258085
434,47668.2298087597,434,123986.606488222,434,47040,434,0.386936798583288
435,63765.0636693239,435,165163.971775386,435,62970,435,0.38848516673974
436,78777.2892345667,436,204848.169981138,436,77890,436,0.387034546859128
437,88172.3453337908,437,228988.129342619,437,87290,437,0.387504058111727
438,92002.437079215,438,238445.104551682,438,91200,438,0.388265691240382
439,88193.1628566504,439,229643.015791957,439,87540,439,0.386534314420109
440,85510.7655917406,440,222343.720339163,440,84990,440,0.387057546860157
441,76607.0268141031,441,198332.270775697,441,76240,441,0.388662977878735
442,71821.5913020372,442,186780.426898666,442,71570,442,0.386995949753668
443,64611.6241430044,443,168013.997000536,443,64470,443,0.387031350858197
444,56598.6265193224,444,146766.996552618,444,56550,444,0.388066108909668
445,51036.055279851,445,132993.34362072,445,51060,445,0.386249706066869
446,47574.7677493572,446,123417.446250725,446,47600,446,0.387914538118488
447,44113.6176519156,447,114232.041349213,447,44140,447,0.388585518784783
448,41112.6231492996,448,107219.356179645,448,41140,448,0.38595620589306
449,41001.8045154333,449,106180.379095283,449,41030,449,0.388563232608952
450,41200.9901769161,450,106790.842894771,450,41230,450,0.388233808717109
451,41438.106936264,451,107794.157155942,451,41390,451,0.386894564164124
452,42569.1388934612,452,110197.313409842,452,42440,452,0.388704618158822
453,45805.7760581016,453,118991.050231916,453,45580,453,0.387407224409522
454,49467.179814291,454,128465.00383149,454,49130,454,0.387515062320826
455,54877.8555116653,455,142248.910678117,455,54400,455,0.388212040624831
456,60195.5564990997,456,156345.571762413,456,59550,456,0.387469430913876
457,65696.1049787521,457,170751.134679809,457,64860,457,0.387211097717561
458,73055.8018081665,458,189115.682050491,458,71980,458,0.388707452001945
459,84951.0647634506,459,220577.170579575,459,83530,459,0.387579887853171
460,95486.0399951935,460,248129.87029459,460,93700,460,0.387283429620165
461,108210.728290629,461,280063.163820126,461,105880,461,0.388782088935284
