Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,4936.68553433418,420,10104.7182722946,420,4822,420,0.485755422112071
421,6530.71538781166,421,13380.5871860989,421,6368,421,0.485294708738292
422,8685.79285386086,422,17770.5792126519,422,8462,422,0.485968393030551
423,12169.3781309795,423,24893.7991156932,423,11850,423,0.486043497741912
424,15731.9974326229,424,32193.358295769,424,15328,424,0.485870576184505
425,20466.0923419476,425,41927.4138769814,425,19958,425,0.485350174244264
426,27116.8817768955,426,55510.9299818831,426,26480,426,0.48570127191368
427,34538.4540534306,427,70627.2211226542,427,33784,427,0.486209924014464
428,42007.7647355747,428,85979.4237161837,428,41168,428,0.485781182952727
429,50378.8982827282,429,103054.813576155,429,49470,429,0.486046941841243
430,59065.4450685978,430,120989.147055333,430,58120,430,0.485404502970481
431,66457.7791706705,431,135976.580947204,431,65442,431,0.485940035144069
432,71062.0690313149,432,145372.597951859,432,70032,432,0.486019759644425
433,77294.1770585012,433,158096.828743623,433,76234,433,0.486093790900004
434,82261.9943051434,434,168325.717273164,434,81200,434,0.485904345409644
435,88197.6161788225,435,180352.053125424,435,87130,435,0.48621532276462
436,97821.6010184431,436,200215.794957517,436,96756,436,0.485782685561939
437,110117.974352889,437,225258.0390956,437,109052,437,0.486044266403389
438,127300.227452321,438,260595.993632304,438,126222,438,0.485701488969949
439,148883.394047675,439,304696.087100141,439,147804,439,0.485829202551312
440,179439.451655889,440,367308.722218468,440,178358,440,0.485728825662002
441,217051.868871474,441,443948.632035867,441,216002,441,0.486101580511605
442,262603.735554242,442,537312.070128487,442,261650,442,0.485932014171085
443,317319.767069125,443,649366.289733643,443,316554,443,0.485859532254757
444,389165.550887847,444,796525.358817141,444,388704,444,0.485780900665137
445,474086.759766602,445,969821.936416958,445,474112,445,0.486031165398198
446,571081.027549734,446,1167340.19385731,446,571108,446,0.486393700483375
447,682620.305912833,447,1397203.9537928,447,682652,447,0.485764239975291
448,815213.985102959,448,1667587.35897062,448,815254,448,0.48604980591587
449,934500.136260829,449,1913520.70975447,449,934554,449,0.485576728154922
450,1053689.54878078,450,2153563.58634075,450,1053762,450,0.486452995563825
451,1173355.14830727,451,2400293.57286064,451,1171244,451,0.486030404366115
452,1285991.0920379,452,2630634.77692174,452,1281286,452,0.486043712127892
453,1358127.83545343,453,2781096.45444836,453,1350646,453,0.485553344442801
454,1405830.43179856,454,2877831.67573013,454,1395496,454,0.485708100984536
455,1430891.60976963,455,2927149.72814699,455,1417748,455,0.486026805390079
456,1419984.26380089,456,2906426.4770759,456,1404144,456,0.485769430442982
457,1391801.43681828,457,2849250.82068304,457,1373546,457,0.485685414408321
458,1340989.19257416,458,2745535.05383765,458,1320782,458,0.485633108234537
459,1267165.57180149,459,2594936.17784015,459,1245608,459,0.485533953764932
460,1191659.37745399,460,2438002.07380579,460,1169080,460,0.485979421510776
461,1121821.11395644,461,2294669.81043526,461,1097430,461,0.486071889579199
462,1038708.84138991,462,2127629.98614826,462,1013240,462,0.485416037851754
463,946545.373325543,463,1936487.02789688,463,920724,463,0.485988934411819
464,874850.820854702,464,1792327.78124236,464,848584,464,0.485328226193419
465,809394.210444331,465,1655778.55062261,465,782884,465,0.486022516907532
466,735991.19714756,466,1506444.07108131,466,710198,466,0.485764467712712
467,670241.602368379,467,1372090.22244947,467,645224,467,0.485687702463677
468,618088.224647856,468,1266626.92665869,468,593614,468,0.485204028618427
469,565237.717385459,469,1157154.28443043,469,541580,469,0.485678125475722
470,512756.25007391,470,1049212.4579535,470,490144,470,0.485903006450941
471,467152.207563224,471,956675.831622317,471,444478,471,0.485519795707157
472,430331.15368083,472,880701.980325506,472,407552,472,0.485823171515102
473,393727.823853297,473,807123.38390961,473,371172,473,0.485046600644271
474,358978.889033661,474,735186.653892492,474,336866,474,0.485495651725892
475,329811.099887919,475,675638.912435128,475,308086,475,0.485365061672135
476,302968.200792203,476,620139.989668468,476,282126,476,0.485751151367866
477,278555.126544614,477,570107.912810209,477,258584,477,0.485801806159249
478,254773.992819123,478,521920.450020771,478,235774,478,0.485365241153636
479,235477.15577661,479,482297.994184495,479,217242,479,0.485454561333963
480,218406.497379661,480,447396.30306007,480,200872,480,0.485389459712231
481,201134.472377419,481,411738.850305289,481,184480,481,0.485704973314335
482,185421.46534574,482,380087.040561908,482,169604,482,0.485069058338656
483,174075.735850453,483,356156.208289976,483,158792,483,0.485957382288669
484,162209.354534268,484,332344.634518727,484,147566,484,0.485296482000267
485,149245.115965724,485,305569.774403932,485,135406,485,0.485623851681144
486,138862.930385385,486,284521.241077769,486,125740,486,0.485279613790895
487,130030.234468217,487,266230.749764083,487,117512,487,0.485619950390358
488,119505.965200238,488,244958.562784194,488,107792,488,0.485090697208296
489,112215.845847859,489,229743.158372473,489,101020,489,0.4856475234029
490,105933.918054986,490,217069.844701787,490,95180,490,0.485240572845016
491,98550.5960156393,491,201800.532563682,491,88380,491,0.485566710187975
492,91929.5513409281,492,188375.2049932,492,82288,492,0.485236097823777
493,85313.5610690451,493,174523.592419288,493,76224,493,0.486029109848633
494,81077.9508623171,494,166004.675735707,494,72304,494,0.485615958881985
495,75813.2425086737,495,155065.969900413,495,67484,495,0.486099157797439
496,71355.1506990242,496,146276.304429629,496,63394,496,0.485041379849738
497,66578.4204955435,497,136269.765467835,497,59038,497,0.485780030914185
498,62596.767289629,498,128288.480433926,498,55402,498,0.48516346084001
499,58465.0859730673,499,119688.912591439,499,51648,499,0.485681162546866
500,54634.6381900787,500,111994.285642073,500,48174,500,0.485063933865226
501,53140.4320487452,501,108777.100264119,501,46680,501,0.485729812714892
502,49744.7882346058,502,101874.306133087,502,43536,502,0.485508236411823
503,46523.9971273756,503,95201.4093716228,503,40568,503,0.485887970059145
504,43946.2513746071,504,90042.2923376761,504,38180,504,0.485283574400221
505,41898.7322502375,505,85785.0214850865,505,36268,505,0.485623509502808
506,39450.7863803673,506,80713.7412174571,506,34046,506,0.485968720331568
507,37480.5044699049,507,76713.9492948561,507,32248,507,0.485776898284877
508,35625.6192473316,508,72954.9631007656,508,30560,508,0.48553492346095
509,33603.6703232241,509,68844.0322400327,509,28740,509,0.485332390126104
510,31984.663489151,510,65451.7164785953,510,27274,510,0.485874000638146
511,29957.0069372272,511,61329.5266505316,511,25434,511,0.485666152285746
512,28583.5924575996,512,58456.7651537238,512,24162,512,0.486157093701291
513,27117.8837771702,513,55537.8206894154,513,22824,513,0.485490961746469
514,25870.1071960831,514,52939.6409206145,514,21680,514,0.48587020062757
515,24535.5111692905,515,50250.1363401138,515,20474,515,0.485481118683387
516,23206.8309726429,516,47474.4042532408,516,19278,516,0.486020863808518
517,22442.3744574451,517,45915.546197293,517,18558,517,0.485969655313842
518,20845.1511116123,518,42655.1913119593,518,17162,518,0.48588744057918
519,19913.3389632511,519,40778.177129882,519,16322,519,0.485544338324276
520,18915.3021888256,520,38698.021760227,520,15436,520,0.485986414995079
521,17782.4500510693,521,36397.5756155956,521,14446,521,0.485763962074603
522,17194.6723361492,522,35160.5494668921,522,13904,522,0.486218026621967
523,16470.5018447399,523,33694.8719632518,523,13258,523,0.486006460465716
524,15723.5403748989,524,32173.7151984182,524,12600,524,0.485904742710353
525,14812.3321675777,525,30307.8999319987,525,11818,525,0.485924750796958
526,14068.8538061905,526,28777.69685213,526,11172,526,0.486071104705259
527,13701.8083230114,527,28013.0052894298,527,10828,527,0.486304676514282
528,12928.3332066917,528,26459.2976559854,528,10170,528,0.48581278542988
529,12182.4476991367,529,24926.7414628429,529,9540,529,0.4859263197819
530,11831.9412322998,530,24224.6491059847,530,9222,530,0.485633350849277
531,11421.1139463282,531,23362.1998827014,531,8854,531,0.486062485587761
532,10617.6817031574,532,21716.8399998584,532,8190,532,0.486104032598939
533,10143.7752120066,533,20762.0330748001,533,7784,533,0.485775438018804
534,9722.0558654213,534,19897.1707162154,534,7422,534,0.485815559286919
535,9502.48062112331,535,19452.4375618177,535,7216,535,0.48570313215075
536,9410.26922287464,536,19242.6301356933,536,7102,536,0.486217338641334
537,8580.62512327671,537,17564.0525088165,537,6442,537,0.485736957261203
538,8265.76885984898,538,16903.6373574628,538,6170,538,0.486179916080725
539,8148.1837886858,539,16674.5054084253,539,6046,539,0.48586003922801
540,7775.97314321995,540,15894.5478022369,540,5738,540,0.486400512578828
