Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,4338.23011922836,420,1248.81187364497,420,4240,420,3.35925694128742
421,5066.23684902191,421,1452.55101017956,421,4950,421,3.37267000396535
422,7592.74414052963,422,2186.60655122011,422,7400,422,3.3578139710515
423,9840.64573345184,423,2830.9566752922,423,9590,423,3.36137356415362
424,12007.4580228806,424,3442.33948058074,424,11710,424,3.37300462157083
425,16398.9739098549,425,4722.86145340049,425,16000,425,3.35768582011511
426,21270.1962725639,426,6101.40268153902,426,20780,426,3.37102928745804
427,27758.3776043892,427,7974.17073449588,427,27160,427,3.36613975359685
428,34717.7016016006,428,10016.7283638518,428,34030,428,3.35163906735285
429,44928.9641430855,429,12903.940011832,429,44120,429,3.3668768370115
430,56599.1530513763,430,16288.4896606571,430,55690,430,3.36013136142923
431,73121.0636879921,431,21026.5012332229,431,71990,431,3.36280009304479
432,90020.3374771118,432,25822.7971703817,432,88690,432,3.37099485600148
433,112593.520368195,433,32390.7526252829,433,111010,433,3.36138885345984
434,127400.545959282,434,36653.5907225348,434,125710,434,3.36109920350448
435,141087.333007813,435,40474.7928007896,435,139330,435,3.37073244298384
436,147135.388829422,436,42321.7358898887,436,145490,436,3.36186125792674
437,148448.355420733,437,42631.6179376787,437,146980,437,3.36718172286731
438,141129.403376913,438,40530.9435187469,438,139920,438,3.36708305953997
439,131924.418536949,439,37980.8795338705,439,130970,439,3.35883044288615
440,115597.197199583,440,33155.5471208129,440,114920,440,3.37141021548705
441,103056.761059284,441,29624.9463374689,441,102590,441,3.36390581353419
442,90828.848512888,442,26115.9326130922,442,90540,442,3.36312986598487
443,82431.6827375889,443,23624.4952925466,443,82280,443,3.37404269985019
444,71532.1081860065,444,20579.9737224699,444,71500,444,3.36111034242019
445,64830.4216547012,445,18636.2160191732,445,64890,445,3.3639227279014
446,58908.6653530121,446,16888.5017309295,446,58970,446,3.37293257720026
447,55557.2967068195,447,15997.1130274119,447,55620,447,3.35836332558951
448,52756.0828395843,448,15136.1777196487,448,52820,448,3.37036881842115
449,51755.0155091763,449,14854.315647255,449,51820,449,3.36915980356205
450,52813.9874081612,450,15205.7008223739,450,52880,450,3.35869452522634
451,56609.3371612549,451,16223.6027080049,451,56570,451,3.37411339381796
452,59334.419762516,452,17060.8246894694,452,59180,452,3.36304052577739
453,65287.133208847,453,18789.4887331107,453,64990,453,3.36000443882532
454,72933.8916819572,454,20914.7943287573,454,72460,454,3.37206469544939
455,84635.7009449005,455,24350.8981266826,455,83920,455,3.36097477571252
456,99155.1408981323,456,28494.1256556996,456,98110,456,3.36499304037176
457,112160.967491913,457,32176.2149968847,457,110750,457,3.37075872624727
458,129685.191729736,458,37320.0789166149,458,127790,458,3.36027553409369
459,150584.3870121,459,43231.7547772849,459,148080,459,3.36821227856387
460,174052.464614868,460,49922.5012439244,460,170810,460,3.37135407840364
461,194638.438958216,461,55987.8315674425,461,190460,461,3.36171713866803
462,222761.532583809,462,63851.2058985368,462,217350,462,3.3735745831029
463,254968.896289015,463,73151.1092663701,463,248060,463,3.37044579900984
464,282272.336847496,464,81210.3112506586,464,273840,464,3.36111754456843
465,315412.90189147,465,90365.7418676895,465,305120,465,3.37515662193849
466,353745.912996292,466,101719.943154917,466,341380,466,3.36287589870675
467,390294.262752056,467,112088.168027138,467,375750,467,3.36709544204695
468,429032.36136961,468,122983.225636937,468,412060,468,3.37336641507888
469,457219.057454109,469,131684.067878192,469,438090,469,3.35752898265607
470,499878.746461868,470,143336.276204353,470,477830,470,3.37231795319384
471,531493.279959154,471,152570.254377988,471,505680,471,3.36860469646072
472,560666.387639904,472,161508.980396674,472,530960,472,3.35688841107957
473,587636.176119423,473,168326.675643706,473,553930,473,3.37577513693601
474,611153.623699951,474,175687.322625202,474,573450,474,3.36383680566257
475,633834.268828392,475,182440.216439492,475,592010,475,3.35956164403778
476,647781.434047508,476,185560.949077457,476,603130,476,3.37566939353073
477,648280.794159269,477,186489.398524948,477,601700,477,3.36151712646654
478,650997.166806603,478,187060.602999074,478,602330,478,3.36527741078625
479,646084.332066965,479,184923.950071281,479,595920,479,3.3784106501687
480,633362.070331573,480,182589.020778437,480,582370,480,3.35434677754399
481,612456.921384335,481,175509.573407413,481,561590,481,3.37437611964076
482,589785.589835644,482,169266.135742176,482,539310,482,3.36934733407444
483,561616.498759985,483,161925.329672179,483,512140,483,3.35394451009907
484,536175.591472387,484,153691.082708096,484,487600,484,3.37347619443375
485,499271.714321375,485,143548.233744179,485,452800,485,3.36329051814107
486,473077.058787632,486,136068.169659317,486,428190,486,3.36202829588598
487,438115.388460016,487,125498.944634881,487,395760,487,3.37571986197416
488,402000.973954344,488,115600.650207778,488,362420,488,3.36273335110328
489,362448.962751818,489,104000.502762609,489,326120,489,3.37002196326718
490,334142.308128119,490,95986.8549810046,490,300060,490,3.36622583605296
491,306912.793803549,491,88420.0210401808,491,275080,491,3.35655398420895
492,280492.26148839,492,80396.1552878906,492,250920,492,3.37368678860516
493,253877.745872068,493,72953.7735869085,493,226680,493,3.3651239455195
494,228999.375167513,494,65891.7489384499,494,204080,494,3.36070246737045
495,210355.043653965,495,60262.1011364914,495,187110,495,3.37541211509548
496,188157.237046623,496,54139.7505543042,496,167040,496,3.36071336214554
497,170115.0691679,497,48841.1540377346,497,150730,497,3.36805623456185
498,152271.457633686,498,43664.6397774716,498,134660,498,3.37216389283434
499,138006.069255447,499,39692.0029481295,499,121810,499,3.36218108213663
500,126136.550182343,500,36167.3965588585,500,111120,500,3.37243503387908
501,113804.107563829,501,32630.46209201,501,99880,501,3.3725201626609
502,103262.341849518,502,29727.7711615957,502,90290,502,3.35898018500847
503,94337.4745064259,503,27068.3052233211,503,82180,503,3.37011279120656
504,83958.2155117035,504,24100.5433960306,504,72870,504,3.36866999644671
505,75546.8552036285,505,21730.9376996519,505,65330,505,3.36173993529826
506,71070.8230937958,506,20377.2238577717,506,61270,506,3.37260995300265
507,62592.9247193813,507,17968.3823082786,507,53800,507,3.36851480693685
508,57951.6055914879,508,16673.0867261555,508,49660,508,3.36105837861547
509,53268.3077937126,509,15276.05278275,509,45510,509,3.37192526826819
510,47790.3911819458,510,13737.099295135,510,40710,510,3.36411115868231
511,44854.3629172325,511,12879.8668564461,511,38040,511,3.36756566450707
512,40560.7985359192,512,11627.2793594214,512,34250,512,3.37324438291673
513,37335.0939897537,513,10761.5564226295,513,31390,513,3.35484479388762
514,33767.4591285706,514,9691.80383927927,514,28270,514,3.36911325662731
515,30671.4935379028,515,8796.44080152527,515,25570,515,3.37169487581852
516,27784.2043229103,516,8004.1562381275,516,23060,516,3.35669268659768
517,25997.3063990593,517,7453.60957120239,517,21480,517,3.37272888000131
518,23484.91729002,518,6742.51172424619,518,19320,518,3.36813695355375
519,21254.2278045654,519,6119.18699902474,519,17410,519,3.35876450203104
520,19912.7883467674,520,5705.82323269537,520,16240,520,3.37467799951522
521,19118.8122200966,521,5495.26509623919,521,15520,521,3.36431713707016
522,17383.8761367798,522,4994.11674272073,522,14050,522,3.36598065783709
523,15481.4573149681,523,4433.34330990509,523,12460,523,3.3767417125318
524,15430.0998873711,524,4440.64526293602,524,12360,524,3.36008161014887
525,13662.484181881,525,3930.92446053224,525,10900,525,3.36094675294718
526,12299.695249939,526,3523.05074156005,526,9770,526,3.37592893026671
527,11852.3610179901,527,3412.0177242326,527,9370,527,3.35908775946838
528,10209.2068559647,528,2930.49692118399,528,8040,528,3.3687809507283
529,9900.05625352859,529,2838.83153911646,529,7760,529,3.37223668488555
530,9496.79516601563,530,2737.38939101625,530,7410,530,3.35483194598758
531,8445.73025660515,531,2420.8621968754,531,6560,531,3.37354399686107
532,8009.88971767425,532,2299.24070915824,532,6190,532,3.36871425456316
533,7621.18228926659,533,2196.70037186862,533,5860,533,3.35491680011121
534,7161.44799251556,534,2050.39164977797,534,5480,534,3.37738838762376
535,6257.12769699097,535,1800.9588681548,535,4770,535,3.35968552251335
536,6363.82541260719,536,1829.9404367365,536,4820,536,3.36284491573642
537,5717.00414819717,537,1638.3927945099,537,4310,537,3.37418849757565
538,5237.77934246063,538,1508.17708046898,538,3930,538,3.35832768105925
