Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,258.79715,420,794.43528,420,340,420,0.32903
421,227.17155,421,693.84706,421,310,421,0.33061
422,268.13754,422,823.39448,422,350,422,0.32892
423,267.61101,423,819.60731,423,350,423,0.32975
424,246.46019,424,753.376,424,330,424,0.33036
425,235.6825,425,724.0056,425,320,425,0.3288
426,358.37108,426,1096.77666,426,440,426,0.32998
427,347.31269,427,1061.02607,427,430,427,0.33054
428,397.63237,428,1220.56113,428,480,428,0.32904
429,590.49962,429,1806.27922,429,670,429,0.33014
430,711.25428,430,2176.13441,430,790,430,0.33007
431,659.8016,431,2024.20161,431,740,431,0.32922
432,720.17083,432,2202.44013,432,800,432,0.33021
433,973.25846,433,2975.20799,433,1050,433,0.33034
434,1246.18184,434,3822.57487,434,1320,434,0.32926
435,1640.19698,435,5011.86522,435,1710,435,0.33047
436,1921.34794,436,5878.50861,436,1990,436,0.33007
437,2434.15936,437,7469.42007,437,2500,437,0.32914
438,3278.62937,438,10013.3765,438,3340,438,0.33063
439,3808.45794,439,11654.8927,439,3870,439,0.33
440,5272.90052,440,16178.04451,440,5330,440,0.32919
441,7266.56515,441,22172.92527,441,7320,441,0.33092
442,8743.15761,442,26795.89424,442,8800,442,0.32953
443,11318.89053,443,34679.92147,443,11380,443,0.32962
444,14639.07788,444,44710.01528,444,14710,444,0.33063
445,18750.85733,445,57497.57604,445,18840,445,0.32937
446,24720.95781,446,75701.84794,446,24810,446,0.32979
447,30310.79861,447,92514.06012,447,30400,447,0.33083
448,38020.50107,448,116539.4596,448,38110,448,0.32949
449,48249.94673,449,147724.0551,449,48340,449,0.32986
450,58248.98611,450,177808.6093,450,58340,450,0.33079
451,69237.83594,451,212397.7381,451,69200,451,0.32924
452,84563.14123,452,258654.7192,452,84340,452,0.33016
453,97802.98948,453,298610.1384,453,97350,453,0.33073
454,110517.1006,454,339167.1889,454,109790,454,0.32911
455,133269.8895,455,407428.6199,455,132130,455,0.33032
456,151112.3781,456,461597.7472,456,149510,456,0.33057
457,170159.7114,457,521708.4497,457,168010,457,0.32941
458,196520.9293,458,600584.6377,458,193640,458,0.33043
459,222618.9751,459,679689.3261,459,218910,459,0.33073
460,249838.0295,460,766234.5627,460,245180,460,0.32931
461,276334.978,461,843289.9984,461,270400,461,0.33088
462,311570.2703,462,953350.7647,462,304000,462,0.33004
463,345685.5288,463,1059725.312,463,336320,463,0.32945
464,379205.697,464,1156999.864,464,367880,464,0.33094
465,403728.3904,465,1237469.33,465,390560,465,0.3295
466,437981.2479,466,1340579.993,466,422680,466,0.32994
467,471426.359,467,1439457.734,467,453870,467,0.3307
468,496132.1255,468,1523489.672,468,476520,468,0.32893
469,527984.9653,469,1613973.338,469,505910,469,0.33035
470,551842.6407,470,1686252.609,470,527520,470,0.33047
471,575133.1782,471,1765010.847,471,547220,471,0.32912
472,598806.7068,472,1829194.412,472,567100,472,0.33057
473,612447.09,473,1874542.356,473,577340,473,0.32995
474,624610.2505,474,1913889.417,474,586100,474,0.3296
475,637469.5238,475,1947150.748,475,595430,475,0.33059
476,646712.6544,476,1980262.492,476,602160,476,0.32981
477,652660.9679,477,1997740.693,477,605790,477,0.32993
478,652505.0455,478,1990903.953,478,603750,478,0.33094
479,643281.4173,479,1971439.148,479,593360,479,0.32955
480,638599.2632,480,1951984.878,480,587210,480,0.33037
481,628081.2676,481,1920351.118,481,575940,481,0.33028
482,613470.2427,482,1878764.412,482,560990,482,0.32977
483,602497.8069,483,1839962.186,483,549440,483,0.33065
484,578500.2655,484,1769913.324,484,526110,484,0.33008
485,562092.296,485,1722065.201,485,509790,485,0.32965
