Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,24.2167613267899,420,30.3673795248465,420,84,420,0.783147503540906
420.25,25.2437571501732,420.25,31.6525318764521,420.25,85,420.25,0.783212541839348
420.5,16.9247709465027,420.5,21.222278213531,420.5,77,420.5,0.783186482116896
420.75,13.80302287817,420.75,17.3078896041438,420.75,74,420.75,0.783185236236791
421,31.4305848741531,421,39.4086883908629,421,91,421,0.783238957091579
421.25,36.5992092728615,421.25,45.8953086468328,421.25,96,421.25,0.78313807093914
421.5,16.8916339015961,421.5,21.17990755592,421.5,77,421.5,0.783216185638114
421.75,13.7759846758842,421.75,17.2728371322482,421.75,74,421.75,0.783236289855297
422,23.0867458868027,422,28.9577889077957,422,83,422,0.782950590397321
422.25,34.4579025292397,422.25,43.2128380534502,422.25,94,422.25,0.783089713930084
422.5,11.6871788024902,422.5,14.6552374822715,422.5,72,422.5,0.783161791870739
422.75,4.44514810800552,422.75,5.57407164429892,422.75,65,422.75,0.783156244156601
423,25.1079054307938,423,31.4788029586199,423,85,423,0.783295161695715
423.25,3.40803837060928,423.25,4.2727685742161,423.25,64,423.25,0.783300164671093
423.5,0.309669198989865,423.5,0.388275644157901,423.5,61,423.5,0.783234325667709
423.75,11.6584634184837,423.75,14.6130596085194,423.75,72,423.75,0.783485910288625
424,12.6839345312119,424,15.9050557345813,424,73,424,0.783165271256055
424.25,10.6162713122368,424.25,13.3078867656733,424.25,71,424.25,0.783420049541467
424.5,14.7318273353577,424.5,18.4719689527369,424.5,75,424.5,0.783208814498714
424.75,4.42766475915909,424.75,5.55065524592712,424.75,65,424.75,0.783362700909641
425,22.9507416963577,425,28.7689408043789,425,83,425,0.783437626140286
425.25,17.7947581624985,425.25,22.3062002878132,425.25,78,425.25,0.78342638079441
425.5,11.6165834379196,425.5,14.5598862768979,425.5,72,425.5,0.783521763483198
425.75,30.1038082647324,425.75,37.7392683028301,425.75,90,425.75,0.783358257168873
426,3.38860904216766,426,4.24757714416731,426,64,426,0.783450600688402
426.25,17.7544488668442,426.25,22.253230061764,426.25,78,426.25,0.78351063028942
426.5,17.7443715429306,426.5,22.2379925263619,426.5,78,426.5,0.783600654473052
426.75,40.286575884819,426.75,50.4905658712815,426.75,100,426.75,0.783574260583126
427,20.7977805185318,427,26.0645759041395,427,81,427,0.783602927651114
