PbBr2  (mL),Cs-oleate (mL),Aceton (mL)
0.41556376,0.21677823,0.36765801
0.36299497,0.17466697,0.46233806
0.33693763,0.25304351,0.41001887
0.68483233,0.01477875,0.30038892
0.59316606,0.09630669,0.31052724
0.52543518,0.1491022,0.32546262
0.4135995,0.11262394,0.47377656
0.41050906,0.2086878,0.38080314
0.27294944,0.11343509,0.61361547
0.34586762,0.28088,0.37325238
0.67420406,0.02244409,0.30335185
0.49257073,0.06252286,0.44490641
0.48100976,0.10445031,0.41453993
0.45337661,0.20659512,0.34002828
0.40994066,0.18537528,0.40468406
0.28232079,0.13195986,0.58571935
0.27598314,0.17102603,0.55299083
0.68208808,0.01226348,0.30564844
0.59337663,0.09817813,0.30844524
0.52434784,0.17373372,0.30191844
0.45821243,0.21147707,0.3303105
0.26725497,0.09066156,0.64208347
0.36123233,0.20883554,0.42993213
0.20980247,0.13320867,0.65698886
0.68417923,0.01486349,0.30095728
0.54763699,0.08768342,0.36467959
0.45603093,0.13516292,0.40880615
0.41817278,0.16536791,0.41645931
0.27634117,0.10488785,0.61877097
0.27791407,0.13686428,0.58522166
0.31278424,0.26263686,0.4245789
0.65013725,0.03229291,0.31756984
0.41582766,0.01658147,0.56759087
0.217627,0.02008452,0.76228848
0.29963891,0.08309099,0.6172701
0.33858109,0.14664981,0.5147691
0.2540588,0.14134699,0.60459421
0.16381869,0.11293613,0.72324518
0.78752975,0.06973525,0.142735
0.6535968,0.30377048,0.04263272
0.51959755,0.36497578,0.11542667
0.44179578,0.27489608,0.28330813
0.39840341,0.34860024,0.25299634
0.35254312,0.33575384,0.31170304
0.30545539,0.31533657,0.37920804
0.85149308,0.14317476,0.00533216
0.70811651,0.27413893,0.01774456
0.55993582,0.32239593,0.11766824
0.48202639,0.29136477,0.22660884
0.40572879,0.30904264,0.28522857
0.35905693,0.33547057,0.3054725
0.33016387,0.28878889,0.38104724
0.03509949,0.096384,0.86851651
0.86138579,0.10293573,0.03567847
0.71357452,0.19001066,0.09641482
0.5800228,0.34918518,0.07079202
0.49156784,0.35161653,0.15681563
0.42338214,0.242692,0.33392586
0.37150446,0.29860078,0.32989476
0.32855339,0.34890577,0.32254084
0.27697437,0.35833363,0.364692
