Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,4163.61999464035,420,9043.59587179361,420,4060,420,0.458577949183978
421,4777.86382608414,421,10330.0444104919,421,4660,421,0.460625231324757
422,7046.11625585556,422,15298.964740729,422,6860,422,0.458739027630893
423,8148.18692293167,423,17669.1584601236,423,7940,423,0.459308352817823
424,9957.40421409607,424,21536.5806797599,424,9710,424,0.460458987301104
425,12870.9406123161,425,27935.8435694796,425,12560,425,0.458903139715692
426,16517.92880373,426,35766.5140194036,426,16140,426,0.459956710661267
427,20609.2686162949,427,44623.8975970841,427,20170,427,0.459973194682778
428,24058.2918647766,428,52267.8210973926,428,23590,428,0.458476380250554
429,32213.3350302696,429,69713.143881554,429,31640,429,0.460204541757992
430,45225.1897835732,430,97830.7773869609,430,44500,430,0.46039290268029
431,60496.3852930546,431,131402.163112273,431,59560,431,0.458574860232985
432,84649.0210777283,432,182987.629426501,432,83390,432,0.460695593651554
433,117081.266862535,433,253870.544710561,433,115420,433,0.459338997710299
434,147824.137986851,434,320969.890994051,434,145840,434,0.458732187878957
435,175899.222202539,435,380284.926781709,435,173680,435,0.460649044571528
436,190410.741254139,436,413604.438839033,436,188250,436,0.458553779739863
437,193698.054240799,437,419596.308495958,437,191750,437,0.459766995521491
438,190689.281954908,438,412145.794424719,438,189020,438,0.460772706323323
439,177982.67325778,439,386546.240458924,439,176660,439,0.45862523235478
440,159813.472360849,440,345946.733972995,440,158840,440,0.460084862788409
441,143095.746140957,441,310007.50915161,441,142410,441,0.459727001521629
442,125907.89470005,442,273311.130201265,442,125470,442,0.458849170572932
443,115460.905166149,443,249640.871383196,443,115210,443,0.460612610637754
444,100744.173309088,444,218533.822364882,444,100660,444,0.459161351795374
445,90724.9865918159,445,196867.859222408,445,90770,445,0.459008945823943
446,83822.6384494782,446,181422.4599185,446,83870,446,0.460152571993359
447,78970.6860307217,447,171465.928012697,447,79020,447,0.458739349972799
448,75578.9839004517,448,163950.308815025,448,75630,448,0.459148614760109
449,73807.4482101917,449,159749.268307799,449,73860,449,0.460143393593669
450,73915.9823770523,450,160622.028579789,450,73970,450,0.458377281095096
451,78792.6152198792,451,170502.343017753,451,78700,451,0.460239512517002
452,84409.5707336426,452,182823.196127353,452,84150,452,0.459835344641882
453,92942.957518959,453,201941.446942424,453,92480,453,0.458436217211926
454,99603.3115317345,454,215343.727860183,454,98920,454,0.460635453997783
455,116946.12213707,455,253482.503709624,455,115920,455,0.459505380731978
456,133704.301717377,456,290276.207353097,456,132260,456,0.458786170849995
457,148369.775363159,457,320249.898115834,457,146470,457,0.461368949682062
458,168534.701657105,458,365606.778979725,458,166040,458,0.459134603616006
459,197802.370243454,459,428965.186673283,459,194480,459,0.459271890750657
460,227622.751831055,460,491895.644709341,460,223350,460,0.460841708710597
461,255272.676862192,461,554001.836536636,461,249760,461,0.458948719862649
462,287587.553958321,462,622659.39743264,462,280570,462,0.459998234593092
463,333756.191386557,463,722055.609763451,463,324680,463,0.460345558235915
464,369778.885215569,464,802839.679838517,464,358700,464,0.458765078674362
465,415863.950704336,465,900505.61337568,465,402260,465,0.459942251767089
466,466645.617650986,466,1010555.09326929,466,450300,466,0.459903710928411
467,514090.445017099,467,1116453.50243384,467,494900,467,0.458648317709658
468,574303.584920883,468,1241842.86462591,468,551550,468,0.460567110361018
469,623731.619512796,469,1352285.61992741,469,597600,469,0.459394437895637
470,684215.86124897,470,1486141.17347748,470,654000,470,0.458581145900165
471,745348.228321838,471,1610038.5819118,471,709110,471,0.461026620193024
472,798085.781978703,472,1733887.97970073,472,755760,472,0.458474487445526
473,854473.655295515,473,1851983.18383556,473,805420,473,0.459529719930115
474,907702.504542541,474,1965046.49944612,474,851660,474,0.460050613245573
475,945890.119775772,475,2053442.10194371,475,883430,475,0.458810966619693
476,982166.600434256,476,2125545.6935172,476,914420,476,0.460198084429442
477,1004666.38144627,477,2173247.75972442,477,932430,477,0.460400829144068
478,1019343.28499899,478,2214172.80847422,478,943090,478,0.458556535381695
479,1019410.89813738,479,2204314.07913785,479,940210,479,0.460568049968602
480,1014575.32858491,480,2200436.35293212,480,932840,480,0.459237186066771
481,985621.935572624,481,2140888.31066428,481,903710,481,0.458564082521528
482,955278.446736336,482,2065942.63299255,482,873470,482,0.460502374712473
483,922185.798051357,483,1998389.93833402,483,840890,483,0.459608016826922
484,886333.7730968,484,1922055.37672015,484,805980,484,0.459294333805907
485,834390.541472435,485,1802537.00714595,485,756670,485,0.460987879321167
486,774059.193465185,486,1680076.71242489,486,700560,486,0.458899631624853
487,723234.621789598,487,1566285.7500429,487,653260,487,0.459884280053375
488,674109.417310095,488,1457554.27086524,488,607680,488,0.460598660767223
489,613155.408516455,489,1331796.49112427,489,551640,489,0.458580764192034
490,569630.468121529,490,1231357.98094846,490,511470,490,0.460704485233703
491,515672.060729885,491,1116989.36826601,491,462130,491,0.459798677534746
492,470009.647634077,492,1021086.44088687,492,420400,492,0.45849053086952
493,428020.846359444,493,926128.771108235,493,382110,493,0.460278827023939
494,389727.945407724,494,844896.074797122,494,347260,494,0.459424009189293
495,345200.269612551,495,749218.257581374,495,307000,495,0.458917720441759
496,315506.558935738,496,681843.847617827,496,280040,496,0.460821989587509
497,284235.696994972,497,616297.405647816,497,251790,497,0.459352472651039
498,255949.637347984,498,554925.230832261,498,226290,498,0.459384946929203
499,233217.379619026,499,504338.816615031,499,205790,499,0.460529837193877
500,207508.447891235,500,450648.25965994,500,182750,500,0.458647493258243
501,190505.070595407,501,412397.535903601,501,167140,501,0.46007086094263
502,169589.031365204,502,366568.11393544,502,148230,502,0.460739546830189
503,153862.199025106,503,334051.162432172,503,133980,503,0.458770865093056
504,136639.101191139,504,295730.491382912,504,118540,504,0.460161395626216
505,126724.802651882,505,274377.784639086,505,109530,505,0.459991210305183
506,112946.452503777,506,245277.517842982,506,97320,506,0.458664607658453
507,103994.602062893,507,224962.288912572,507,89330,507,0.460388990469975
508,93734.0402896881,508,203084.20765499,508,80270,508,0.459692907666119
509,85376.5176142693,509,185134.300839685,509,72890,509,0.459314923633612
510,79140.342212677,510,171008.496816223,510,67360,510,0.460880215932256
511,70004.1784550667,511,151998.076955305,511,59320,511,0.45873709739415
512,63605.843854332,512,137779.501343138,512,53660,512,0.459786242814228
513,57850.0868946076,513,125136.184797678,513,48590,513,0.460409514494155
514,54973.2893684387,514,119466.070252163,514,45970,514,0.458350659515988
515,48496.653403759,515,104946.317858723,515,40380,515,0.460228656127417
516,45947.7321728706,516,99547.5072593452,516,38080,516,0.459705702875515
517,42571.2872975349,517,92450.5517765122,517,35120,517,0.458656874313717
518,36806.942149353,518,79604.3512452841,518,30230,518,0.460483117644574
519,35251.3328543663,519,76413.5478895281,519,28820,519,0.459471984966041
520,32867.0580997467,520,71305.8858101185,520,26750,520,0.459094100354078
521,29958.6616230011,521,64721.6228637207,521,24270,521,0.460975389764377
522,27567.5655899048,522,59860.6479517151,522,22230,522,0.458707630766247
523,25214.5148749352,523,54655.4961918888,523,20240,523,0.459483843667294
524,23527.9528622627,524,50878.6203028454,524,18800,524,0.460540393414482
525,21597.166706562,525,46926.8588028231,525,17180,525,0.458420173072676
526,20350.7735916138,526,44048.2406006077,526,16110,526,0.4601342218697
527,18390.013290596,527,39825.5978750009,527,14490,527,0.459896078196311
528,16254.8395088196,528,35291.5806446675,528,12750,528,0.458763339172476
529,16374.8525971413,529,35406.4226134299,529,12780,529,0.460588092625689
530,15771.0939331055,530,34175.87996944,530,12250,530,0.459612023689409
531,13468.4297101021,531,29214.4335542665,531,10410,531,0.459179967755738
532,12668.8098963737,532,27377.7192632109,532,9740,532,0.460837463906376
533,11951.3397100925,533,25916.1806456524,533,9140,533,0.459308838238031
534,11410.1681535721,534,24729.0088443198,534,8680,534,0.459553953508826
535,10941.9924395084,535,23654.0192096416,535,8280,535,0.460686628398066
536,10020.9501554012,536,21759.6899593394,536,7540,536,0.45870680989111
537,9329.87057738304,537,20191.1301973813,537,6980,537,0.460198365286517
538,8981.76136727333,538,19436.6670695236,538,6680,538,0.460223690345441
539,8151.18455944061,539,17696.7754665031,539,6030,539,0.458778662810807
540,7872.3184633255,540,17019.8232098639,540,5790,540,0.460641665755205
541,7646.10939865112,541,16555.6959376041,541,5590,541,0.45997113355424
542,6179.41671595573,542,13430.8114803256,542,4500,542,0.458287514596143
543,6819.58932390213,543,14724.3730358307,543,4930,543,0.461230314290397
544,6285.10964150429,544,13630.7311637484,544,4520,544,0.459255806318669
545,6224.93412637711,545,13500.6626104775,545,4450,545,0.459241467825869
546,5323.67930583954,546,11505.9536693708,546,3790,546,0.460786914162747
547,4797.79700694084,547,10409.8191923957,547,3400,547,0.459056536077863
548,5087.35843863487,548,10997.6741620091,548,3580,548,0.460686653193597
549,4770.40307660103,549,10329.0095605052,549,3340,549,0.459974543416628
550,4040.18056082726,550,8764.57899326053,550,2820,550,0.459129104968526
