Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,352.234352517128,420,450.602999443724,420,392,420,0.768022422548054
420.25,348.945597808361,420.25,446.270647742967,420.25,389,420.25,0.768233429853385
420.5,398.614697322845,420.5,509.998682643367,420.5,437,420.5,0.767929945895593
420.75,395.306121375561,420.75,505.766470068887,420.75,434,420.75,0.767928650042954
421,400.299099106789,421,512.057128155726,421,439,421,0.768071916718346
421.25,447.795991075039,421.25,572.836150387075,421.25,485,421.25,0.768043478532189
421.5,418.560179929733,421.5,535.022562327809,421.5,457,421.5,0.768625922522414
421.75,466.001165840626,421.75,595.724779657064,421.75,503,421.75,0.768548808799985
422,539.277396073341,422,689.376779582747,422,574,422,0.768573478446778
422.25,525.560621459484,422.25,671.730567086679,422.25,561,422.25,0.76869856999736
422.5,565.638768768311,422.5,723.166811193344,422.5,600,422.5,0.768478321969533
422.75,602.576007478237,422.75,770.383158717883,422.75,636,422.75,0.768485904443157
423,638.443405995369,423,816.204844777192,423,671,423,0.768517426812
423.25,676.340705730915,423.25,864.713612610302,423.25,708,423.25,0.768465404260405
423.5,694.588013334274,423.5,887.921971893262,423.5,726,423.5,0.768568129859834
423.75,717.975636541843,423.75,917.698355380971,423.75,749,423.75,0.768667438634981
424,823.837016015053,424,1053.28198265769,424,852,424,0.768471325814868
424.25,823.43098556757,424.25,1052.755886965,424.25,852,424.25,0.768476319634973
424.5,862.172468318939,424.5,1101.87633692881,424.5,890,424.5,0.768756818516255
424.75,909.112840898037,424.75,1161.90578141632,424.75,936,424.75,0.768731820042564
425,1005.40715529919,425,1284.88966866844,425,1030,425,0.768782557041203
425.25,979.123138432503,425.25,1251.35950635012,425.25,1005,425.25,0.768746278889362
425.5,1001.18500975132,425.5,1279.74864801432,425.5,1027,425.5,0.768632593283407
425.75,1114.66285277843,425.75,1425.05374237957,425.75,1138,425.75,0.768498438393747
426,1198.23269433498,426,1531.66204001973,426,1220,426,0.768612751517391
426.25,1270.41804926395,426.25,1623.74079418947,426.25,1291,426.25,0.76870246709202
426.5,1373.29127507687,426.5,1755.47742965082,426.5,1392,426.5,0.768594015632093
426.75,1429.91716798306,426.75,1827.9352455345,426.75,1448,426.75,0.768563955055218
427,1535.65483838558,427,1963.26368436777,427,1552,427,0.768503109108999
427.25,1512.25507125378,427.25,1933.11386474262,427.25,1530,427.25,0.768594367728645
427.5,1699.69231135845,427.5,2172.0970115819,427.5,1714,427.5,0.768808498508042
427.75,1721.22585130215,427.75,2199.81662398514,427.75,1736,427.75,0.768739626057445
428,1789.75455583096,428,2287.49401596145,428,1804,428,0.768708634694453
428.25,1877.61460482121,428.25,2400.29322580165,428.25,1891,428.25,0.768550225959995
428.5,2073.60207337856,428.5,2651.13804841571,428.5,2084,428.5,0.768465136087191
428.75,2090.78705165386,428.75,2672.81527806543,428.75,2102,428.75,0.768547974525708
429,2351.69788027287,429,3005.40779078839,429,2359,429,0.768786000186896
429.25,2500.18864806652,429.25,3195.75795529767,429.25,2506,429.25,0.768648617681935
429.5,2678.05034839153,429.5,3422.40365606632,429.5,2682,429.5,0.768802280170137
429.75,2926.97496346951,429.75,3740.68292943766,429.75,2928,429.75,0.768768639499939
430,3031.12356221676,430,3874.60342101115,430,3032,430,0.768609572730214
