Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,3112.8412091732,420,7582.43775513745,420,3040,420,0.411930939446236
421,3749.88661122322,421,9189.16096855891,421,3660,421,0.409566906552703
422,5129.81281924248,422,12572.4106340979,422,5000,422,0.409513260228685
423,6442.29589962959,423,15698.3601595647,423,6280,423,0.411783800379435
424,7832.07176947594,424,19228.921412298,424,7640,424,0.408825436482513
425,8917.85546183586,425,21796.1892167794,425,8710,425,0.410597185434499
426,11238.8866565228,426,27420.1923447373,426,10990,426,0.411298753295977
427,14727.4923622608,427,36138.7348150708,427,14420,427,0.409036859633087
428,16360.1700074673,428,39914.6059421046,428,16050,428,0.411301634822814
429,22299.2645614147,429,54400.0023631626,429,21910,429,0.411334028277083
430,28170.3500688076,430,69076.7523320579,430,27730,430,0.409311974874126
431,38942.5274535418,431,94796.4440488378,431,38350,431,0.412189421415739
432,54459.7444691658,432,133141.403881522,432,53660,432,0.410490741318156
433,79692.5132220984,433,195121.898311129,433,78570,433,0.409901016323121
434,106827.898821592,434,260017.551175263,434,105400,434,0.412234890698061
435,133449.627617002,435,326625.839475199,435,131770,435,0.410041642986682
436,148259.46337688,436,362978.341687095,436,146580,436,0.409928356972635
437,161615.449907899,437,392837.374028493,437,159990,437,0.412770753361854
438,155470.001081586,438,381586.645047758,438,154110,438,0.408944351558997
439,150216.908612609,439,366496.382217588,439,149100,439,0.411295422588554
440,135798.072615266,440,331421.781532092,440,134970,440,0.411171372929746
441,121945.407591462,441,299144.122418299,441,121360,441,0.40915350091167
442,109964.607753158,442,267720.636830913,442,109580,442,0.412133875849393
443,96590.071721673,443,236496.850347127,443,96380,443,0.40989704832286
444,85442.1862274408,444,209013.143107592,444,85370,444,0.410251729324335
445,79562.8809505701,445,193915.239270462,445,79600,445,0.411703928251136
446,72170.71565938,446,176958.772345874,446,72210,446,0.409337811102464
447,67719.0183695555,447,165466.270710757,447,67760,447,0.410707217035066
448,64287.538107872,448,156606.745080806,448,64330,448,0.411902021181044
449,61266.2021325827,449,150145.4444008,449,61310,449,0.409536628347987
450,61914.9852383137,450,151063.577638073,450,61960,450,0.411283503328984
451,63543.2395839691,451,154813.315895908,451,63470,451,0.411851716293285
452,69463.0463116169,452,170383.542796082,452,69250,452,0.409190733547654
453,75866.9793133736,453,184955.893424535,453,75490,453,0.411600322507869
454,80853.5165474415,454,196999.525552609,454,80300,454,0.41182687498564
455,93801.3555383682,455,229737.908550943,455,92980,455,0.409778771969725
456,107307.496889114,456,261398.567538777,456,106150,456,0.411911601792861
457,122873.026934624,457,299756.840271232,457,121300,457,0.411330242667028
458,141230.792518616,458,345669.989000223,458,139140,458,0.410042451702472
459,166120.580710411,459,404200.707768855,459,163330,459,0.412366360658023
460,191495.020265579,460,468062.728032905,460,187900,460,0.410573213877797
461,215494.236899257,461,526413.481926044,461,210840,461,0.410804726892336
462,245696.485205412,462,598238.812188861,462,239700,462,0.412091342691761
463,286070.713597655,463,701209.167281014,463,278290,463,0.409461581811545
464,323143.850230694,464,787186.104920657,464,313460,464,0.411903972160202
465,365426.464989781,465,892808.028619529,465,353470,465,0.41074416952923
466,413849.158806801,466,1013349.60231835,466,399350,466,0.409875004380297
467,469406.75730288,467,1142156.09599673,467,451880,467,0.412364087098539
468,513299.917970896,468,1254003.27054294,468,492960,468,0.410771945292635
469,567395.506080985,469,1385506.15861765,469,543620,469,0.410957892226912
470,631523.750603199,470,1535605.61025677,470,603630,470,0.412624810679437
471,679091.057972312,471,1663544.58778136,471,646070,471,0.409703770017555
472,738152.201706648,472,1800413.0050736,472,699000,472,0.411408679277117
473,792787.474363446,473,1929949.1621997,473,747270,473,0.41217013931389
474,833932.477039337,474,2041350.41848587,474,782440,474,0.409993195618003
475,883099.255507588,475,2147578.0208271,475,824780,475,0.412579756245427
476,903086.574175,476,2204978.19496369,476,840790,476,0.411001151130672
477,920509.93698895,477,2254592.52738367,477,854320,477,0.409764262292391
478,935722.494413257,478,2277237.98690573,478,865720,478,0.41228646087317
479,934812.748805165,479,2286681.29212167,479,862180,479,0.410270061089764
480,928233.97680819,480,2265383.64626033,480,853450,480,0.411174226084773
481,906217.53552258,481,2207546.20578709,481,830900,481,0.411907778512672
482,875304.052743316,482,2140295.85201594,482,800340,482,0.410420631953462
483,836616.366973519,483,2041547.91534664,483,762860,483,0.411220618285379
484,799197.843524814,484,1946651.38644648,484,726740,484,0.411947324524041
485,747070.318976045,485,1828918.96735703,485,677480,485,0.409951268281957
486,697481.58218658,486,1697250.04174705,486,631250,486,0.412330421442781
487,649858.869545102,487,1586029.15989877,487,586980,487,0.411167126695014
488,593487.117630124,488,1451742.48601319,488,535000,488,0.410272527291452
489,548457.867369533,489,1333790.83295586,489,493430,489,0.41257517574786
490,504492.577624917,490,1230604.97359345,490,452980,490,0.411374455245068
491,460005.378060222,491,1123633.65592949,491,412240,491,0.410831506542955
492,416415.626468778,492,1012702.16822701,492,372460,492,0.412565821395266
493,377740.249783397,493,922743.637799345,493,337220,493,0.410807945304612
494,345243.379459977,494,843390.058631952,494,307620,494,0.410794043117795
495,310448.119295239,495,754987.549504645,495,276090,495,0.412569434867113
496,276155.28942728,496,675191.828941897,496,245110,496,0.410457851476424
497,253906.880071759,497,619524.238772577,497,224920,497,0.411265478885092
498,230131.347270727,498,559242.793252298,498,203460,498,0.412866791222873
499,202258.287118077,499,495070.541749122,499,178470,499,0.410016661012081
500,183632.5278759,500,446866.007888107,500,161720,500,0.41231710195095
501,168156.759613395,501,409986.853543275,501,147530,501,0.411563757682299
502,150589.007679224,502,368624.471161153,502,131620,502,0.409989377821441
503,136570.710012317,503,332071.339305247,503,118920,503,0.412639555199062
504,124102.568022251,504,302646.779559236,504,107660,504,0.411473143605329
505,113110.764835477,505,276032.077066068,505,97760,505,0.411200278797173
506,100857.073717594,506,245387.401453476,506,86900,506,0.412391622297607
507,90958.5835171938,507,222355.186194713,507,78130,507,0.410521529261774
508,82281.3708860874,508,200605.556076057,508,70460,508,0.411576633000335
509,77474.8878537416,509,188186.019132071,509,66140,509,0.413047623601987
510,70014.7338581085,510,171236.82359759,510,59590,510,0.410336476397134
511,64545.9172489643,511,157274.014339674,511,54690,511,0.411806927457562
512,60294.2013106346,512,146480.402906537,512,50860,512,0.412976837843809
513,54451.978320837,513,133482.583392876,513,45730,513,0.409428348170236
514,48818.1869935989,514,118528.961237207,514,40820,514,0.41321516462266
515,44598.9781153202,515,108753.802356467,515,37130,515,0.411505634095956
516,42091.9699742794,516,102873.024442876,516,34880,516,0.410613404096142
517,39146.4997122288,517,95004.0938948124,517,32290,517,0.413391799642849
518,34366.2379062176,518,83997.1484200599,518,28220,518,0.41058593136274
519,32296.7697064877,519,78733.7551049637,519,26400,519,0.411612599395294
520,30181.8972623348,520,73452.4279622562,520,24560,520,0.412288036819918
521,26740.8519566059,521,65387.1969010082,521,21660,521,0.41041826636441
522,24868.7387096882,522,60478.2474176183,522,20050,522,0.41257428215506
523,22839.9586093426,523,55643.0868595996,523,18330,523,0.411872693789585
524,20727.8428208828,524,50661.3709267364,524,16560,524,0.410594745220435
