Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,CPS,nm,CPS / MicroAmps,nm,CPS,nm,MicroAmps
420,6152.51246137619,420,7720.91528354459,420,5972,420,0.782659968454079
420.25,6417.52403995514,420.25,8052.07289664928,420.25,6230,420.25,0.782794374350814
420.5,6707.19327644348,420.5,8414.50660387735,420.5,6512,420.5,0.782886874272929
420.75,7046.39128824234,420.75,8837.40257336836,420.75,6842,420.75,0.783116498826474
421,7434.00757620812,421,9323.10688562832,421,7219,421,0.783152232239556
421.25,8024.45439343452,421.25,10062.457111949,421.25,7792,421.25,0.783239075347193
421.5,8555.24986736298,421.5,10732.0630652636,421.5,8308,421.5,0.782952805591985
421.75,9142.48919850826,421.75,11467.6712372168,421.75,8879,421.75,0.783023025012164
422,9478.61034265518,422,11886.492809243,422,9208,422,0.783202783843911
422.25,10333.8525344896,422.25,12959.7436767995,422.25,10039,422.25,0.7831584387519
422.5,10863.4912628174,422.5,13626.1309228177,422.5,10556,422.5,0.783036525225555
422.75,11567.3091324043,422.75,14506.4080223146,422.75,11242,422.75,0.783170113251211
423,12347.9232362652,423,15485.7398485884,423,12003,423,0.783151570771061
423.25,13033.7845636702,423.25,16343.7989967694,423.25,12673,423.25,0.783249777861657
423.5,13825.284611969,423.5,17334.1091874359,423.5,13446,423.5,0.78334704844409
423.75,14611.8720363379,423.75,18321.9410090636,423.75,14215,423.75,0.78327956912091
424,15437.8951457691,424,19357.7290820157,424,15023,424,0.783278331251668
424.25,16073.4470491076,424.25,20150.3937356371,424.25,15647,424.25,0.783440631740209
424.5,17047.2997212982,424.5,21372.233751192,424.5,16600,424.5,0.783405615490201
424.75,18058.2822047043,424.75,22639.0642643341,424.75,17590,424.75,0.783427329509603
425,19119.7174411774,425,23976.5562732445,425,18630,425,0.783209368774217
425.25,20106.6366853905,425.25,25215.4063052659,425.25,19600,425.25,0.783171892425985
425.5,21320.6454751396,425.5,26729.506016916,425.5,20792,425.5,0.783412217968115
425.75,22423.3301656818,425.75,28110.867343138,425.75,21877,425.75,0.783441301219568
426,23826.6450820732,426,29861.7320158592,426,23256,426,0.783657093299596
426.25,25128.8053857803,426.25,31499.5769758819,426.25,24538,426.25,0.783514245096487
426.5,26351.5199960899,426.5,33027.8055891399,426.5,25744,426.5,0.783618274559419
426.75,27939.8167350197,426.75,35014.9101721886,426.75,27308,426.75,0.783697123969073
427,28913.6277183151,427,36231.1275649279,427,28274,427,0.783785909901994
427.25,30062.4307603645,427.25,37670.6708914567,427.25,29412,427.25,0.783785916768449
427.5,31618.2271461964,427.5,39611.5072384995,427.5,30949,427.5,0.783954694994305
427.75,32834.7175945473,427.75,41153.0819235995,427.75,32156,427.75,0.783627062095889
428,33910.7838756466,428,42490.1790089312,428,33227,428,0.783836381779178
428.25,34954.9541720009,428.25,43800.1072028089,428.25,34268,428.25,0.783808602009758
428.5,36248.0631090927,428.5,45418.3713467497,428.5,35554,428.5,0.7838434225658
